
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-22:39:36-7344)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-22:39:36-7344)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-22:39:36-7344)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-22:39:36-7344)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-22:39:36-7344)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-22:39:36-7344)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-22:39:36-7344)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-22:39:36-7344)	
0	0	0	0	60	0	232.898	0	232.898	230.8979999999999667	232.898	0	232.898	232.8979999999999667	600	5
143.073	0	143.073	0	120	0	387.778	1	387.778	240.7049999999999827	387.778	1	387.778	244.7049999999999827	1200	4
210.206	0	210.206	0	180	0	452.379	2	452.379	236.173000000000001	452.379	2	452.379	242.173000000000001	1800	9
306.378	0	306.378	0	240	0	603.185	3	603.185	294.807000000000015	603.185	0	603.185	296.807000000000015	2400	9
387.778	0.334999999999999963	387.443	1	300	0	617.333	4	617.333	225.5550000000000058	617.333	1	617.333	229.5550000000000058	3000	4
861.561	0	387.778	0	360	0	1181.011	6	1181.011	211.4370000000000112	1181.011	1	1181.011	215.4370000000000112	3600	4
965.574	0	861.561	0	420	0	1228.249	7	1228.249	196.9420000000000066	1228.249	2	1228.249	202.9420000000000066	4200	7
1025.307	0	965.574	0	480	0	1239.326	5	1239.326	375.764999999999985	1239.326	0	1239.326	377.764999999999985	4800	5
1181.011	37.26099999999999555	1025.307	0	540	0	1441.109	8	1441.109	256.0979999999999557	1441.109	1	1441.109	260.0979999999999557	5400	3
1228.249	15.22599999999999902	1143.75	1	600	0	1492.411	9	1492.411	258.16199999999992	1492.411	2	1492.411	264.16199999999992	6000	4
1246.709	0	1181.011	0	660	0	1585.838	11	1585.838	140.7289999999999845	1585.838	1	1585.838	144.7289999999999845	6600	9
1441.109	133.490999999999985	1213.023	1	720	0	1599.737	10	1599.737	351.0280000000000187	1599.737	0	1599.737	353.0280000000000187	7200	7
1492.411	115.1599999999999962	1228.249	0	780	0	1722.998	12	1722.998	224.5869999999999883	1722.998	2	1722.998	230.5869999999999882	7800	5
1585.838	185.4370000000000112	1246.709	0	840	0	1759.656	14	1759.656	157.9189999999999822	1759.656	0	1759.656	159.9189999999999822	8400	3
1599.737	188.8429999999999602	1307.618	1	900	0	1838.522	13	1838.522	248.683999999999968	1838.522	1	1838.522	252.683999999999968	9000	3
1722.998	221.1049999999999603	1377.251	2	960	0	1980.312	15	1980.312	251.313999999999964	1980.312	2	1980.312	257.313999999999964	9600	7
1759.656	190.7579999999999806	1400.401	3	1020	0	1982.358	16	1982.358	220.7019999999999971	1982.358	0	1982.358	222.7019999999999971	10200	3
1838.522	42.4230000000000017	1410.894	4	1080	0	2044.627	17	2044.627	202.1049999999999603	2044.627	1	2044.627	206.1049999999999603	10800	5
1980.312	56.6049999999999895	1441.109	3	1140	0	2101.66	19	2101.66	117.3019999999999918	2101.66	0	2101.66	119.3019999999999918	11400	6
1982.358	27.5579999999999997	1492.411	2	1200	0	2440.06	21	2440.06	336.3999999999999757	2440.06	0	2440.06	338.3999999999999757	12000	2
2044.627	57.75799999999999515	1501.893	3	1260	0	2484.335	20	2484.335	435.7079999999999687	2484.335	1	2484.335	439.7079999999999687	12600	6
2101.66	73.06299999999998785	1568.898	4	1320	1	2506.14	18	2506.14	519.8279999999999725	2506.14	2	2506.14	525.8279999999999725	13200	3
2440.06	231.3909999999999617	1585.838	3	1380	2	2614.585	24	2614.585	102.4449999999999926	2614.585	2	2614.585	108.4449999999999926	13800	4
2484.335	193.9939999999999707	1599.737	2	1440	4	2684.387	23	2684.387	196.0519999999999633	2684.387	1	2684.387	200.0519999999999633	14400	8
2506.14	195.7189999999999932	1722.998	1	1500	2	2712.361	22	2712.361	270.30099999999993	2712.361	0	2712.361	272.30099999999993	15000	6
2614.585	237.5840000000000025	1759.656	0	1560	3	2785.573	25	2785.573	164.9879999999999988	2785.573	2	2785.573	170.9879999999999988	15600	6
2684.387	297.75999999999999	1796.099	1	1620	2	2946.002	27	2946.002	231.6409999999999617	2946.002	0	2946.002	233.6409999999999617	16200	5
2712.361	280.8120000000000107	1838.522	0	1680	2	3015.969	28	3015.969	224.3959999999999572	3015.969	2	3015.969	230.3959999999999572	16800	4
2785.573	89.2969999999999966	1923.707	1	1740	1	3108.015	26	3108.015	419.627999999999928	3108.015	1	3108.015	423.627999999999928	17400	3
2946.002	132.3609999999999895	1954.8	2	1800	1	3217.238	29	3217.238	269.235999999999989	3217.238	0	3217.238	271.235999999999989	18000	7
3015.969	119.7939999999999823	1980.312	1	1860	0	3240.991	30	3240.991	219.0219999999999907	3240.991	2	3240.991	225.0219999999999907	18600	4
3137.642	0	1982.358	0	1920	0	3411.564	32	3411.564	189.8209999999999688	3411.564	0	3411.564	191.8209999999999688	19200	7
3219.743	0	1986.869	1	1980	2	3452.351	31	3452.351	310.7089999999999452	3452.351	1	3452.351	314.7089999999999452	19800	6
3307.691	0	2028.597	2	2040	2	3530.286	33	3530.286	216.5949999999999696	3530.286	2	3530.286	222.5949999999999696	20400	4
3474.789	0	2044.627	1	2100	1	3624.436	34	3624.436	147.6469999999999907	3624.436	0	3624.436	149.6469999999999907	21000	1
3684.868	0	2101.66	0	2160	0	3852.131	35	3852.131	165.2629999999999762	3852.131	0	3852.131	167.2629999999999762	21600	3
3724.74	0	2208.669	1	2220	1	3993.2	36	3993.2	264.4599999999999217	3993.2	1	3993.2	268.4599999999999217	22200	7
3775.105	0	2290.341	2	2280	1	4008.897	37	4008.897	227.7919999999999726	4008.897	2	4008.897	233.7919999999999725	22800	5
3852.131	27.01899999999999825	2310.421	3	2340	3	4210.745	39	4210.745	213.5449999999999582	4210.745	1	4210.745	217.5449999999999581	23400	2
3993.2	30.8669999999999972	2377.001	4	2400	5	4215.898	40	4215.898	201.0009999999999757	4215.898	2	4215.898	207.0009999999999757	24000	3
4008.897	9.158999999999998885	2386.627	5	2460	5	4374.922	38	4374.922	520.790999999999938	4374.922	0	4374.922	522.790999999999938	24600	1
4210.745	125.3019999999999918	2431.549	6	2520	3	4464.087	41	4464.087	249.3419999999999837	4464.087	1	4464.087	253.3419999999999837	25200	6
4303.162	0	2440.06	5	2580	3	4675.289	42	4675.289	366.1269999999999515	4675.289	2	4675.289	372.1269999999999515	25800	3
4437.919	0	2484.335	4	2640	2	4719.051	43	4719.051	279.1319999999999472	4719.051	0	4719.051	281.1319999999999472	26400	3
4464.087	3.028999999999999905	2506.14	3	2700	2	4779.277	44	4779.277	311.18999999999994	4779.277	1	4779.277	315.18999999999994	27000	4
4675.289	203.8079999999999921	2614.585	2	2760	1	4884.11	45	4884.11	202.8209999999999688	4884.11	2	4884.11	208.8209999999999688	27600	8
4737.57	0	2684.387	1	2820	1	5088.656	46	5088.656	349.0860000000000115	5088.656	0	5088.656	351.0860000000000115	28200	3
4839.534	0	2696.276	2	2880	1	5163.016	48	5163.016	229.1859999999999777	5163.016	2	5163.016	235.1859999999999777	28800	4
4927.83	0	2712.361	1	2940	2	5292.448	47	5292.448	448.9139999999999862	5292.448	1	5292.448	452.9139999999999862	29400	5
5088.656	42.405000000000001	2785.573	0	3000	1	5340.168	49	5340.168	249.512	5340.168	0	5340.168	251.512	30000	3
5666.114	0	2813.641	1	3060	0	5858.426	50	5858.426	190.3120000000000112	5858.426	0	5858.426	192.3120000000000112	30600	10
5774.41	0	2896.175	2	3120	0	6035.21	51	6035.21	256.799999999999954	6035.21	1	6035.21	260.799999999999954	31200	4
5859.329	0	2946.002	1	3180	0	6070.312	53	6070.312	185.0459999999999915	6070.312	2	6070.312	191.0459999999999915	31800	7
5879.266	0	3015.969	0	3240	0	6171.856	54	6171.856	115.4019999999999863	6171.856	1	6171.856	119.4019999999999863	32400	7
6052.454	0	3137.642	0	3300	0	6328.033	52	6328.033	466.703999999999949	6328.033	0	6328.033	468.703999999999949	33000	6
6193.761	0	3219.743	0	3360	0	6526.174	57	6526.174	196.1409999999999618	6526.174	0	6526.174	198.1409999999999618	33600	5
6223.327	0	3307.691	0	3420	0	6594.261	55	6594.261	396.5	6594.261	1	6594.261	400.5	34200	3
6328.033	45.596999999999994	3474.789	0	3480	0	6669.178	56	6669.178	439.8509999999999975	6669.178	2	6669.178	445.8509999999999975	34800	3
6526.174	94.6159999999999851	3684.868	0	3540	0	6706.676	58	6706.676	178.502000000000009	6706.676	0	6706.676	180.5020000000000088	35400	2
6594.261	157.3549999999999608	3724.74	0	3600	0	6938.527	60	6938.527	263.348999999999932	6938.527	2	6938.527	269.348999999999932	36000	6
6669.178	200.7049999999999832	3775.105	0	3660	0	7082.288	59	7082.288	484.026999999999928	7082.288	1	7082.288	488.026999999999928	36600	12
6706.676	194.5819999999999931	3825.112	1	3720	0	7269.007	61	7269.007	560.330999999999902	7269.007	0	7269.007	562.330999999999902	37200	4
6938.527	369.0349999999999665	3852.131	0	3780	0	7366.189	63	7366.189	279.9009999999999525	7366.189	1	7366.189	283.9009999999999525	37800	4
7082.288	366.3189999999999582	3962.333	1	3840	1	7409.022	62	7409.022	464.495000000000003	7409.022	2	7409.022	470.495000000000003	38400	6
7269.007	431.0969999999999782	3993.2	0	3900	0	7519.151	65	7519.151	148.9619999999999883	7519.151	1	7519.151	152.9619999999999883	39000	9
7366.189	420.3539999999999267	3999.738	1	3960	0	7688.524	66	7688.524	273.501999999999952	7688.524	2	7688.524	279.501999999999952	39600	5
7409.022	457.9089999999999905	4008.897	0	4020	0	7709.727	67	7709.727	186.575999999999964	7709.727	1	7709.727	190.575999999999964	40200	7
7519.151	426.8349999999999207	4085.443	1	4080	0	7733.824	64	7733.824	462.8170000000000055	7733.824	0	7733.824	464.8170000000000055	40800	5
7688.524	554.6710000000000475	4210.745	0	4140	1	7928.332	69	7928.332	214.6049999999999603	7928.332	1	7928.332	218.6049999999999603	41400	1
7709.727	542.806000000000038	4303.162	0	4200	1	8034.935	68	8034.935	340.4109999999999437	8034.935	2	8034.935	346.4109999999999437	42000	4
7733.824	511.8650000000000075	4437.919	0	4260	0	8077.946	70	8077.946	342.1219999999999562	8077.946	0	8077.946	344.1219999999999562	42600	6
7928.332	655.880999999999856	4461.058	1	4320	0	8110.867	71	8110.867	178.5349999999999675	8110.867	1	8110.867	182.5349999999999675	43200	4
8034.935	514.37999999999988	4464.087	0	4380	0	8328.716	74	8328.716	213.8489999999999885	8328.716	1	8328.716	217.8489999999999885		
8077.946	540.556000000000038	4471.481	1	4440	0	8352.137	72	8352.137	311.2019999999999967	8352.137	2	8352.137	317.2019999999999967		
8110.867	314.1419999999999377	4675.289	0	4500	1	8439.482	73	8439.482	359.5359999999999437	8439.482	0	8439.482	361.5359999999999437		
8328.716	300.7210000000000027	4737.57	0	4560	1	8516.169	76	8516.169	158.0319999999999818	8516.169	2	8516.169	164.0319999999999818		
8352.137	188.1850000000000016	4839.534	0	4620	1	8581.588	75	8581.588	248.8720000000000135	8581.588	1	8581.588	252.8720000000000135		
8439.482	63.51999999999999565	4927.83	0	4680	0	8596.38	77	8596.38	154.8979999999999671	8596.38	0	8596.38	156.8979999999999671		
8516.169	62.09099999999999375	5046.251	1	4740	0	8719.622	79	8719.622	134.0339999999999913	8719.622	1	8719.622	138.0339999999999912		
8581.588	23.8230000000000003	5088.656	0	4800	0	8921.11	78	8921.11	398.9409999999999157	8921.11	2	8921.11	404.9409999999999157		
8860.676	0	5666.114	0	4860	0	9163.794	80	9163.794	301.1179999999999367	9163.794	0	9163.794	303.1179999999999367		
9143.574	0	5774.41	0	4920	0	9339.289	81	9339.289	191.7149999999999741	9339.289	1	9339.289	195.7149999999999741		
9237.043	0	5859.329	0	4980	0	9425.146	83	9425.146	94.0240000000000006	9425.146	2	9425.146	100.0240000000000006		
9325.122	0	5879.266	0	5040	0	9517.046	84	9517.046	145.827999999999974	9517.046	1	9517.046	149.827999999999974		
9367.218	0	6052.454	0	5100	0	9600.667	85	9600.667	169.5209999999999575	9600.667	2	9600.667	175.5209999999999575		
9425.146	22.19299999999999775	6193.761	0	5160	0	9603.656	82	9603.656	364.6129999999999415	9603.656	0	9603.656	366.6129999999999415		
9517.046	26.610999999999997	6223.327	0	5220	0	9914.447	87	9914.447	307.7799999999999717	9914.447	2	9914.447	313.7799999999999717		
9600.667	50.05400000000000185	6282.436	1	5280	0	9973.815	86	9973.815	452.769000000000004	9973.815	1	9973.815	456.769000000000004		
9670.828	0	6328.033	0	5340	0	10211.176	90	10211.176	233.360999999999989	10211.176	1	10211.176	237.360999999999989		
9914.447	133.4540000000000072	6431.558	1	5400	0	10345.31	88	10345.31	672.4819999999999685	10345.31	0	10345.31	674.4819999999999685		
9973.815	141.2359999999999892	6436.906	2	5460	0	10496.169	89	10496.169	575.721999999999978	10496.169	2	10496.169	581.721999999999978		
10325.264	0	6468.473	3	5520	0	10669.533	92	10669.533	322.2229999999999557	10669.533	0	10669.533	324.2229999999999557		
10345.31	19.40200000000000093	6512.094	4	5580	0	10741.15	91	10741.15	411.8859999999999657	10741.15	1	10741.15	415.8859999999999657		
10496.169	142.8000000000000108	6526.174	3	5640	0	10830.636	93	10830.636	328.466999999999983	10830.636	2	10830.636	334.466999999999983		
10669.533	54.57899999999999335	6569.492	4	5700	0	10956.069	94	10956.069	284.5359999999999437	10956.069	0	10956.069	286.5359999999999437		
10741.15	83.93199999999998755	6594.261	3	5760	0	11093.621	97	11093.621	135.5519999999999636	11093.621	0	11093.621	137.5519999999999636		
10861.23	0	6669.178	2	5820	0	11138.226	96	11138.226	270.99599999999998	11138.226	2	11138.226	276.99599999999998		
10956.069	21.46999999999999877	6706.676	1	5880	0	11216.347	95	11216.347	471.1970000000000005	11216.347	1	11216.347	475.1970000000000005		
11093.621	81.9569999999999933	6715.969	2	5940	0	11420.056	98	11420.056	324.4349999999999445	11420.056	0	11420.056	326.4349999999999445		
11138.226	120.5859999999999837	6837.91	3	6000	0	11481.473	99	11481.473	337.2469999999999562	11481.473	2	11481.473	343.2469999999999562		
11216.347	134.000999999999976	6938.527	2	6060	0	11582.869	100	11582.869	362.521999999999933	11582.869	1	11582.869	366.521999999999933		
11420.056	189.7029999999999738	6945.835	3	6120	0	11636.284	101	11636.284	214.2280000000000078	11636.284	0	11636.284	216.2280000000000078		
11481.473	53.4729999999999988	6951.113	4	6180	0	11647.577	102	11647.577	160.1039999999999845	11647.577	2	11647.577	166.1039999999999845		
11582.869	114.3539999999999845	7082.288	3	6240	0	11879.263	103	11879.263	292.394000000000004	11879.263	1	11879.263	296.394000000000004		
12057.489	0	7092.316	4	6300	1	12349.999	105	12349.999	157.3209999999999688	12349.999	1	12349.999	161.3209999999999688		
12188.678	0	7133.853	5	6360	0	12462.468	104	12462.468	402.9789999999999267	12462.468	0	12462.468	404.9789999999999267		
12272.426	0	7166.921	6	6420	0	12487.553	106	12487.553	209.1270000000000088	12487.553	2	12487.553	215.1270000000000088		
12349.999	7.92499999999999891	7221.959	7	6480	3	12512.579	107	12512.579	158.5799999999999833	12512.579	1	12512.579	162.5799999999999833		
12462.468	114.4869999999999942	7269.007	6	6540	3	12691.405	109	12691.405	165.59499999999997	12691.405	1	12691.405	169.59499999999997		
12521.81	0	7272.451	7	6600	3	12831.156	108	12831.156	366.6879999999999865	12831.156	0	12831.156	368.6879999999999865		
12777.596	0	7366.189	6	6660	3	12990.046	110	12990.046	208.4499999999999877	12990.046	1	12990.046	212.4499999999999877		
12979.983	0	7409.022	5	6720	2	13221.396	112	13221.396	214.8340000000000025	13221.396	1	13221.396	218.8340000000000025		
13002.562	0	7519.151	4	6780	2	13252.168	111	13252.168	270.1849999999999447	13252.168	0	13252.168	272.1849999999999447		
13317.589	0	7520.555	5	6840	3	13459.919	113	13459.919	140.3299999999999833	13459.919	0	13459.919	142.3299999999999833		
13367.2	0	7537.39	6	6900	3	13533.388	115	13533.388	150.2930000000000057	13533.388	2	13533.388	156.2930000000000057		
13377.095	0	7688.524	5	6960	4	13715.937	114	13715.937	344.736999999999965	13715.937	1	13715.937	348.736999999999965		
13515.277	0	7709.727	4	7020	4	14058.132	117	14058.132	250.0729999999999782	14058.132	1	14058.132	254.0729999999999782		
13804.059	0	7733.824	3	7080	4	14073.498	116	14073.498	556.221000000000002	14073.498	0	14073.498	558.221000000000002		
13814.016	0	7796.725	4	7140	5	14222.667	118	14222.667	402.650999999999952	14222.667	2	14222.667	408.650999999999952		
14058.132	233.8779999999999845	7928.332	3	7200	6	14225.606	119	14225.606	163.4739999999999891	14225.606	1	14225.606	167.4739999999999891		
14073.498	169.5209999999999575	8027.995	4	7260	7	14291.447	120	14291.447	215.9490000000000112	14291.447	0	14291.447	217.9490000000000112		
14222.667	252.427999999999997	8034.935	3	7320	7	14386.689	121	14386.689	158.0219999999999907	14386.689	2	14386.689	164.0219999999999907		
14225.606	11.36599999999999962	8077.946	2	7380	6	14542.832	124	14542.832	150.1429999999999718	14542.832	2	14542.832	156.1429999999999718		
14291.447	50.21999999999999875	8110.867	1	7440	5	14653.651	122	14653.651	424.044999999999957	14653.651	1	14653.651	428.044999999999957		
14386.689	63.30199999999999225	8163.952	2	7500	5	14661.668	125	14661.668	112.8359999999999838	14661.668	2	14661.668	118.8359999999999837		
14542.832	21.45199999999999812	8328.716	1	7560	6	14949.176	123	14949.176	655.729000000000039	14949.176	0	14949.176	657.729000000000039		
14653.651	57.7299999999999895	8352.137	0	7620	6	14960.47	127	14960.47	253.825999999999964	14960.47	2	14960.47	259.826000000000021		
14700.644	0	8375.962	1	7680	6	14964.554	126	14964.554	306.9030000000000187	14964.554	1	14964.554	310.9030000000000187		
14949.176	207.7350000000000128	8439.482	0	7740	3	15151.017	129	15151.017	184.5469999999999678	15151.017	2	15151.017	190.5469999999999678		
14960.47	161.8609999999999891	8454.078	1	7800	4	15313.369	131	15313.369	156.351999999999975	15313.369	2	15313.369	162.351999999999975		
14964.554	25.11699999999999725	8516.169	0	7860	4	15414.151	130	15414.151	445.5969999999999782	15414.151	1	15414.151	449.5969999999999782		
15151.017	79.1269999999999808	8557.765	1	7920	4	15589.288	128	15589.288	638.1119999999998505	15589.288	0	15589.288	640.1119999999998505		
15313.369	107.1009999999999988	8581.588	0	7980	3	15657.193	132	15657.193	337.823999999999954	15657.193	2	15657.193	343.823999999999954		
15414.151	131.036000000000001	8860.676	0	8040	3	15740.968	133	15740.968	322.8170000000000062	15740.968	1	15740.968	326.8170000000000062		
15589.288	160.851999999999975	9143.574	0	8100	2	15795.333	135	15795.333	132.139999999999986	15795.333	2	15795.333	138.1399999999999858		
15657.193	134.8839999999999572	9237.043	0	8160	1	16041.664	137	16041.664	240.3309999999999595	16041.664	2	16041.664	246.3309999999999595		
15740.968	211.4730000000000125	9325.122	0	8220	2	16088.279	134	16088.279	496.990999999999984	16088.279	0	16088.279	498.990999999999984		
15795.333	138.699999999999988	9367.218	0	8280	2	16200.715	136	16200.715	455.7469999999999555	16200.715	1	16200.715	459.7469999999999555		
16041.664	218.1109999999999891	9402.953	1	8340	1	16301.282	138	16301.282	253.6179999999999945	16301.282	2	16301.282	259.6179999999999375		
16088.279	251.730999999999994	9425.146	0	8400	1	16430.103	140	16430.103	225.387999999999976	16430.103	1	16430.103	229.387999999999976		
16200.715	282.6569999999999242	9490.435	1	8460	1	16453.635	139	16453.635	363.355999999999994	16453.635	0	16453.635	365.355999999999994		
16301.282	253.3539999999999837	9517.046	0	8520	0	16516.214	141	16516.214	208.9319999999999587	16516.214	2	16516.214	214.9319999999999587		
16513.593	0	9550.613	1	8580	1	16672.037	142	16672.037	156.4439999999999595	16672.037	0	16672.037	158.4439999999999595		
16699.839	0	9600.667	0	8640	0	16919.264	144	16919.264	208.786999999999977	16919.264	1	16919.264	212.786999999999977		
16706.477	0	9670.828	0	8700	0	17057.799	145	17057.799	266.613999999999918	17057.799	2	17057.799	272.613999999999918		
16785.185	0	9780.993	1	8760	0	17081.911	143	17081.911	380.0720000000000015	17081.911	0	17081.911	382.0720000000000015		
16919.264	6.29999999999999891	9832.579	2	8820	0	17312.071	146	17312.071	388.807000000000015	17312.071	1	17312.071	392.807000000000015		
17057.799	120.006	9914.447	1	8880	0	17345.912	147	17345.912	282.1129999999999415	17345.912	2	17345.912	288.1129999999999415		
17081.911	52.06999999999999305	9973.815	0	8940	0	17427.202	148	17427.202	343.290999999999939	17427.202	0	17427.202	345.290999999999939		
17571.401	0	10325.264	0	9000	0	17683.31	149	17683.31	109.9089999999999914	17683.31	0	17683.31	111.9089999999999914		
17709.638	0	10325.908	1	9060	0	17888.198	151	17888.198	163.072000000000002	17888.198	1	17888.198	167.072000000000002		
17721.126	0	10345.31	0	9120	0	17933.836	150	17933.836	222.1979999999999783	17933.836	0	17933.836	224.1979999999999783		
17838.897	0	10353.369	1	9180	0	18218.233	153	18218.233	326.0349999999999667	18218.233	1	18218.233	330.0349999999999667		
17888.198	4.134000000000000327	10496.169	0	9240	0	18308.716	154	18308.716	372.879999999999994	18308.716	0	18308.716	374.879999999999994		
17933.836	32.69899999999999795	10614.954	1	9300	0	18456.706	152	18456.706	611.808999999999966	18456.706	2	18456.706	617.808999999999966		
18218.233	283.8969999999999335	10657.218	2	9360	0	18546.302	156	18546.302	235.5860000000000115	18546.302	0	18546.302	237.5860000000000115		
18308.716	303.4629999999999645	10669.533	1	9420	1	18645.685	155	18645.685	423.4519999999999967	18645.685	1	18645.685	427.4519999999999967		
18456.706	253.5519999999999632	10741.15	0	9480	0	18708.325	158	18708.325	160.0229999999999671	18708.325	0	18708.325	162.0229999999999671		
18546.302	300.2579999999999232	10861.23	0	9540	0	18803.506	159	18803.506	153.8209999999999688	18803.506	1	18803.506	157.8209999999999688		
18645.685	129.209999999999979	10934.599	1	9600	1	18870.002	157	18870.002	407.2959999999999337	18870.002	2	18870.002	413.2959999999999337		
18717.397	0	10956.069	0	9660	0	19044.22	162	19044.22	168.2179999999999602	19044.22	2	19044.22	174.2179999999999602		
18803.506	85.44199999999997855	11011.664	1	9720	0	19206.062	161	19206.062	398.5559999999999252	19206.062	1	19206.062	402.5559999999999252		
18870.002	136.978000000000008	11017.64	2	9780	0	19255.963	163	19255.963	205.7429999999999945	19255.963	2	19255.963	211.7429999999999945		
19044.22	231.5860000000000115	11082.346	3	9840	2	19324.434	160	19324.434	605.0370000000000315	19324.434	0	19324.434	607.0370000000000315		
19206.062	325.004000000000018	11093.621	2	9900	2	19513.717	164	19513.717	303.6549999999999717	19513.717	1	19513.717	307.6549999999999717		
19255.963	362.6559999999999477	11138.226	1	9960	1	19549.165	165	19549.165	287.201999999999997	19549.165	2	19549.165	293.2019999999999967		
19324.434	407.047000000000024	11216.347	0	10020	0	19597.379	166	19597.379	270.9449999999999352	19597.379	0	19597.379	272.9449999999999352		
19513.717	200.6949999999999925	11230.353	1	10080	0	19731.09	167	19731.09	213.3729999999999895	19731.09	1	19731.09	217.3729999999999895		
19549.165	127.2179999999999888	11420.056	0	10140	0	19806.18	169	19806.18	206.8009999999999871	19806.18	0	19806.18	208.8009999999999871		
19597.379	105.129999999999995	11428	1	10200	0	19947.057	168	19947.057	391.8919999999999377	19947.057	2	19947.057	397.8919999999999377		
19731.09	127.576999999999998	11468.515	2	10260	0	20162.083	170	20162.083	426.9929999999999367	20162.083	1	20162.083	430.9929999999999365		
19806.18	177.230999999999994	11481.473	1	10320	0	20331.819	172	20331.819	378.7619999999999425	20331.819	2	20331.819	384.7619999999999425		
19947.057	213.4309999999999825	11582.869	0	10380	1	20570.931	173	20570.931	404.8479999999999552	20570.931	1	20570.931	408.8479999999999552		
20162.083	302.2210000000000027	12057.489	0	10440	1	20613.318	174	20613.318	275.4990000000000227	20613.318	2	20613.318	281.4990000000000225		
20331.819	178.6159999999999847	12188.678	0	10500	0	20631.231	171	20631.231	823.050999999999928	20631.231	0	20631.231	825.050999999999928		
20570.931	334.0520000000000195	12272.426	0	10560	0	20756.358	175	20756.358	181.4269999999999633	20756.358	1	20756.358	185.4269999999999633		
20613.318	276.8650000000000082	12342.074	1	10620	1	20914.276	176	20914.276	294.957999999999969	20914.276	2	20914.276	300.957999999999969		
20932.446	0	12347.981	2	10680	1	21159.013	177	21159.013	224.5670000000000066	21159.013	0	21159.013	226.5670000000000066		
