
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-23:23:12-2740)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-23:23:12-2740)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-23:23:12-2740)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:23:12-2740)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-23:23:12-2740)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:23:12-2740)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-23:23:12-2740)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-23:23:12-2740)	
0	0	0	0	60	0	196.826	2	196.826	138.2749999999999766	196.826	2	196.826	144.2749999999999766	600	25
35.768	0	35.768	0	120	0	232.898	0	232.898	230.8979999999999667	232.898	0	232.898	232.8979999999999667	1200	26
52.551	0	52.551	0	180	0	260.332	4	260.332	154.8410000000000075	260.332	4	260.332	164.8410000000000075	1800	13
60.27	0	60.27	0	240	0	282.218	1	282.218	242.4499999999999875	282.218	1	282.218	246.4499999999999875	2400	18
95.491	0	95.491	0	300	1	346.248	6	346.248	204.3779999999999847	346.248	6	346.248	218.3779999999999847	3000	19
111.994	0	111.994	0	360	0	347.784	5	347.784	223.7899999999999627	347.784	5	347.784	235.7899999999999627	3600	25
127.87	0	127.87	0	420	0	355.308	8	355.308	159.4230000000000013	355.308	8	355.308	177.4230000000000013	4200	19
162.509	0	162.509	0	480	2	367.779	7	367.779	189.2699999999999812	367.779	7	367.779	205.2699999999999812	4800	30
177.885	0	177.885	0	540	0	391.052	9	391.052	167.991999999999961	391.052	2	391.052	173.991999999999961	5400	15
217.06	0	217.06	0	600	0	469.302	12	469.302	198.9699999999999696	469.302	4	469.302	208.9699999999999696	6000	13
225.482	0	225.482	0	660	0	483.215	10	483.215	237.733000000000003	483.215	9	483.215	257.7329999999999465	6600	12
232.898	5.570000000000000265	227.328	1	720	0	510.068	14	510.068	149.8199999999999926	510.068	6	510.068	163.8199999999999926	7200	20
