
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-02:34:27-14168)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-02:34:27-14168)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-02:34:27-14168)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-02:34:27-14168)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-02:34:27-14168)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-02:34:27-14168)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-02:34:27-14168)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-02:34:27-14168)	
0	0	0	0	60	0	290.781	1	290.781	215.2450000000000038	290.781	1	290.781	219.2450000000000038	600	14
71.536	0	71.536	0	120	0	704.792	2	704.792	607.0319999999999225	704.792	2	704.792	613.0319999999999225	1200	14
91.76	0	91.76	0	180	0	720.063	6	720.063	411.0249999999999755	720.063	1	720.063	415.0249999999999755	1800	12
125.326	0	125.326	0	240	0	722.157	4	722.157	516.3889999999998945	722.157	4	722.157	526.3889999999998945	2400	9
195.768	0	195.768	0	300	0	869.569	8	869.569	388.396999999999933	869.569	7	869.569	404.396999999999933	3000	8
272.032	0	272.032	0	360	0	907.233	13	907.233	175.075999999999964	907.233	4	907.233	185.075999999999964	3600	15
305.038	0	305.038	0	420	0	930.645	0	930.645	928.64499999999998	930.645	0	930.645	930.64499999999998	4200	12
395.893	0	395.893	0	480	0	1063.97	7	1063.97	654.0769999999999955	1063.97	6	1063.97	668.0769999999999955	4800	11
465.172	0	465.172	0	540	0	1077.68	3	1077.68	944.354000000000038	1077.68	3	1077.68	952.354000000000038	5400	10
504.515	0	504.515	0	600	3	1263.175	9	1263.175	740.659999999999853	1263.175	8	1263.175	758.659999999999853	6000	12
513.561	0	513.561	0	660	6	1349.265	15	1349.265	432.0319999999999237	1349.265	4	1349.265	442.0319999999999237	6600	9
704.792	160.4799999999999608	544.312	1	720	6	1389.628	11	1389.628	678.8360000000000105	1389.628	2	1389.628	684.8360000000000105	7200	10
720.063	150.5299999999999722	569.533	2	780	5	1473.42	12	1473.42	749.3569999999999685	1473.42	1	1473.42	753.3569999999999685	7800	12
722.157	129.1169999999999613	593.04	3	840	6	1503.751	10	1503.751	970.190000000000051	1503.751	9	1503.751	990.190000000000051	8400	14
869.569	241.8929999999999715	627.676	4	900	8	1591.992	19	1591.992	310.8170000000000062	1591.992	8	1591.992	328.8170000000000062	9000	10
907.233	262.7139999999999412	644.519	5	960	7	1612.188	21	1612.188	216.5600000000000016	1612.188	2	1612.188	222.5600000000000016	9600	9
930.645	282.433999999999968	648.211	6	1020	9	1687.122	16	1687.122	754.476999999999859	1687.122	0	1687.122	756.476999999999859	10200	10
1063.97	344.5609999999999205	704.792	5	1080	7	1709.563	24	1709.563	99.5709999999999976	1709.563	8	1709.563	117.5709999999999976	10800	11
1077.68	327.8170000000000062	719.409	6	1140	8	1712.607	20	1712.607	353.341999999999983	1712.607	4	1712.607	363.341999999999983	11400	10
1263.175	432.947999999999977	720.063	5	1200	9	1812.647	14	1812.647	927.077999999999972	1812.647	7	1812.647	943.077999999999972	12000	13
1349.265	484.221000000000002	722.157	4	1260	11	1890.161	28	1890.161	167.5539999999999731	1890.161	4	1890.161	177.5539999999999731	12600	12
1389.628	513.009000000000013	749.863	5	1320	11	2036.054	17	2036.054	958.083999999999829	2036.054	6	2036.054	972.083999999999829	13200	9
1473.42	591.5549999999998335	830.227	6	1380	11	2086.394	18	2086.394	1000.713999999999938	2086.394	3	2086.394	1008.713999999999938	13800	9
1503.751	576.3859999999999645	865.044	7	1440	12	2128.538	26	2128.538	439.4159999999999382	2128.538	0	2128.538	441.4159999999999382	14400	15
1591.992	619.0919999999998685	869.569	6	1500	13	2225.184	22	2225.184	747.763999999999894	2225.184	1	2225.184	751.763999999999894	15000	5
1612.188	618.0769999999999955	876.619	7	1560	12	2247.592	27	2247.592	520.028999999999994	2247.592	8	2247.592	538.028999999999994	15600	14
1687.122	579.4109999999998285	881.865	8	1620	10	2258.778	29	2258.778	430.1309999999999695	2258.778	7	2258.778	446.1309999999999695	16200	9
1709.563	561.205999999999902	907.233	7	1680	10	2393.242	36	2393.242	118.4639999999999985	2393.242	7	2393.242	134.4639999999999981	16800	5
1712.607	507.596000000000002	927.365	8	1740	9	2599.491	23	2599.491	1075.739999999999779	2599.491	9	2599.491	1095.739999999999779	17400	10
1812.647	581.0709999999999115	930.645	7	1800	11	2640.602	32	2640.602	546.2079999999998545	2640.602	3	2640.602	554.2079999999998545	18000	6
1890.161	581.6810000000000375	972.9	8	1860	13	2662.254	33	2662.254	531.715999999999893	2662.254	0	2662.254	533.715999999999893	18600	7
