
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)	
10839.804	28.55199999999999952	6739.176	1	22140	9	11138.132	369	11138.132	289.3619999999999655	11138.132	3	11138.132	297.3619999999999655
10840.77	4.368000000000000305	6793.409	2	22200	10	11162.287	368	11162.287	308.4829999999999462	11162.287	6	11162.287	322.4829999999999462
10896.961	35.2629999999999909	6807.827	1	22260	13	11194.9	370	11194.9	277.938999999999964	11194.9	9	11194.9	297.9389999999999637
10934.324	51.201999999999998	6816.891	0	22320	14	11233.155	372	11233.155	273.1669999999999157	11233.155	7	11233.155	289.166999999999915
10943.988	49.8250000000000027	6864.992	0	22380	16	11276.551	371	11276.551	330.2269999999999742	11276.551	5	11276.551	342.2269999999999742
10996.195	96.5329999999999867	6931.855	0	22440	14	11283.703	373	11283.703	285.5079999999999232	11283.703	0	11283.703	287.5079999999999232
11004.547	91.56100000000000675	6938.78	0	22500	15	11316.823	375	11316.823	263.725999999999998	11316.823	4	11316.823	273.725999999999998
11043.097	107.1989999999999834	6948.734	1	22560	13	11326.757	374	11326.757	318.2099999999999217	11326.757	1	11326.757	322.2099999999999217
11082.245	132.7959999999999918	6961.034	2	22620	12	11344.972	376	11344.972	244.7269999999999745	11344.972	8	11344.972	262.7269999999999745
11105.447	147.4230000000000013	6964.9	1	22680	14	11396.543	377	11396.543	285.0960000000000027	11396.543	2	11396.543	291.0960000000000027
11138.132	173.3319999999999931	6975.541	0	22740	14	11426.173	379	11426.173	249.8859999999999662	11426.173	6	11426.173	263.8859999999999662
11162.287	166.2119999999999883	6977.3	0	22800	14	11432.215	378	11432.215	286.082999999999969	11432.215	3	11432.215	294.082999999999969
11194.9	185.5740000000000116	7029.13	0	22860	13	11500.744	381	11500.744	251.5889999999999975	11500.744	7	11500.744	267.5889999999999412
11233.155	201.3729999999999895	7083.306	0	22920	15	11524.045	380	11524.045	309.1449999999999805	11524.045	9	11524.045	329.1449999999999805
11276.551	240.6939999999999592	7087.052	0	22980	15	11532.667	383	11532.667	246.9639999999999975	11532.667	0	11532.667	248.9639999999999975
11283.703	225.7819999999999808	7108.489	0	23040	18	11586.206	384	11586.206	259.3829999999999237	11586.206	4	11586.206	269.3829999999999237
11316.823	248.825999999999964	7119.234	1	23100	16	11591.9	382	11591.9	303.3489999999999317	11591.9	5	11591.9	315.3489999999999317
11326.757	254.1089999999999795	7128.701	0	23160	20	11606.573	385	11606.573	275.815999999999916	11606.573	1	11606.573	279.815999999999916
11344.972	226.632000000000004	7131.442	1	23220	22	11628.411	386	11628.411	265.438999999999964	11628.411	8	11628.411	283.4389999999999637
11396.543	257.8859999999999662	7159.151	2	23280	22	11652.572	387	11652.572	250.028999999999996	11652.572	2	11652.572	256.028999999999996
11426.173	227.1189999999999706	7161.406	3	23340	21	11750.301	389	11750.301	310.0860000000000115	11750.301	3	11750.301	318.0860000000000115
11432.215	131.8189999999999595	7186.349	4	23400	19	11751.085	388	11751.085	310.91199999999992	11751.085	6	11751.085	324.91199999999992
11500.744	156.248999999999966	7190.097	3	23460	21	11772.475	392	11772.475	237.807999999999992	11772.475	0	11772.475	239.807999999999992
11524.045	85.6299999999999951	7223.499	2	23520	19	11782.2	390	11782.2	265.456000000000016	11782.2	7	11782.2	281.456000000000016
11532.667	38.26999999999999582	7224.576	3	23580	16	11827.836	391	11827.836	283.790999999999939	11827.836	9	11827.836	303.790999999999939
11586.206	90.55599999999998285	7239.242	2	23640	15	11863.004	393	11863.004	266.798000000000001	11863.004	4	11863.004	276.798000000000001
11591.9	95.0619999999999829	7239.758	1	23700	16	11864.098	394	11864.098	260.1979999999999782	11864.098	5	11864.098	272.1979999999999782
11606.573	87.9579999999999981	7258.47	2	23760	16	11864.318	395	11864.318	253.7450000000000037	11864.318	1	11864.318	257.7450000000000037
11628.411	69.24299999999999465	7279.564	3	23820	13	11897.047	396	11897.047	250.6359999999999662	11897.047	8	11897.047	268.6359999999999662
11652.572	85.0540000000000016	7291.086	2	23880	13	11900.249	397	11900.249	241.6769999999999632	11900.249	2	11900.249	247.6769999999999632
11750.301	103.717999999999989	7315.769	1	23940	13	12000.436	400	12000.436	225.9610000000000116	12000.436	0	12000.436	227.9610000000000116
11751.085	86.7709999999999863	7320.18	2	24000	12	12027.795	398	12027.795	269.4940000000000275	12027.795	3	12027.795	277.4940000000000275
11772.475	70.9939999999999994	7346.686	3	24060	14	12046.501	399	12046.501	281.415999999999939	12046.501	6	12046.501	295.415999999999939
11782.2	79.881	7351.075	2	24120	12	12059.631	401	12059.631	261.4309999999999252	12059.631	7	12059.631	277.4309999999999252
11827.836	108.1020000000000035	7368.578	1	24180	12	12121.94	402	12121.94	274.1039999999999272	12121.94	9	12121.94	294.103999999999927
11863.004	142.2969999999999681	7380.823	0	24240	11	12128.364	405	12128.364	260.0459999999999347	12128.364	1	12128.364	264.0459999999999347
11864.098	98.1339999999999859	7382.21	1	24300	13	12139.944	404	12139.944	263.8460000000000027	12139.944	5	12139.944	275.8460000000000027
11864.318	62.0989999999999893	7424.106	0	24360	12	12144.711	403	12144.711	271.706999999999993	12144.711	4	12144.711	281.706999999999993
11897.047	71.08599999999998405	7500.403	0	24420	13	12155.12	406	12155.12	240.0729999999999782	12155.12	8	12155.12	258.0729999999999782
11900.249	55.350999999999999	7507.112	0	24480	14	12187.488	407	12187.488	281.2389999999999177	12187.488	2	12187.488	287.2389999999999175
12000.436	71.734999999999985	7513.157	0	24540	15	12322.126	408	12322.126	319.68999999999994	12322.126	0	12322.126	321.68999999999994
12027.795	66.1479999999999959	7564.697	0	24600	13	12339.128	409	12339.128	303.332999999999969	12339.128	3	12339.128	311.332999999999969
12046.501	79.109999999999985	7569.093	1	24660	16	12348.393	413	12348.393	216.028999999999996	12348.393	1	12348.393	220.028999999999996
12070.128	0	7572.014	0	24720	15	12394.482	410	12394.482	333.980999999999994	12394.482	6	12394.482	347.980999999999994
12121.94	46.3629999999999994	7581.223	1	24780	14	12414.656	411	12414.656	328.5280000000000187	12414.656	7	12414.656	344.5280000000000187
12128.364	42.147999999999996	7587.145	2	24840	12	12433.842	415	12433.842	279.130999999999971	12433.842	4	12433.842	289.1309999999999707
12139.944	11.59900000000000015	7614.505	1	24900	11	12438.805	414	12438.805	286.860999999999989	12438.805	5	12438.805	298.860999999999989
12144.711	11.064	7616.193	0	24960	13	12442.064	412	12442.064	300.1240000000000225	12442.064	9	12442.064	320.1240000000000225
12180.164	0	7679.322	0	25020	14	12446.667	416	12446.667	248.5029999999999845	12446.667	8	12446.667	266.5029999999999282
12203.458	0	7701.257	0	25080	13	12448.471	417	12448.471	239.012999999999976	12448.471	2	12448.471	245.012999999999976
12322.126	54.16799999999999195	7720.342	0	25140	10	12596.795	419	12596.795	249.6669999999999725	12596.795	3	12596.795	257.6669999999999157
12339.128	39.89900000000000077	7721.239	1	25200	8	12601.574	420	12601.574	249.1809999999999815	12601.574	1	12601.574	253.1809999999999815
12348.393	34.83199999999999352	7753.143	0	25260	7	12608.853	418	12608.853	284.7269999999999745	12608.853	0	12608.853	286.7269999999999745
12394.482	69.0420000000000013	7754.96	1	25320	7	12657.107	422	12657.107	226.450999999999964	12657.107	7	12657.107	242.450999999999964
12414.656	88.3199999999999928	7758.694	2	25380	5	12665.85	421	12665.85	257.3679999999999375	12665.85	6	12665.85	271.367999999999937
12433.842	101.5749999999999882	7761.438	3	25440	5	12691.977	423	12691.977	248.13499999999999	12691.977	4	12691.977	258.13499999999999
12438.805	73.4890000000000039	7791.142	4	25500	5	12729.55	424	12729.55	278.7450000000000032	12729.55	5	12729.55	290.7450000000000032
12442.064	67.58199999999999335	7800.279	3	25560	7	12740.898	427	12740.898	286.4270000000000197	12740.898	2	12740.898	292.4270000000000195
12446.667	50.2549999999999953	7804.345	2	25620	11	12762.15	426	12762.15	297.4829999999999462	12762.15	8	12762.15	315.4829999999999462
12448.471	33.5099999999999908	7811.412	3	25680	8	12782.583	425	12782.583	320.519000000000004	12782.583	9	12782.583	340.519000000000004
12596.795	172.0790000000000071	7825.351	4	25740	8	12859.372	429	12859.372	253.798000000000001	12859.372	1	12859.372	257.798000000000001
12601.574	142.2129999999999647	7826.625	3	25800	8	12872.765	430	12872.765	261.91199999999992	12872.765	0	12872.765	263.91199999999992
12608.853	124.7669999999999955	7834.8	4	25860	12	12876.133	428	12876.133	271.3379999999999647	12876.133	3	12876.133	279.3379999999999647
12657.107	169.9209999999999915	7862.475	3	25920	13	12933.646	431	12933.646	260.5389999999999862	12933.646	7	12933.646	276.5389999999999862
12665.85	165.4099999999999676	7878.752	2	25980	12	12942.578	432	12942.578	262.727999999999951	12942.578	6	12942.578	276.727999999999951
12691.977	191.0229999999999668	7879.419	3	26040	10	13005.544	435	13005.544	258.6459999999999572	13005.544	2	13005.544	264.6459999999999572
12729.55	211.3319999999999931	7886.797	4	26100	11	13015.204	433	13015.204	313.2269999999999742	13015.204	4	13015.204	323.2269999999999742
12740.898	215.012999999999976	7898.359	5	26160	11	13047.335	436	13047.335	267.1849999999999447	13047.335	8	13047.335	285.1849999999999447
12762.15	194.3949999999999812	7911.019	4	26220	12	13053	434	13053	311.4499999999999307	13053	5	13053	323.4499999999999307
12782.583	166.3530000000000078	7954.435	5	26280	10	13065.376	437	13065.376	262.7930000000000052	13065.376	9	13065.376	282.7930000000000052
12859.372	224.4590000000000025	7961.29	6	26340	10	13146.494	438	13146.494	283.1219999999999565	13146.494	1	13146.494	287.1219999999999565
12872.765	219.6979999999999783	7962.441	5	26400	12	13151.602	439	13151.602	276.8369999999999882	13151.602	0	13151.602	278.8369999999999882
12876.133	24.32499999999999565	7972.612	6	26460	14	13203.53	441	13203.53	253.8839999999999565	13203.53	7	13203.53	269.884000000000014
12933.646	38.43599999999999267	7983.144	5	26520	10	13209.827	440	13209.827	325.6939999999999587	13209.827	3	13209.827	333.6939999999999587
12942.578	26.84100000000000097	7989.38	4	26580	10	13261.387	442	13261.387	304.808999999999968	13261.387	6	13261.387	318.808999999999968
13005.544	82.05199999999999225	7992.105	5	26640	12	13276.265	443	13276.265	264.7210000000000027	13276.265	2	13276.265	270.7210000000000027
13015.204	54.8439999999999939	8064.248	6	26700	10	13298.463	446	13298.463	233.4629999999999647	13298.463	5	13298.463	245.4629999999999647
13047.335	60.26999999999999565	8072.348	5	26760	11	13313.977	444	13313.977	288.7730000000000232	13313.977	4	13313.977	298.7730000000000232
13053	48.2849999999999963	8080.763	6	26820	12	13343.839	445	13343.839	278.504000000000018	13343.839	8	13343.839	296.504000000000018
13065.376	28.50199999999999522	8083.196	5	26880	12	13355.629	447	13355.629	270.2529999999999282	13355.629	9	13355.629	290.252999999999928
13172.491	0	8091.668	4	26940	11	13406.16	448	13406.16	231.6689999999999815	13406.16	0	13406.16	233.6689999999999815
13263.895	0	8097.994	3	27000	11	13519.245	449	13519.245	251.3499999999999652	13519.245	1	13519.245	255.3499999999999652
13311.04	0	8098.385	4	27060	8	13565.426	450	13565.426	248.3859999999999662	13565.426	2	13565.426	254.3859999999999662
13324.809	0	8107.87	3	27120	8	13585.136	452	13585.136	237.3410000000000072	13585.136	4	13585.136	247.3410000000000072
13337.795	0	8124.495	4	27180	12	13604.642	451	13604.642	271.832999999999969	13604.642	3	13604.642	279.832999999999969
13386.66	0	8125.741	5	27240	10	13656.193	454	13656.193	249.190999999999973	13656.193	6	13656.193	263.1909999999999162
13393.002	0	8140.844	6	27300	7	13687.589	453	13687.589	288.9289999999999725	13687.589	5	13687.589	300.9289999999999725
13448.754	0	8148.159	5	27360	7	13729.997	455	13729.997	279.242999999999937	13729.997	0	13729.997	281.242999999999937
13448.882	0	8151.473	4	27420	6	13734.41	457	13734.41	248.658999999999991	13734.41	8	13734.41	266.658999999999991
13467.751	0	8154.652	5	27480	5	13747.467	456	13747.467	282.5849999999999217	13747.467	7	13747.467	298.5849999999999217
13484.212	0	8160.126	6	27540	5	13811.991	458	13811.991	307.7789999999999952	13811.991	9	13811.991	327.7789999999999952
13570.478	0	8167.051	7	27600	1	13826.652	459	13826.652	252.1739999999999775	13826.652	1	13826.652	256.1739999999999775
13593.289	0	8186.061	8	27660	3	13845.68	460	13845.68	246.3909999999999617	13845.68	2	13845.68	252.3909999999999617
13600.239	0	8199.535	9	27720	3	13855.594	461	13855.594	245.3549999999999602	13855.594	4	13855.594	255.3549999999999602
13617.293	0	8211.585	10	27780	4	13924.096	462	13924.096	298.8029999999999962	13924.096	3	13924.096	306.8029999999999962
13656.193	19.03799999999999663	8228.773	9	27840	1	13939.164	464	13939.164	239.5749999999999875	13939.164	5	13939.164	251.5749999999999875
13687.589	48.09599999999998915	8232.949	10	27900	0	14014.819	466	14014.819	262.408999999999991	14014.819	8	14014.819	280.4089999999999905
13729.997	45.86899999999999957	8245.256	9	27960	0	14018.537	463	14018.537	348.3439999999999357	14018.537	6	14018.537	362.3439999999999357
13734.41	20.88799999999999806	8252.811	10	28020	1	14026.274	467	14026.274	262.8070000000000155	14026.274	7	14026.274	278.8070000000000155
13747.467	26.49699999999999977	8257.483	9	28080	2	14034.326	465	14034.326	302.32899999999995	14034.326	0	14034.326	304.32899999999995
13811.991	50.3889999999999956	8263.379	10	28140	0	14097.591	468	14097.591	265.600000000000022	14097.591	9	14097.591	285.6000000000000217
13826.652	8.631999999999997875	8341.05	11	28200	0	14113.577	471	14113.577	247.983000000000003	14113.577	4	14113.577	257.9829999999999465
13845.68	18.97500000000000135	8347.003	10	28260	2	14134.958	470	14134.958	283.2780000000000187	14134.958	2	14134.958	289.2780000000000187
13855.594	28.43499999999999502	8348.442	9	28320	5	14135.855	469	14135.855	305.2029999999999732	14135.855	1	14135.855	309.2029999999999732
13924.096	85.19700000000000235	8389.183	8	28380	8	14186.196	472	14186.196	254.0999999999999652	14186.196	3	14186.196	262.100000000000022
13939.164	36.87099999999999492	8391.205	7	28440	2	14213.152	473	14213.152	261.9879999999999417	14213.152	5	14213.152	273.9879999999999417
14014.819	78.8249999999999883	8400.069	6	28500	5	14276.353	477	14276.353	240.0269999999999855	14276.353	0	14276.353	242.0269999999999855
14018.537	75.49699999999998535	8425.804	5	28560	4	14288.339	474	14288.339	255.5199999999999807	14288.339	8	14288.339	273.5199999999999807
14026.274	53.4549999999999981	8433.372	4	28620	3	14305.403	476	14305.403	263.129000000000018	14305.403	7	14305.403	279.129000000000018
14034.326	32.14999999999999132	8448.422	5	28680	7	14312.184	475	14312.184	279.6469999999999335	14312.184	6	14312.184	293.6469999999999332
14097.591	9.47799999999999794	8450.202	6	28740	5	14405.566	478	14405.566	287.9750000000000217	14405.566	9	14405.566	307.9750000000000217
14122.677	0	8452.79	7	28800	7	14418.814	479	14418.814	286.1369999999999425	14418.814	4	14418.814	296.1369999999999425
14147.558	0	8467.414	8	28860	6	14440.668	481	14440.668	280.5620000000000107	14440.668	2	14440.668	286.5620000000000107
14154.106	0	8476.916	9	28920	11	14447.307	480	14447.307	295.7490000000000225	14447.307	1	14447.307	299.7490000000000225
14186.196	8.10500000000000039	8501.209	8	28980	9	14452.425	482	14452.425	258.2289999999999272	14452.425	3	14452.425	266.2289999999999272
14228.441	0	8502.032	9	29040	9	14504.521	483	14504.521	264.0799999999999265	14504.521	5	14504.521	276.0799999999999265
14276.353	38.82899999999999337	8508.165	10	29100	10	14551.307	485	14551.307	244.96799999999996	14551.307	8	14551.307	262.96799999999996
14288.339	13.67099999999999931	8508.868	11	29160	14	14598.722	487	14598.722	249.7199999999999695	14598.722	7	14598.722	265.7200000000000265
14323.202	0	8546.919	10	29220	16	14608.206	486	14608.206	271.004000000000018	14608.206	6	14608.206	285.004000000000018
14333.002	0	8547.625	9	29280	13	14619.603	484	14619.603	341.25	14619.603	0	14619.603	343.25
14405.566	70.87999999999999515	8601.123	10	29340	13	14682.807	488	14682.807	257.2409999999999845	14682.807	9	14682.807	277.2409999999999845
14418.814	81.9509999999999931	8622.452	9	29400	15	14714.649	492	14714.649	247.3619999999999657	14714.649	3	14714.649	255.3619999999999657
14440.668	94.4619999999999888	8649.284	8	29460	16	14720.382	490	14720.382	273.7139999999999412	14720.382	2	14720.382	279.7139999999999412
14447.307	65.5449999999999873	8649.954	7	29520	16	14720.964	491	14720.964	269.6569999999999242	14720.964	1	14720.964	273.6569999999999242
14459.287	0	8666.56	8	29580	12	14738.116	489	14738.116	309.3020000000000195	14738.116	4	14738.116	319.3020000000000195
14504.521	3.963999999999999507	8677.679	7	29640	10	14830.093	493	14830.093	313.5720000000000017	14830.093	5	14830.093	325.5720000000000017
14556.128	0	8680.516	8	29700	10	14840.827	494	14840.827	266.698999999999955	14840.827	8	14840.827	284.698999999999954
14598.722	13.66399999999999786	8686.465	7	29760	8	14864.302	495	14864.302	249.5799999999999827	14864.302	7	14864.302	265.5799999999999265
14608.206	21.85199999999999668	8703.405	6	29820	6	14922.373	497	14922.373	300.7699999999999805	14922.373	0	14922.373	302.7699999999999805
14619.603	12.375	8705.6	5	29880	5	14926.566	496	14926.566	304.3600000000000125	14926.566	6	14926.566	318.3600000000000125
14682.807	57.93800000000000215	8764.308	6	29940	3	14973.255	498	14973.255	270.4479999999999782	14973.255	9	14973.255	290.4479999999999782
14714.649	47.4549999999999981	8778.832	5	30000	4	14974.758	500	14974.758	249.278999999999996	14974.758	1	14974.758	253.278999999999996
14721.479	0	8786.546	6	30060	4	14993.153	499	14993.153	270.504000000000018	14993.153	3	14993.153	278.504000000000018
14795.558	0	8789.383	5	30120	4	15061.733	501	15061.733	260.174999999999954	15061.733	2	15061.733	266.174999999999954
14800.313	0	8800.525	6	30180	1	15081.506	502	15081.506	271.1929999999999827	15081.506	4	15081.506	281.1929999999999825
14830.093	19.92499999999999707	8803.99	7	30240	0	15123.072	505	15123.072	242.7699999999999807	15123.072	7	15123.072	258.7699999999999807
14840.827	21.12599999999999757	8809.195	6	30300	2	15134.431	506	15134.431	210.0579999999999921	15134.431	0	15134.431	212.0579999999999921
14864.302	12.44200000000000012	8890.202	5	30360	5	15135.38	503	15135.38	293.28699999999992	15135.38	5	15135.38	305.28699999999992
14922.373	62.5729999999999931	8898.701	4	30420	3	15151.454	504	15151.454	292.6269999999999515	15151.454	8	15151.454	310.6269999999999515
14926.566	63.1509999999999959	8929.987	3	30480	3	15221.379	509	15221.379	242.62099999999998	15221.379	1	15221.379	246.62099999999998
14973.255	81.47899999999998475	8937.777	4	30540	2	15248.863	507	15248.863	308.2970000000000242	15248.863	6	15248.863	322.2970000000000242
14974.758	28.85699999999999925	8951.665	3	30600	1	15276.988	508	15276.988	283.7329999999999462	15276.988	9	15276.988	303.7329999999999462
14993.153	44.7669999999999957	8957.737	2	30660	0	15308.834	510	15308.834	307.6809999999999252	15308.834	3	15308.834	315.6809999999999252
15061.733	83.92499999999998265	8977.445	1	30720	0	15342.057	511	15342.057	274.323999999999954	15342.057	2	15342.057	280.323999999999954
15081.506	72.6459999999999863	9008.328	0	30780	0	15373.377	512	15373.377	281.8709999999999797	15373.377	4	15373.377	291.8709999999999795
15123.072	90.6009999999999988	9023.824	1	30840	1	15409.262	515	15409.262	261.8819999999999472	15409.262	5	15409.262	273.8819999999999472
15134.431	100.7939999999999823	9038.905	2	30900	0	15419.838	514	15419.838	283.4069999999999242	15419.838	0	15419.838	285.4069999999999242
15135.38	94.8289999999999789	9045.742	1	30960	0	15422.913	516	15422.913	253.4590000000000025	15422.913	8	15422.913	271.4589999999999455
15151.454	88.3599999999999848	9057.801	2	31020	0	15430.998	513	15430.998	291.9259999999999295	15430.998	7	15430.998	307.9259999999999295
15221.379	126.7870000000000055	9061.701	1	31080	0	15490.078	517	15490.078	264.698999999999955	15490.078	1	15490.078	268.698999999999954
15248.863	153.4159999999999965	9065.814	0	31140	0	15540.398	518	15540.398	277.5349999999999667	15540.398	6	15540.398	291.5349999999999667
15276.988	98.8529999999999798	9076.814	1	31200	0	15547.705	520	15547.705	230.87099999999998	15547.705	3	15547.705	238.87099999999998
15308.834	28.67799999999999717	9100.297	2	31260	0	15576.073	519	15576.073	279.0849999999999217	15576.073	9	15576.073	299.0849999999999217
15412.682	0	9108.803	3	31320	0	15686.086	522	15686.086	261.62099999999998	15686.086	4	15686.086	271.62099999999998
15414.465	0	9141.963	2	31380	0	15689.668	521	15689.668	270.985999999999989	15689.668	2	15689.668	276.985999999999989
15418.109	0	9153.497	3	31440	0	15701.566	523	15701.566	271.456999999999993	15701.566	5	15701.566	283.456999999999993
15429.116	0	9160.362	4	31500	0	15708.446	525	15708.446	259.7099999999999217	15708.446	8	15708.446	277.7099999999999217
15430.736	0	9164.699	5	31560	0	15734.017	524	15734.017	302.9009999999999525	15734.017	0	15734.017	304.9009999999999525
15455.658	0	9182.789	4	31620	0	15743.106	526	15743.106	271.4479999999999782	15743.106	7	15743.106	287.4479999999999782
15544.113	0	9208.872	5	31680	0	15784.709	527	15784.709	236.5960000000000027	15784.709	1	15784.709	240.5960000000000027
15546.746	0	9226.749	4	31740	0	15816.538	528	15816.538	255.7919999999999725	15816.538	6	15816.538	269.7919999999999157
15553.642	0	9234.125	3	31800	2	15834.478	530	15834.478	238.404999999999972	15834.478	9	15834.478	258.404999999999972
15576.073	15.38400000000000028	9237.327	4	31860	2	15850.476	529	15850.476	288.8339999999999452	15850.476	3	15850.476	296.8339999999999452
15686.086	90.7579999999999809	9246.221	5	31920	5	15937.824	531	15937.824	241.7379999999999985	15937.824	4	15937.824	251.7379999999999985
15689.668	76.5509999999999875	9271.063	4	31980	2	15958	532	15958	262.331999999999993	15958	2	15958	268.331999999999993
15701.566	64.8409999999999795	9281.02	3	32040	2	15979.725	533	15979.725	266.158999999999991	15979.725	5	15979.725	278.1589999999999905
15708.446	43.96899999999999392	9282.822	4	32100	0	16014.332	535	16014.332	278.31499999999994	16014.332	0	16014.332	280.31499999999994
15734.017	54.65699999999999615	9301.201	3	32160	2	16024.074	534	16024.074	297.627999999999928	16024.074	8	16024.074	315.627999999999928
15743.106	40.97699999999998945	9310.685	4	32220	0	16027.058	536	16027.058	267.951999999999997	16027.058	7	16027.058	283.951999999999997
15784.709	71.4259999999999875	9311.929	5	32280	0	16029.38	537	16029.38	240.6709999999999915	16029.38	1	16029.38	244.6709999999999915
15816.538	46.77299999999999595	9320.356	4	32340	1	16096.939	538	16096.939	266.400999999999953	16096.939	6	16096.939	280.4009999999999525
15834.478	40.72199999999999405	9331.939	3	32400	2	16109.957	540	16109.957	251.480999999999994	16109.957	3	16109.957	259.480999999999994
15850.476	43.75699999999999065	9357.618	2	32460	2	16122.075	539	16122.075	267.596999999999979	16122.075	9	16122.075	287.5969999999999785
15945.6	0	9407.32	3	32520	1	16213.589	541	16213.589	257.988999999999918	16213.589	4	16213.589	267.988999999999918
16017.296	0	9430.791	2	32580	2	16329.91	542	16329.91	310.6139999999999175	16329.91	0	16329.91	312.6139999999999175
16119.253	0	9438.682	3	32640	1	16399.057	543	16399.057	275.8039999999999725	16399.057	1	16399.057	279.8039999999999725
16136.237	0	9440.369	4	32700	1	16413.915	545	16413.915	249.762	16413.915	3	16413.915	257.7619999999999425
16156.153	0	9471.717	3	32760	2	16418.012	544	16418.012	275.774999999999976	16418.012	2	16418.012	281.774999999999976
16169.913	0	9479.939	4	32820	0	16444.204	546	16444.204	262.290999999999939	16444.204	5	16444.204	274.290999999999939
16180.356	0	9501.048	3	32880	0	16455.476	547	16455.476	261.1200000000000037	16455.476	6	16455.476	275.1200000000000032
16224.56	0	9502.966	4	32940	0	16527.969	548	16527.969	293.4089999999999905	16527.969	4	16527.969	303.4089999999999905
16283.624	0	9504.565	5	33000	0	16581.079	549	16581.079	281.4549999999999265	16581.079	7	16581.079	297.4549999999999265
16301.316	0	9511.463	6	33060	0	16596.356	551	16596.356	265.6809999999999252	16596.356	9	16596.356	285.6809999999999252
16310.675	0	9514.311	5	33120	0	16599.081	550	16599.081	279.7649999999999852	16599.081	8	16599.081	297.7649999999999852
16351.372	0	9521.92	6	33180	0	16635.053	553	16635.053	231.99599999999998	16635.053	1	16635.053	235.99599999999998
16399.057	9.12199999999999985	9540.378	5	33240	2	16675.243	555	16675.243	251.230999999999994	16675.243	2	16675.243	257.230999999999994
16413.915	18.27199999999999838	9566.566	4	33300	6	16685.825	554	16685.825	263.9099999999999672	16685.825	3	16685.825	271.909999999999967
16418.012	11.1699999999999981	9568.483	3	33360	8	16686.437	552	16686.437	333.06499999999994	16686.437	0	16686.437	335.06499999999994
16482.976	0	9603.626	2	33420	7	16758.117	558	16758.117	220.1479999999999668	16758.117	4	16758.117	230.1479999999999668
16514.216	0	9616.253	3	33480	4	16782.894	556	16782.894	287.9180000000000052	16782.894	5	16782.894	299.9180000000000052
16527.969	12.81700000000000012	9633.736	2	33540	4	16793.215	557	16793.215	264.9990000000000227	16793.215	6	16793.215	278.9990000000000227
16581.079	57.30700000000000195	9648.174	1	33600	4	16847.64	559	16847.64	250.5609999999999777	16847.64	7	16847.64	266.5609999999999207
16649.854	0	9686.107	2	33660	4	16892.021	560	16892.021	238.1669999999999725	16892.021	1	16892.021	242.1669999999999725
16691.637	0	9686.613	1	33720	6	16943.799	561	16943.799	250.1619999999999767	16943.799	0	16943.799	252.1619999999999767
16707.094	0	9727.876	0	33780	3	17012.276	563	17012.276	270.613999999999918	17012.276	3	17012.276	278.6139999999999177
16733.662	0	9730.127	1	33840	2	17039.488	565	17039.488	220.8969999999999907	17039.488	5	17039.488	232.8969999999999905
16798.367	0	9769.47	0	33900	2	17055.65	562	17055.65	342.5559999999999252	17055.65	2	17055.65	348.5559999999999252
16806.591	0	9805.702	0	33960	2	17077.481	564	17077.481	269.113999999999918	17077.481	4	17077.481	279.1139999999999177
16844.575	0	9830.976	0	34020	2	17132.512	566	17132.512	273.937000000000011	17132.512	6	17132.512	287.9370000000000107
16851.978	0	9838.155	0	34080	0	17147.216	569	17147.216	242.380999999999971	17147.216	9	17147.216	262.380999999999971
16869.837	0	9844.284	1	34140	0	17150.089	568	17150.089	262.251999999999952	17150.089	8	17150.089	280.251999999999952
16884.835	0	9873.697	0	34200	0	17163.852	570	17163.852	234.0899999999999737	17163.852	1	17163.852	238.0899999999999737
16925.762	0	9901.509	0	34260	2	17168.898	567	17168.898	300.9199999999999577	17168.898	7	17168.898	316.9199999999999577
17016.865	0	9951.951	0	34320	0	17266.963	571	17266.963	248.098000000000012	17266.963	0	17266.963	250.098000000000012
17076.993	0	9962.894	0	34380	0	17369.213	572	17369.213	286.2200000000000262	17369.213	2	17369.213	292.2200000000000262
17108.445	0	10008.491	0	34440	0	17388.143	574	17388.143	241.6579999999999577	17388.143	4	17388.143	251.6579999999999577
17136.485	0	10057.384	0	34500	1	17406.512	573	17406.512	290.0670000000000062	17406.512	3	17406.512	298.0670000000000062
17170.105	0	10068.256	0	34560	0	17457.265	576	17457.265	255.1030000000000077	17457.265	5	17457.265	267.102999999999951
17190.162	0	10144.935	0	34620	0	17464.222	575	17464.222	290.1169999999999607	17464.222	1	17464.222	294.1169999999999607
17241.894	0	10190.3	0	34680	0	17502.632	578	17502.632	238.8679999999999945	17502.632	7	17502.632	254.8679999999999945
17247.764	0	10207.766	0	34740	0	17529.065	577	17529.065	273.1709999999999347	17529.065	6	17529.065	287.1709999999999345
