
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220620-05:31:03-32256)	
1291.432	44.52599999999999607	832.874	0	2640	1	1571.198	44	1571.198	246.1030000000000077	1571.198	4	1571.198	256.102999999999951
1315.095	58.7269999999999894	877.557	0	2700	1	1571.451	43	1571.451	272.0190000000000042	1571.451	3	1571.451	280.0190000000000042
1377.833	87.77599999999998165	898.082	0	2760	0	1640.152	45	1640.152	260.3189999999999592	1640.152	0	1640.152	262.3189999999999592
1396.37	94.9639999999999985	1025.214	0	2820	2	1663.588	46	1663.588	261.21799999999996	1663.588	2	1663.588	267.21799999999996
1416.922	72.2390000000000039	1066.989	0	2880	1	1691.025	49	1691.025	241.2829999999999577	1691.025	6	1691.025	255.2829999999999577
1432.516	81.86699999999998985	1119.509	0	2940	0	1694.677	47	1694.677	265.754999999999995	1694.677	5	1694.677	277.754999999999995
1435.742	78.6149999999999804	1129.477	0	3000	0	1706.956	48	1706.956	258.43999999999994	1706.956	7	1706.956	274.43999999999994
1464.315	100.028999999999996	1153.105	0	3060	4	1735.615	50	1735.615	267.299999999999954	1735.615	1	1735.615	271.2999999999999532
1515.809	148.504999999999995	1153.399	0	3120	2	1805.013	51	1805.013	271.20399999999995	1805.013	8	1805.013	289.20399999999995
1523.722	134.3439999999999935	1164.276	0	3180	3	1841.167	53	1841.167	259.9689999999999362	1841.167	4	1841.167	269.9689999999999362
1571.198	116.8499999999999937	1176.778	0	3240	0	1844.246	52	1844.246	300.524	1844.246	9	1844.246	320.524
1609.314	0	1211.083	0	3300	0	1893.414	54	1893.414	276.1000000000000217	1893.414	3	1893.414	284.1000000000000217
1640.152	19.32199999999999551	1220.454	0	3360	3	1897.105	55	1897.105	254.9529999999999735	1897.105	0	1897.105	256.9529999999999735
1692.992	0	1246.906	1	3420	2	1996.105	56	1996.105	297.1129999999999415	1996.105	2	1996.105	303.1129999999999415
1770.753	0	1256.368	2	3480	0	2027.732	57	2027.732	252.9789999999999837	2027.732	1	2027.732	256.9789999999999272
1808.034	0	1290.057	3	3540	4	2081.722	58	2081.722	261.687999999999987	2081.722	5	2081.722	273.687999999999987
1809.371	0	1291.432	2	3600	4	2105.973	60	2105.973	272.7099999999999217	2105.973	7	2105.973	288.7099999999999217
1817.263	0	1301.406	3	3660	3	2113.632	61	2113.632	267.4639999999999412	2113.632	8	2113.632	285.4639999999999412
1828.168	0	1315.095	2	3720	0	2126.008	59	2126.008	302.6369999999999425	2126.008	6	2126.008	316.6369999999999425
1842.518	0	1344.683	3	3780	0	2149.7	63	2149.7	271.9479999999999782	2149.7	9	2149.7	291.9479999999999782
1857.752	0	1350.649	4	3840	0	2152.768	62	2152.768	300.25	2152.768	4	2152.768	310.25
1893.414	35.53799999999999655	1357.127	5	3900	0	2185.032	65	2185.032	285.9270000000000197	2185.032	0	2185.032	287.9270000000000197
1897.105	26.03099999999999867	1364.286	6	3960	0	2201.455	64	2201.455	300.040999999999939	2201.455	3	2201.455	308.040999999999939
