
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:43-7792)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:43-7792)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:43-7792)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:43-7792)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:43-7792)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:43-7792)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:43-7792)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220305-16:46:43-7792)	
0	0	0	0	60	0	167.284	1	167.284	91.74799999999999015	167.284	1	167.284	95.7479999999999901	600	12
71.536	0	71.536	0	120	0	320.104	2	320.104	222.3439999999999932	320.104	2	320.104	228.3439999999999932	1200	12
91.76	0	91.76	0	180	0	331.548	0	331.548	329.5480000000000007	331.548	0	331.548	331.5480000000000007	1800	14
125.326	0	125.326	0	240	0	391.898	4	391.898	192.129999999999995	391.898	1	391.898	196.129999999999995	2400	12
195.768	0	195.768	0	300	0	468.111	3	468.111	334.7849999999999667	468.111	3	468.111	342.7849999999999667	3000	11
272.032	0	272.032	0	360	0	474.046	6	474.046	157.0079999999999806	474.046	5	474.046	169.0079999999999806	3600	13
305.038	0	305.038	0	420	0	535.356	8	535.356	66.18399999999999725	535.356	1	535.356	70.18399999999999725	4200	12
395.893	0	395.893	0	480	0	635.919	7	635.919	238.0260000000000095	635.919	0	635.919	240.0260000000000095	4800	8
465.172	0	465.172	0	540	0	641.397	9	641.397	130.8820000000000045	641.397	2	641.397	136.8820000000000045	5400	13
504.515	0	504.515	0	600	0	681.122	12	681.122	44.7680000000000005	681.122	5	681.122	56.7680000000000005	6000	8
534.381	0	534.381	0	660	0	693.161	11	693.161	124.028999999999996	693.161	1	693.161	128.028999999999996	6600	10
565.132	0	565.132	0	720	0	812.807	13	812.807	151.8170000000000068	812.807	0	812.807	153.8170000000000068	7200	6
624.354	0	624.354	0	780	0	885.778	10	885.778	343.3969999999999332	885.778	3	885.778	351.396999999999933	7800	13
658.99	0	658.99	0	840	0	905.696	16	905.696	76.3009999999999875	905.696	0	905.696	78.3009999999999875	8400	11
675.833	0	675.833	0	900	0	928.112	14	928.112	246.278999999999996	928.112	2	928.112	252.278999999999996	9000	12
747.031	0	747.031	0	960	0	1020.817	15	1020.817	269.7859999999999437	1020.817	1	1020.817	273.7859999999999437	9600	13
827.395	0	827.395	0	1020	0	1041.89	20	1041.89	114.841999999999984	1041.89	0	1041.89	116.841999999999984	10200	9
839.485	0	839.485	0	1080	0	1100.442	18	1100.442	212.1399999999999853	1100.442	6	1100.442	226.1399999999999853	10800	15
