
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-23:03:40-7128)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-23:03:40-7128)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-23:03:40-7128)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:03:40-7128)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-23:03:40-7128)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:03:40-7128)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-23:03:40-7128)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-23:03:40-7128)	
0	0	0	0	60	0	196.826	2	196.826	138.2749999999999766	196.826	2	196.826	144.2749999999999766	600	26
35.768	0	35.768	0	120	0	232.898	0	232.898	230.8979999999999667	232.898	0	232.898	232.8979999999999667	1200	17
52.551	0	52.551	0	180	3	260.332	4	260.332	154.8410000000000075	260.332	4	260.332	164.8410000000000075	1800	26
60.27	0	60.27	0	240	3	282.218	1	282.218	242.4499999999999875	282.218	1	282.218	246.4499999999999875	2400	27
95.491	0	95.491	0	300	4	347.784	5	347.784	223.7899999999999627	347.784	5	347.784	235.7899999999999627	3000	23
111.994	0	111.994	0	360	7	392.096	6	392.096	189.2699999999999812	392.096	2	392.096	195.2699999999999812	3600	13
196.826	68.9559999999999885	127.87	1	420	7	438.324	8	438.324	167.991999999999961	438.324	4	438.324	177.991999999999961	4200	23
232.898	70.3889999999999813	162.509	2	480	9	490.996	7	490.996	256.0979999999999557	490.996	0	490.996	258.0979999999999557	4800	21
260.332	82.44700000000000235	177.885	3	540	7	518.915	11	518.915	120.818999999999988	518.915	2	518.915	126.818999999999988	5400	19
282.218	91.7229999999999844	190.495	4	600	10	527.726	10	527.726	167.9420000000000068	527.726	5	527.726	179.9420000000000066	6000	19
347.784	127.677999999999997	196.826	3	660	8	630.165	9	630.165	343.9470000000000015	630.165	1	630.165	347.9470000000000015	6600	30
392.096	132.8149999999999975	220.106	4	720	6	634.387	12	634.387	186.0629999999999871	634.387	4	634.387	196.0629999999999871	7200	21
438.324	170.6209999999999803	232.898	3	780	9	667.578	3	667.578	599.3079999999999905	667.578	3	667.578	607.3079999999999905	7800	15
490.996	208.0659999999999735	259.281	4	840	9	713.698	13	713.698	220.7019999999999971	713.698	0	713.698	222.7019999999999971	8400	18
518.915	208.9499999999999877	260.332	3	900	11	727.02	14	727.02	202.1049999999999603	727.02	2	727.02	208.1049999999999603	9000	23
527.726	211.7160000000000075	267.703	4	960	9	818.267	15	818.267	278.540999999999939	818.267	5	818.267	290.540999999999939	9600	23
630.165	296.7469999999999565	282.218	3	1020	12	921.783	16	921.783	287.617999999999937	921.783	1	921.783	291.6179999999999367	10200	19
634.387	278.2189999999999362	282.93	4	1080	12	923.462	17	923.462	279.0749999999999307	923.462	4	923.462	289.0749999999999307	10800	30
667.578	274.0319999999999242	309.965	5	1140	11	985.375	20	985.375	252.3549999999999602	985.375	2	985.375	258.3550000000000175	11400	18
713.698	289.9649999999999167	316.01	6	1200	12	1026.319	21	1026.319	196.0519999999999633	1026.319	5	1026.319	208.0519999999999633	12000	20
727.02	292.682000000000015	333.418	7	1260	14	1079.754	19	1079.754	364.0559999999999252	1079.754	0	1079.754	366.0559999999999252	12600	20
818.267	345.2590000000000132	347.784	6	1320	14	1087.67	22	1087.67	161.887	1087.67	1	1087.67	165.887	13200	15
921.783	408.3289999999999492	356.168	7	1380	17	1111.286	18	1111.286	435.7079999999999687	1111.286	3	1111.286	443.707999999999968	13800	17
923.462	371.5559999999999252	392.096	6	1440	19	1124.726	23	1124.726	191.2640000000000093	1124.726	4	1124.726	201.2640000000000093	14400	19
985.375	401.5670000000000062	393.546	7	1500	21	1166.299	24	1166.299	174.9239999999999776	1166.299	2	1166.299	180.9239999999999776	15000	28
1026.319	432.0789999999999492	423.733	8	1560	20	1300.776	26	1300.776	219.0219999999999907	1300.776	0	1300.776	221.0219999999999907	15600	14
1079.754	352.8399999999999167	434.338	9	1620	22	1307.555	25	1307.555	269.235999999999989	1307.555	5	1307.555	281.235999999999989	16200	21
1087.67	343.8469999999999782	438.324	8	1680	23	1309.107	28	1309.107	189.8209999999999688	1309.107	3	1309.107	197.8209999999999688	16800	16
1111.286	361.7319999999999695	473.008	9	1740	24	1319.946	30	1319.946	147.6469999999999907	1319.946	2	1319.946	153.6469999999999907	17400	20
1124.726	358.526999999999928	490.996	8	1800	27	1351.321	29	1351.321	216.5949999999999696	1351.321	4	1351.321	226.5949999999999696	18000	14
1166.299	333.9180000000000052	513.454	9	1860	27	1511.41	32	1511.41	191.8549999999999603	1511.41	5	1511.41	203.8549999999999603	18600	12
1300.776	451.722999999999955	518.915	8	1920	27	1513.654	35	1513.654	152.3329999999999695	1513.654	4	1513.654	162.3329999999999695	19200	19
1307.555	416.8679999999999367	527.726	7	1980	27	1530.568	31	1530.568	227.7919999999999726	1530.568	0	1530.568	229.7919999999999726	19800	17
1309.107	331.8619999999999655	551.906	8	2040	28	1539.491	34	1539.491	213.5449999999999582	1539.491	2	1539.491	219.5449999999999581	20400	17
1319.946	317.4909999999999842	583.808	9	2100	32	1551.381	27	1551.381	459.7110000000000107	1551.381	1	1551.381	463.7110000000000105	21000	20
1351.321	345.1799999999999487	594.24	10	2160	35	1704.624	38	1704.624	172.0559999999999825	1704.624	0	1704.624	174.0559999999999825	21600	19
1511.41	494.458999999999945	630.165	9	2220	37	1803.678	36	1803.678	280.2679999999999142	1803.678	5	1803.678	292.2679999999999142	22200	23
1513.654	485.252999999999928	634.387	8	2280	39	1821.095	37	1821.095	297.4409999999999157	1821.095	4	1821.095	307.4409999999999157	22800	19
1530.568	467.677000000000019	667.578	7	2340	41	1837.898	33	1837.898	520.790999999999938	1837.898	3	1837.898	528.790999999999938	23400	20
1539.491	416.2329999999999462	713.698	6	2400	43	1894.577	39	1894.577	349.0860000000000115	1894.577	2	1894.577	355.0860000000000112	24000	19
1551.381	420.1709999999999337	726.914	7	2460	44	1963.965	40	1963.965	408.5839999999999452	1963.965	1	1963.965	412.5839999999999452	24600	19
1704.624	551.426999999999905	727.02	6	2520	49	2030.944	44	2030.944	185.0459999999999915	2030.944	3	2030.944	193.0459999999999915	25200	17
1803.678	608.7059999999999015	743.823	7	2580	51	2148.418	42	2148.418	332.740000000000008	2148.418	5	2148.418	344.7400000000000077	25800	23
1821.095	573.602999999999835	749.554	8	2640	52	2202.666	45	2202.666	302.0889999999999412	2202.666	2	2202.666	308.0889999999999412	26400	22
1837.898	580.4379999999998725	766.199	9	2700	53	2259.519	47	2259.519	220.5749999999999877	2259.519	3	2259.519	228.5749999999999876	27000	21
1894.577	613.48900000000003	818.267	8	2760	54	2297.799	43	2297.799	466.703999999999949	2297.799	4	2297.799	476.703999999999949	27600	25
1963.965	665.832999999999854	832.381	9	2820	54	2364.465	46	2364.465	396.5	2364.465	1	2364.465	400.5	28200	20
2030.944	720.2210000000000005	849.053	10	2880	56	2589.777	51	2589.777	281.977999999999951	2589.777	4	2589.777	291.9779999999999507	28800	24
2148.418	837.400999999999838	890.687	11	2940	55	2644.445	48	2644.445	484.026999999999928	2644.445	5	2644.445	496.026999999999928	29400	15
2202.666	880.7719999999999315	921.783	10	3000	55	2732.014	50	2732.014	464.495000000000003	2732.014	3	2732.014	472.495000000000003	30000	22
2259.519	925.123000000000044	923.462	9	3060	55	2768.997	49	2768.997	560.330999999999902	2768.997	2	2768.997	566.330999999999902	30600	21
2297.799	929.097999999999953	977.245	10	3120	57	2782.678	54	2782.678	126.2330000000000036	2782.678	5	2782.678	138.2330000000000036	31200	29
2364.465	986.393000000000026	985.375	9	3180	58	2831.282	52	2831.282	462.8170000000000055	2831.282	1	2831.282	466.8170000000000055	31800	17
2589.777	1185.252999999999697	1002.455	10	3240	55	2907.873	55	2907.873	167.8589999999999797	2907.873	3	2907.873	175.8589999999999797	32400	31
2644.445	1230.458999999999828	1006.141	11	3300	55	2919.039	53	2919.039	319.2619999999999425	2919.039	4	2919.039	329.2619999999999425	33000	16
2732.014	1284.338999999999937	1016.951	12	3360	56	2923.987	41	2923.987	1217.362999999999826	2923.987	0	2923.987	1219.362999999999826	33600	18
2768.997	1298.666999999999913	1026.319	11	3420	55	2988.846	56	2988.846	213.8489999999999885	2988.846	2	2988.846	219.8489999999999885	34200	15
2782.678	1256.92799999999988	1028.401	12	3480	54	2993.314	58	2993.314	158.0319999999999818	2993.314	1	2993.314	162.0319999999999818	34800	26
2831.282	1299.746999999999838	1062.891	13	3540	57	3166.945	63	3166.945	169.6309999999999712	3166.945	1	3166.945	173.6309999999999712	35400	14
2907.873	1373.731999999999968	1079.754	12	3600	58	3193.711	59	3193.711	277.8379999999999647	3193.711	3	3193.711	285.8379999999999647	36000	20
2919.039	1373.548999999999976	1087.67	11	3660	61	3228.415	62	3228.415	233.5689999999999592	3228.415	2	3228.415	239.5689999999999592	36600	25
2923.987	1335.219999999999796	1111.286	10	3720	60	3230.157	60	3230.157	301.1179999999999367	3230.157	4	3230.157	311.1179999999999367	37200	23
2988.846	1394.844999999999795	1123.258	11	3780	63	3347.539	65	3347.539	145.827999999999974	3347.539	3	3347.539	153.827999999999974	37800	19
2993.314	1369.708000000000078	1124.726	10	3840	64	3395.26	61	3395.26	469.273000000000022	3395.26	0	3395.26	471.273000000000022	38400	18
3166.945	1467.918999999999863	1131.21	11	3900	66	3401.081	57	3401.081	606.403000000000018	3401.081	5	3401.081	618.403000000000018	39000	12
3193.711	1456.127999999999695	1153.197	12	3960	66	3433.736	64	3433.736	262.790999999999939	3433.736	1	3433.736	266.790999999999939	39600	21
3228.415	1471.38400000000001	1166.299	11	4020	67	3436.445	67	3436.445	196.2880000000000103	3436.445	4	3436.445	206.2880000000000103	40200	23
3230.157	1446.051999999999676	1194.972	12	4080	69	3560.949	66	3560.949	326.5339999999999905	3560.949	2	3560.949	332.5339999999999905	40800	26
3347.539	1552.306999999999785	1247.492	13	4140	71	3663.319	68	3663.319	307.7799999999999717	3663.319	3	3663.319	315.7799999999999717	41400	23
3395.26	1575.616999999999727	1257.46	14	4200	72	3679.806	72	3679.806	233.360999999999989	3679.806	4	3679.806	243.360999999999989	42000	13
3401.081	1560.208000000000078	1281.088	15	4260	74	3823.691	70	3823.691	410.6100000000000117	3823.691	5	3823.691	422.6100000000000117	42600	19
3433.736	1587.670000000000068	1298.132	16	4320	74	3889.172	73	3889.172	322.2229999999999557	3889.172	2	3889.172	328.2229999999999557	43200	19
3436.445	1547.081999999999875	1300.776	15	4380	74	3898.823	69	3898.823	501.5629999999999865	3898.823	0	3898.823	503.5629999999999865		
3560.949	1636.25900000000001	1307.555	14	4440	73	3955.855	74	3955.855	284.5359999999999437	3955.855	3	3955.855	292.5359999999999437		
