
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-02:21:32-6920)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-02:21:32-6920)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-02:21:32-6920)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-02:21:32-6920)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-02:21:32-6920)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-02:21:32-6920)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-02:21:32-6920)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-02:21:32-6920)	
0	0	0	0	60	0	198.158	1	198.158	122.6219999999999852	198.158	1	198.158	126.6219999999999852	600	12
71.536	0	71.536	0	120	0	416.276	2	416.276	318.5159999999999612	416.276	2	416.276	324.5159999999999612	1200	11
91.76	0	91.76	0	180	0	478.963	4	478.963	273.1949999999999352	478.963	4	478.963	283.1949999999999352	1800	17
125.326	0	125.326	0	240	0	481.322	0	481.322	479.3220000000000005	481.322	0	481.322	481.3220000000000005	2400	11
195.768	0	195.768	0	300	0	537.55	6	537.55	220.512	537.55	5	537.55	232.512	3000	11
272.032	0	272.032	0	360	0	555.448	8	555.448	84.27599999999998165	555.448	2	555.448	90.27599999999998165	3600	12
305.038	0	305.038	0	420	0	620.503	3	620.503	487.177000000000019	620.503	3	620.503	495.177000000000019	4200	12
395.893	0	395.893	0	480	0	684.506	12	684.506	52.1520000000000008	684.506	3	684.506	60.15200000000000075	4800	9
465.172	0	465.172	0	540	0	687.838	9	687.838	181.3229999999999783	687.838	0	687.838	183.3229999999999783	5400	12
504.515	0	504.515	0	600	0	742.175	11	742.175	171.0430000000000057	742.175	2	742.175	177.0430000000000056	6000	9
534.381	0	534.381	0	660	0	751.931	7	751.931	342.0380000000000095	751.931	6	751.931	356.0380000000000095	6600	9
565.132	0	565.132	0	720	0	883.716	13	883.716	212.7259999999999983	883.716	5	883.716	224.7259999999999981	7200	8
624.354	0	624.354	0	780	0	932.846	16	932.846	99.4509999999999931	932.846	2	932.846	105.4509999999999931	7800	13
658.99	0	658.99	0	840	0	1044.476	10	1044.476	500.0950000000000255	1044.476	4	1044.476	510.0950000000000255	8400	13
675.833	0	675.833	0	900	0	1046.251	14	1046.251	354.418000000000005	1046.251	7	1046.251	370.418000000000005	9000	12
747.031	0	747.031	0	960	0	1117.568	20	1117.568	157.2629999999999762	1117.568	2	1117.568	163.2629999999999762	9600	12
827.395	0	827.395	0	1020	0	1128.564	19	1128.564	231.0159999999999617	1128.564	8	1128.564	249.0159999999999617	10200	10
839.485	0	839.485	0	1080	0	1138.71	15	1138.71	389.6789999999999725	1138.71	0	1138.71	391.6789999999999725	10800	12
874.302	0	874.302	0	1140	0	1150.483	17	1150.483	302.997999999999932	1150.483	3	1150.483	310.997999999999932	11400	14
879.548	0	879.548	0	1200	0	1191.513	18	1191.513	303.2110000000000115	1191.513	6	1191.513	317.2110000000000115	12000	8
954.305	0	954.305	0	1260	0	1300.557	21	1300.557	273.879000000000018	1300.557	5	1300.557	285.879000000000018	12600	16
1014.678	0	1014.678	0	1320	0	1397.006	23	1397.006	189.387999999999976	1397.006	0	1397.006	191.387999999999976	13200	12
1128.278	0	1128.278	0	1380	0	1494.646	24	1494.646	224.3739999999999658	1494.646	3	1494.646	232.3739999999999657	13800	5
