
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-22:53:48-12704)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-22:53:48-12704)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-22:53:48-12704)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-22:53:48-12704)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-22:53:48-12704)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-22:53:48-12704)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-22:53:48-12704)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-22:53:48-12704)	
0	0	0	0	60	0	221.577	1	221.577	146.0409999999999965	221.577	1	221.577	150.0409999999999965	600	14
71.536	0	71.536	0	120	0	232.898	0	232.898	230.8979999999999667	232.898	0	232.898	232.8979999999999667	1200	12
105.102	0	105.102	0	180	1	249.377	2	249.377	138.2749999999999766	249.377	2	249.377	144.2749999999999766	1800	13
221.577	101.037999999999982	120.539	1	240	1	328.512	3	328.512	102.9350000000000019	328.512	1	328.512	106.9350000000000019	2400	8
232.898	36.16299999999999655	196.735	2	300	0	388.134	4	388.134	153.2359999999999891	388.134	0	388.134	155.2359999999999891	3000	15
249.377	19.63599999999999558	221.577	1	360	1	536.89	6	536.89	204.3779999999999847	536.89	1	536.89	208.3779999999999847	3600	10
328.512	7.91600000000000034	229.741	2	420	1	579.404	7	579.404	189.2699999999999812	579.404	0	579.404	191.2699999999999812	4200	8
388.134	37.6719999999999969	232.898	1	480	3	631.142	5	631.142	375.764999999999985	631.142	2	631.142	381.764999999999985	4800	7
536.89	155.6769999999999635	249.377	0	540	3	777.871	10	777.871	140.7289999999999845	777.871	2	777.871	146.7289999999999845	5400	11
579.404	119.841999999999984	320.596	1	600	4	790.037	9	790.037	208.6329999999999806	790.037	0	790.037	210.6329999999999806	6000	12
631.142	154.7369999999999658	328.512	0	660	6	799.052	8	799.052	258.16199999999992	799.052	1	799.052	262.16199999999992	6600	9
777.871	297.774	350.462	1	720	7	904.69	11	904.69	120.818999999999988	904.69	2	904.69	126.818999999999988	7200	12
790.037	238.741999999999961	381.213	2	780	7	949.956	12	949.956	157.9189999999999822	949.956	0	949.956	159.9189999999999822	7800	9
799.052	217.302999999999997	388.134	1	840	7	1054.366	13	1054.366	251.313999999999964	1054.366	1	1054.366	255.313999999999964	8400	13
904.69	262.9950000000000037	459.562	2	900	8	1090.529	14	1090.529	179.8389999999999977	1090.529	2	1090.529	185.8389999999999977	9000	11
949.956	296.6859999999999205	476.405	3	960	8	1199.303	15	1199.303	247.346999999999979	1199.303	0	1199.303	249.346999999999979	9600	8
1054.366	395.8500000000000217	480.097	4	1020	10	1345.984	16	1345.984	287.617999999999937	1345.984	1	1345.984	291.6179999999999367	10200	14
