
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220305-15:04:15-12516)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220305-15:04:15-12516)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220305-15:04:15-12516)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220305-15:04:15-12516)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220305-15:04:15-12516)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220305-15:04:15-12516)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220305-15:04:15-12516)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220305-15:04:15-12516)	
0	0	0	0	60	0	167.284	1	167.284	91.74799999999999015	167.284	1	167.284	95.7479999999999901	600	12
71.536	0	71.536	0	120	0	320.104	2	320.104	222.3439999999999932	320.104	2	320.104	228.3439999999999932	1200	14
91.76	0	91.76	0	180	0	331.548	0	331.548	329.5480000000000007	331.548	0	331.548	331.5480000000000007	1800	13
167.284	41.95799999999999827	125.326	1	240	1	490.556	5	490.556	157.0079999999999806	490.556	0	490.556	159.0079999999999806	2400	10
320.104	124.3359999999999837	167.284	0	300	2	506.341	3	506.341	335.057000000000015	506.341	1	506.341	339.057000000000015	3000	14
331.548	59.58400000000000285	195.768	1	360	2	576.525	7	576.525	66.18399999999999725	576.525	1	576.525	70.18399999999999725	3600	13
490.556	178.0600000000000016	271.964	2	420	2	679.929	6	679.929	187.3729999999999895	679.929	0	679.929	189.3729999999999895	4200	10
506.341	160.8389999999999981	312.496	3	480	3	711.407	8	711.407	130.8820000000000045	711.407	1	711.407	134.8820000000000045	4800	10
576.525	140.1680000000000057	320.104	2	540	2	805.958	9	805.958	124.028999999999996	805.958	0	805.958	126.028999999999996	5400	11
679.929	174.2930000000000057	331.548	1	600	3	883.952	10	883.952	168.5449999999999583	883.952	1	883.952	172.5449999999999583	6000	11
711.407	153.7649999999999858	345.502	2	660	4	959.775	11	959.775	151.8170000000000068	959.775	0	959.775	153.8170000000000068	6600	9
805.958	218.4499999999999877	436.357	3	720	3	1131.042	13	1131.042	169.2669999999999952	1131.042	0	1131.042	171.2669999999999952	7200	13
883.952	265.6929999999999827	490.556	2	780	6	1157.738	12	1157.738	269.7859999999999437	1157.738	1	1157.738	273.7859999999999437	7800	10
959.775	282.2939999999999815	505.636	3	840	5	1276.58	15	1276.58	114.841999999999984	1276.58	1	1276.58	118.841999999999984	8400	10
1131.042	375.211999999999988	506.341	2	900	5	1297.053	14	1297.053	164.0109999999999666	1297.053	0	1297.053	166.0109999999999666	9000	9
1157.738	385.0649999999999392	557.642	3	960	5	1304.34	4	1304.34	978.235999999999872	1304.34	2	1304.34	984.235999999999872	9600	9
1276.58	500.214999999999916	576.525	2	1020	9	1473.166	16	1473.166	192.586000000000012	1473.166	1	1473.166	196.586000000000012	10200	12
1297.053	449.4900000000000077	587.508	3	1080	10	1636.749	19	1636.749	159.5829999999999695	1636.749	1	1636.749	163.5829999999999695	10800	9
1304.34	402.7069999999999925	618.259	4	1140	10	1638.414	17	1638.414	339.360999999999989	1638.414	0	1638.414	341.360999999999989	11400	11
1473.166	491.168999999999981	677.481	5	1200	10	1663.911	18	1663.911	353.571000000000025	1663.911	2	1663.911	359.571000000000025	12000	12
1636.749	642.6620000000000315	679.929	4	1260	11	1753.87	21	1753.87	113.4559999999999884	1753.87	0	1753.87	115.4559999999999883	12600	10
1638.414	632.7519999999999505	711.407	3	1320	8	1922.342	23	1922.342	166.4719999999999793	1922.342	0	1922.342	168.4719999999999793	13200	12
1663.911	653.0029999999999275	755.83	4	1380	9	1973.595	24	1973.595	49.253	1973.595	0	1973.595	51.253	13800	4
1753.87	697.461999999999988	772.673	5	1440	11	2048.491	22	2048.491	378.5799999999999265	2048.491	2	2048.491	384.5799999999999265	14400	11
1922.342	791.176999999999904	776.365	6	1500	10	2138.972	25	2138.972	163.377000000000009	2138.972	0	2138.972	165.377000000000009	15000	12
