
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220307-14:59:34-5496)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220307-14:59:34-5496)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220307-14:59:34-5496)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220307-14:59:34-5496)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220307-14:59:34-5496)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220307-14:59:34-5496)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220307-14:59:34-5496)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220307-14:59:34-5496)	
0	0	0	0	60	0	235.367	4	235.367	162.0229999999999671	235.367	4	235.367	172.022999999999967	600	29
32.191	0	32.191	0	120	0	236.352	7	236.352	66.18399999999999725	236.352	7	236.352	82.18399999999999725	1200	24
41.292	0	41.292	0	180	0	258.535	1	258.535	222.3439999999999932	258.535	1	258.535	226.3439999999999932	1800	25
56.397	0	56.397	0	240	1	297.12	11	297.12	44.7680000000000005	297.12	7	297.12	60.7680000000000005	2400	21
63.344	0	63.344	0	300	2	331.548	0	331.548	329.5480000000000007	331.548	0	331.548	331.5480000000000007	3000	27
95.043	0	95.043	0	360	1	339.462	8	339.462	153.0059999999999712	339.462	8	339.462	171.0059999999999712	3600	24
113.283	0	113.283	0	420	0	342.739	10	342.739	97.3719999999999853	342.739	4	342.739	107.3719999999999853	4200	27
154.168	0	154.168	0	480	1	382.077	2	382.077	334.7849999999999667	382.077	2	382.077	340.7849999999999667	4800	23
168.456	0	168.456	0	540	2	399.454	3	399.454	335.057000000000015	399.454	3	399.454	343.057000000000015	5400	24
191.859	0	191.859	0	600	3	411.907	14	411.907	78.3589999999999801	411.907	0	411.907	80.3589999999999801	6000	24
235.367	25.80399999999999482	209.563	1	660	3	414.352	12	414.352	151.8170000000000068	414.352	1	414.352	155.8170000000000068	6600	17
236.352	13.34900000000000015	223.003	2	720	0	429.04	16	429.04	76.3009999999999875	429.04	4	429.04	86.30099999999998735	7200	20
258.535	24.1829999999999997	234.352	3	780	3	434.397	6	434.397	307.1139999999999175	434.397	6	434.397	321.1139999999999175	7800	12
297.12	36.11799999999999482	235.367	2	840	4	522.296	18	522.296	114.841999999999984	522.296	3	522.296	122.841999999999984	8400	19
331.548	59.96800000000000335	236.352	1	900	2	555.256	9	555.256	343.3969999999999332	555.256	9	555.256	363.396999999999933	9000	17
339.462	52.29599999999999205	258.535	0	960	3	569.461	15	569.461	211.9989999999999658	569.461	8	569.461	229.9989999999999658	9600	22
342.739	23.53399999999999882	261.002	1	1020	6	600.217	17	600.217	212.1399999999999853	600.217	2	600.217	218.1399999999999853	10200	29
382.077	38.54099999999999665	271.58	2	1080	7	610.938	20	610.938	192.586000000000012	610.938	1	610.938	196.586000000000012	10800	25
399.454	28.94200000000000002	287.166	3	1140	6	653.902	23	653.902	123.6059999999999941	653.902	3	653.902	131.6059999999999941	11400	22
411.907	25.72699999999999667	297.12	2	1200	4	664.574	13	664.574	351.4539999999999495	664.574	7	664.574	367.4539999999999492	12000	26
414.352	25.81099999999999982	319.205	3	1260	5	667.443	24	667.443	92.1869999999999829	667.443	9	667.443	112.1869999999999829	12600	24
429.04	6.858999999999999955	331.548	2	1320	5	700.917	25	700.917	113.4559999999999884	700.917	8	700.917	131.45599999999996	13200	22
437.257	0	339.462	1	1380	7	707.874	22	707.874	256.616999999999961	707.874	6	707.874	270.616999999999961	13800	17
522.296	57.87099999999999485	342.739	0	1440	8	715.092	28	715.092	53.1899999999999975	715.092	3	715.092	61.1899999999999975	14400	15
555.256	56.0279999999999914	343.536	1	1500	8	792.611	21	792.611	353.571000000000025	792.611	4	792.611	363.571000000000025	15000	25
569.461	58.2789999999999961	370.512	2	1560	7	794.768	31	794.768	75.8509999999999988	794.768	8	794.768	93.8509999999999988	15600	23
600.217	54.42799999999999705	382.077	1	1620	10	853.915	30	853.915	166.4719999999999793	853.915	9	853.915	186.4719999999999791	16200	19
610.938	50.57099999999999775	386.18	2	1680	7	875.472	26	875.472	269.254999999999995	875.472	2	875.472	275.254999999999995	16800	22
653.902	64.8229999999999789	388.541	3	1740	7	898.308	19	898.308	484.400999999999952	898.308	0	898.308	486.400999999999952	17400	18
664.574	63.36999999999999005	399.454	2	1800	4	911.623	32	911.623	163.158999999999991	911.623	3	911.623	171.158999999999991	18000	14
667.443	53.600999999999999	411.907	1	1860	2	979.111	39	979.111	59.48799999999999925	979.111	3	979.111	67.48799999999999925	18600	22
700.917	79.8589999999999801	414.352	0	1920	3	993.518	27	993.518	378.5799999999999265	993.518	1	993.518	382.5799999999999265	19200	26
740.464	0	422.181	1	1980	4	1070.719	29	1070.719	390.1449999999999802	1070.719	7	1070.719	406.1449999999999802	19800	20
741.23	0	429.04	0	2040	6	1075.984	36	1075.984	202.0689999999999595	1075.984	9	1075.984	222.0689999999999593	20400	26
792.611	36.16299999999999655	437.257	0	2100	3	1078.711	37	1078.711	197.2389999999999751	1078.711	2	1078.711	203.2389999999999751	21000	21
794.768	19.94399999999999543	464.425	1	2160	6	1085.279	5	1085.279	978.235999999999872	1085.279	5	1085.279	990.235999999999872	21600	18
853.915	74.57299999999997875	499.228	2	2220	4	1126.501	35	1126.501	313.7329999999999462	1126.501	8	1126.501	331.7329999999999462	22200	23
875.472	93.9639999999999985	511.182	3	2280	2	1165.038	38	1165.038	264.7300000000000175	1165.038	0	1165.038	266.7300000000000175	22800	24
898.308	106.6929999999999832	522.296	2	2340	0	1178.324	44	1178.324	93.6129999999999991	1178.324	2	1178.324	99.6129999999999991	23400	17
911.623	105.0029999999999856	545.789	3	2400	1	1227.89	47	1227.89	60.8519999999999894	1227.89	0	1227.89	62.8519999999999894	24000	18
979.111	135.0199999999999813	555.256	2	2460	4	1263.799	43	1263.799	167.814999999999997	1263.799	9	1263.799	187.814999999999997	24600	22
993.518	71.5250000000000054	560.367	3	2520	0	1292.614	42	1292.614	205.8949999999999812	1292.614	7	1292.614	221.8949999999999808	25200	18
1070.719	131.875	569.461	2	2580	2	1314.683	33	1314.683	559.4529999999999725	1314.683	6	1314.683	573.4529999999999725	25800	22
1075.984	114.4509999999999928	589.079	3	2640	0	1316.152	50	1316.152	32.35299999999999437	1316.152	9	1316.152	52.35299999999999425	26400	24
1078.711	107.4489999999999834	600.217	2	2700	1	1355.053	45	1355.053	257.774	1355.053	5	1355.053	269.774	27000	21
1085.279	103.7119999999999888	601.204	3	2760	4	1369.868	34	1369.868	567.256999999999832	1369.868	4	1369.868	577.2569999999998315	27600	23
1126.501	126.3640000000000038	610.938	2	2820	2	1468.119	51	1468.119	159.504999999999995	1468.119	7	1468.119	175.504999999999995	28200	31
1165.038	150.4329999999999921	613.842	3	2880	5	1471.863	54	1471.863	104.8100000000000019	1471.863	5	1471.863	116.8100000000000018	28800	21
1178.324	132.677999999999997	621.058	4	2940	4	1481.643	49	1481.643	251.7529999999999845	1481.643	0	1481.643	253.7529999999999845	29400	33
1227.89	174.4599999999999788	653.902	3	3000	7	1500.045	40	1500.045	512.9339999999999675	1500.045	3	1500.045	520.9339999999999675	30000	10
1263.799	207.254999999999995	664.574	2	3060	7	1508.698	46	1508.698	364.1970000000000015	1508.698	8	1508.698	382.1970000000000015	30600	21
1292.614	218.2559999999999712	667.443	1	3120	5	1581.279	55	1581.279	201.4110000000000007	1581.279	4	1581.279	211.4110000000000007	31200	18
1314.683	221.8519999999999745	700.917	0	3180	5	1589.563	57	1589.563	105.6999999999999882	1589.563	5	1589.563	117.6999999999999882	31800	20
