
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220307-00:31:10-10080)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220307-00:31:10-10080)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220307-00:31:10-10080)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220307-00:31:10-10080)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220307-00:31:10-10080)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220307-00:31:10-10080)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220307-00:31:10-10080)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220307-00:31:10-10080)	
0	0	0	0	60	0	250.588	1	250.588	175.0519999999999633	250.588	1	250.588	179.0519999999999633	600	9
71.536	0	71.536	0	120	0	276.446	2	276.446	165.3439999999999935	276.446	2	276.446	171.3439999999999933	1200	11
105.102	0	105.102	0	180	0	283.122	0	283.122	281.1219999999999565	283.122	0	283.122	283.1219999999999565	1800	12
120.539	0	120.539	0	240	0	481.179	4	481.179	274.443999999999959	481.179	4	481.179	284.4439999999999587	2400	10
196.735	0	196.735	0	300	0	489.548	3	489.548	361.0090000000000132	489.548	3	489.548	369.0090000000000132	3000	8
433.794	0	433.794	0	360	0	737.772	6	737.772	247.971999999999979	737.772	1	737.772	251.971999999999979	3600	12
485.8	0	485.8	0	420	0	750.753	7	750.753	229.0869999999999883	750.753	2	750.753	235.0869999999999882	4200	11
515.666	0	515.666	0	480	0	862.156	9	862.156	227.3899999999999853	862.156	4	862.156	237.3899999999999852	4800	8
546.417	0	546.417	0	540	0	898	5	898	462.2060000000000155	898	0	898	464.2060000000000155	5400	8
624.766	0	624.766	0	600	0	985.556	12	985.556	168.4110000000000007	985.556	2	985.556	174.4110000000000007	6000	8
695.964	0	695.964	0	660	0	1009.548	8	1009.548	455.1309999999999692	1009.548	3	1009.548	463.130999999999969	6600	7
776.328	0	776.328	0	720	0	1139.248	10	1139.248	431.2839999999999905	1139.248	5	1139.248	443.2839999999999905	7200	9
811.145	0	811.145	0	780	0	1177.599	15	1177.599	225.0779999999999735	1177.599	0	1177.599	227.0779999999999735	7800	13
856.645	0	856.645	0	840	0	1202.762	11	1202.762	422.4339999999999677	1202.762	1	1202.762	426.4339999999999677	8400	8
890.148	0	890.148	0	900	0	1203.503	14	1203.503	303.3550000000000175	1203.503	4	1203.503	313.3550000000000175	9000	6
950.521	0	950.521	0	960	0	1284.277	13	1284.277	413.631999999999947	1284.277	6	1284.277	427.631999999999947	9600	11
