
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-02:17:06-14472)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-02:17:06-14472)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-02:17:06-14472)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-02:17:06-14472)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-02:17:06-14472)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-02:17:06-14472)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-02:17:06-14472)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-02:17:06-14472)	
0	0	0	0	60	0	198.158	1	198.158	122.6219999999999852	198.158	1	198.158	126.6219999999999852	600	12
71.536	0	71.536	0	120	0	416.276	2	416.276	318.5159999999999612	416.276	2	416.276	324.5159999999999612	1200	14
91.76	0	91.76	0	180	0	478.963	4	478.963	273.1949999999999352	478.963	4	478.963	283.1949999999999352	1800	11
125.326	0	125.326	0	240	0	481.322	0	481.322	479.3220000000000005	481.322	0	481.322	481.3220000000000005	2400	12
195.768	0	195.768	0	300	0	537.55	6	537.55	220.512	537.55	5	537.55	232.512	3000	10
272.032	0	272.032	0	360	0	620.503	3	620.503	487.177000000000019	620.503	3	620.503	495.177000000000019	3600	12
305.038	0	305.038	0	420	0	687.838	9	687.838	181.3229999999999783	687.838	0	687.838	183.3229999999999783	4200	15
416.276	20.3829999999999955	395.893	1	480	0	703.471	8	703.471	214.5079999999999806	703.471	4	703.471	224.5079999999999806	4800	14
478.963	13.79100000000000031	416.276	0	540	0	759.562	11	759.562	131.0589999999999687	759.562	3	759.562	139.0589999999999685	5400	7
504.515	0	465.172	1	600	1	764.314	7	764.314	342.0380000000000095	764.314	2	764.314	348.0380000000000095	6000	10
537.55	23.98899999999999712	478.963	0	660	2	870.1	14	870.1	102.537999999999982	870.1	3	870.1	110.537999999999982	6600	9
620.503	77.0759999999999931	504.515	0	720	2	902.564	12	902.564	212.7259999999999983	902.564	0	902.564	214.7259999999999983	7200	9
687.838	85.1889999999999926	513.561	1	780	1	1009.214	15	1009.214	238.8999999999999765	1009.214	2	1009.214	244.8999999999999765	7800	7
703.471	77.3149999999999975	537.55	0	840	2	1049.645	10	1049.645	500.0950000000000255	1049.645	5	1049.645	512.0950000000000255	8400	14
759.562	98.7699999999999816	543.427	1	900	4	1135.58	17	1135.58	231.0159999999999617	1135.58	0	1135.58	233.0159999999999617	9000	10
764.314	99.8299999999999837	602.649	2	960	5	1225.653	13	1225.653	512.1820000000000145	1225.653	4	1225.653	522.1820000000000145	9600	11
870.1	134.4180000000000057	620.503	1	1020	5	1289.093	18	1289.093	273.879000000000018	1289.093	2	1289.093	279.879000000000018	10200	9
902.564	112.8119999999999829	626.156	2	1080	5	1356.639	16	1356.639	478.538999999999986	1356.639	3	1356.639	486.538999999999986	10800	17
1009.214	159.5159999999999621	660.792	3	1140	4	1460.027	21	1460.027	224.3739999999999658	1460.027	4	1460.027	234.3739999999999657	11400	9
1049.645	188.3720000000000135	664.484	4	1200	5	1465.501	22	1465.501	170.4079999999999578	1465.501	2	1465.501	176.4079999999999578	12000	9
1135.58	269.0609999999999207	687.838	3	1260	5	1507.505	20	1507.505	369.924999999999953	1507.505	0	1507.505	371.924999999999953	12600	15
1225.653	313.6340000000000137	703.471	2	1320	5	1555.687	19	1555.687	494.0419999999999145	1555.687	5	1555.687	506.0419999999999145	13200	6
1289.093	331.5389999999999862	735.682	3	1380	5	1556.31	23	1556.31	191.6709999999999915	1556.31	3	1556.31	199.6709999999999915	13800	15
1356.639	338.711999999999988	759.562	2	1440	7	1574.291	26	1574.291	64.78600000000000115	1574.291	0	1574.291	66.78600000000000115	14400	13
1460.027	420.889000000000008	764.314	1	1500	8	1616.508	29	1616.508	40.21699999999999862	1616.508	0	1616.508	42.21699999999999862	15000	9
1465.501	312.762999999999919	789.752	2	1560	5	1728.386	5	1728.386	1452.353999999999808	1728.386	1	1728.386	1456.353999999999808	15600	8
1507.505	273.8740000000000227	849.698	3	1620	3	1802.395	27	1802.395	234.707999999999969	1802.395	5	1802.395	246.707999999999969	16200	10
1555.687	295.4909999999999842	861.273	4	1680	3	1822.626	31	1822.626	90.23999999999998015	1822.626	1	1822.626	94.2399999999999801	16800	10
1556.31	219.2099999999999785	866.519	5	1740	2	1851.416	30	1851.416	232.9079999999999577	1851.416	0	1851.416	234.9079999999999577	17400	7
1574.291	173.387	870.1	4	1800	5	1858.909	24	1858.909	388.881999999999947	1858.909	4	1858.909	398.881999999999947	18000	4
1616.508	187.5190000000000047	902.564	3	1860	4	2024.371	25	2024.371	552.8699999999998895	2024.371	2	2024.371	558.8699999999998895	18600	15
1728.386	283.8500000000000217	912.019	4	1920	4	2056.692	33	2056.692	230.0659999999999731	2056.692	1	2056.692	234.065999999999973	19200	13
1802.395	341.823999999999954	957.554	5	1980	5	2134.527	28	2134.527	570.216999999999869	2134.527	3	2134.527	578.2169999999998685	19800	9
1822.626	341.1909999999999157	1009.214	4	2040	4	2318.475	36	2318.475	288.1039999999999272	2318.475	2	2318.475	294.103999999999927	20400	11
1851.416	104.6339999999999859	1017.927	5	2100	3	2324.509	35	2324.509	455.6000000000000212	2324.509	4	2324.509	465.600000000000021	21000	8
1858.909	100.6639999999999869	1039.138	6	2160	4	2341.55	37	2341.55	280.8579999999999462	2341.55	1	2341.55	284.8579999999999462	21600	11
2024.371	225.2899999999999627	1049.645	5	2220	6	2475.045	38	2475.045	332.5179999999999142	2475.045	3	2475.045	340.5179999999999142	22200	13
2056.692	224.3209999999999687	1135.58	4	2280	8	2479.334	41	2479.334	133.7839999999999913	2479.334	1	2479.334	137.7839999999999912	22800	12
