
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:04-14668)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:04-14668)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:04-14668)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:04-14668)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:04-14668)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:04-14668)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220305-16:46:04-14668)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220305-16:46:04-14668)	
0	0	0	0	60	0	242.405	4	242.405	162.0229999999999671	242.405	4	242.405	172.022999999999967	600	28
35.768	0	35.768	0	120	0	262.793	3	262.793	192.129999999999995	262.793	3	262.793	200.129999999999995	1200	21
45.88	0	45.88	0	180	2	331.548	0	331.548	329.5480000000000007	331.548	0	331.548	331.5480000000000007	1800	25
62.663	0	62.663	0	240	4	351.538	1	351.538	311.7699999999999805	351.538	1	351.538	315.7699999999999805	2400	24
70.382	0	70.382	0	300	6	386.665	2	386.665	334.7849999999999667	386.665	2	386.665	340.7849999999999667	3000	24
94.425	0	94.425	0	360	7	405.411	6	405.411	153.0059999999999712	405.411	4	405.411	163.0059999999999712	3600	23
242.405	109.8479999999999844	132.557	1	420	8	430.92	8	430.92	97.3719999999999853	430.92	0	430.92	99.3719999999999853	4200	25
262.793	84.8079999999999925	177.985	2	480	11	493.77	11	493.77	78.3589999999999801	493.77	4	493.77	88.3589999999999801	4800	22
331.548	137.6870000000000113	193.861	3	540	10	507.355	9	507.355	151.8170000000000068	507.355	1	507.355	155.8170000000000068	5400	24
351.538	123.037999999999982	228.5	4	600	12	537.68	7	537.68	266.8869999999999425	537.68	3	537.68	274.8869999999999425	6000	18
386.665	132.1619999999999775	242.405	3	660	12	602.187	12	602.187	169.2669999999999952	602.187	0	602.187	171.2669999999999952	6600	23
405.411	131.2359999999999895	254.503	4	720	14	715.91	13	715.91	212.1399999999999853	715.91	4	715.91	222.1399999999999853	7200	12
430.92	152.2219999999999793	262.793	3	780	14	738.266	15	738.266	192.586000000000012	738.266	3	738.266	200.586000000000012	7800	21
493.77	200.1390000000000093	274.175	4	840	17	744.119	10	744.119	351.4539999999999495	744.119	2	744.119	357.4539999999999495	8400	21
507.355	201.1139999999999751	278.698	5	900	14	782.847	14	782.847	271.491999999999961	782.847	1	782.847	275.4919999999999607	9000	16
537.68	192.2640000000000093	293.631	6	960	13	849.516	17	849.516	123.6059999999999941	849.516	4	849.516	133.6059999999999941	9600	18
602.187	245.0169999999999952	306.241	7	1020	20	884.047	18	884.047	137.7810000000000053	884.047	3	884.047	145.7810000000000053	10200	12
715.91	341.4220000000000242	331.548	6	1080	20	892.46	19	892.46	142.3410000000000075	892.46	2	892.46	148.3410000000000075	10800	20
738.266	361.932000000000015	345.416	7	1140	20	945.237	22	945.237	53.1899999999999975	945.237	3	945.237	61.1899999999999975	11400	24
744.119	332.1859999999999205	351.538	6	1200	19	957.758	16	957.758	353.571000000000025	957.758	0	957.758	355.571000000000025	12000	22
782.847	343.879000000000018	357.17	7	1260	20	1056.102	20	1056.102	269.254999999999995	1056.102	1	1056.102	273.254999999999995	12600	26
849.516	380.5749999999999305	374.488	8	1320	22	1084.661	5	1084.661	978.235999999999872	1084.661	5	1084.661	990.235999999999872	13200	23
884.047	409.317999999999982	376.334	9	1380	23	1122.917	25	1122.917	163.158999999999991	1122.917	0	1122.917	165.158999999999991	13800	26
892.46	415.1079999999999462	386.665	8	1440	24	1146.58	24	1146.58	193.3429999999999602	1146.58	3	1146.58	201.3429999999999602	14400	21
945.237	445.13499999999999	405.411	7	1500	23	1238.096	21	1238.096	378.5799999999999265	1238.096	4	1238.096	388.5799999999999265	15000	20
957.758	420.2780000000000187	411.933	8	1560	23	1288.605	23	1288.605	390.1449999999999802	1288.605	2	1288.605	396.1449999999999802	15600	18
1056.102	501.870999999999979	430.92	7	1620	26	1307.584	30	1307.584	59.48799999999999925	1307.584	4	1307.584	69.48799999999999925	16200	21
1084.661	519.825000000000044	438.968	8	1680	26	1326.986	28	1326.986	202.0689999999999595	1326.986	0	1326.986	204.0689999999999595	16800	22
