
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220305-19:13:20-8552)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220305-19:13:20-8552)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220305-19:13:20-8552)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220305-19:13:20-8552)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220305-19:13:20-8552)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220305-19:13:20-8552)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220305-19:13:20-8552)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220305-19:13:20-8552)	
0	0	0	0	60	0	149.4	1	149.4	91.74799999999999015	149.4	1	149.4	95.7479999999999901	600	20
53.652	0	53.652	0	120	0	297.164	2	297.164	222.3439999999999932	297.164	2	297.164	228.3439999999999932	1200	15
68.82	0	68.82	0	180	0	331.548	0	331.548	329.5480000000000007	331.548	0	331.548	331.5480000000000007	1800	13
93.995	0	93.995	0	240	0	348.957	4	348.957	192.129999999999995	348.957	4	348.957	202.129999999999995	2400	15
146.827	0	146.827	0	300	0	397.787	6	397.787	157.0079999999999806	397.787	5	397.787	169.0079999999999806	3000	17
204.025	0	204.025	0	360	0	436.78	3	436.78	334.7849999999999667	436.78	3	436.78	342.7849999999999667	3600	17
228.779	0	228.779	0	420	0	500.345	8	500.345	149.4660000000000075	500.345	0	500.345	151.4660000000000075	4200	19
296.92	0	296.92	0	480	0	517.606	11	517.606	97.3719999999999853	517.606	5	517.606	109.3719999999999853	4800	13
348.879	0	348.879	0	540	0	548.946	7	548.946	238.0260000000000095	548.946	6	548.946	252.0260000000000095	5400	21
378.386	0	378.386	0	600	0	571.884	15	571.884	78.3589999999999801	571.884	9	571.884	98.3589999999999801	6000	17
385.17	0	385.17	0	660	2	651.273	9	651.273	266.8869999999999425	651.273	2	651.273	272.8869999999999425	6600	18
408.234	0	408.234	0	720	0	671.612	16	671.612	169.2669999999999952	671.612	0	671.612	171.2669999999999952	7200	14
427.149	0	427.149	0	780	0	699.058	13	699.058	246.278999999999996	699.058	3	699.058	254.278999999999996	7800	13
444.779	0	444.779	0	840	0	738.567	10	738.567	343.3969999999999332	738.567	4	738.567	353.396999999999933	8400	12
470.756	0	470.756	0	900	0	743.331	18	743.331	164.0109999999999666	743.331	6	743.331	178.0109999999999665	9000	16
473.525	0	473.525	0	960	0	757.943	12	757.943	314.7939999999999815	757.943	7	757.943	330.7939999999999815	9600	12
500.345	3.979000000000000077	496.366	1	1020	0	758.542	14	758.542	269.7859999999999437	758.542	8	758.542	287.7859999999999437	10200	10
556.639	0	500.345	0	1080	0	849.859	20	849.859	192.586000000000012	849.859	2	849.859	198.586000000000012	10800	13
565.32	0	556.639	0	1140	0	863.376	19	863.376	271.491999999999961	863.376	9	863.376	291.4919999999999607	11400	12
571.884	2.62899999999999955	565.32	0	1200	0	884.898	23	884.898	136.2589999999999572	884.898	4	884.898	146.2589999999999571	12000	10
651.273	47.8930000000000005	569.255	1	1260	0	897.665	17	897.665	329.0259999999999525	897.665	5	897.665	341.0259999999999525	12600	14
671.612	34.08100000000000295	571.884	0	1320	0	954.713	24	954.713	159.5829999999999695	954.713	6	954.713	173.5829999999999695	13200	12
699.058	45.61899999999999957	603.38	1	1380	0	992.589	25	992.589	137.7810000000000053	992.589	7	992.589	153.7810000000000053	13800	14
738.639	0	637.531	2	1440	0	999.088	29	999.088	53.1899999999999975	999.088	8	999.088	71.1899999999999975	14400	13
781.13	0	651.273	1	1500	0	1004.7	26	1004.7	142.3410000000000075	1004.7	2	1004.7	148.3410000000000075	15000	13
838.808	0	653.439	2	1560	0	1012.973	21	1012.973	339.360999999999989	1012.973	0	1012.973	341.360999999999989	15600	16
856.359	0	671.612	1	1620	0	1060.629	22	1060.629	353.571000000000025	1060.629	3	1060.629	361.571000000000025	16200	14
904.212	0	699.058	0	1680	0	1183.467	27	1183.467	269.254999999999995	1183.467	4	1183.467	279.254999999999995	16800	15
915.872	0	738.639	0	1740	0	1186.261	5	1186.261	978.235999999999872	1186.261	1	1186.261	982.235999999999872	17400	12
927.898	0	781.13	0	1800	0	1220.408	31	1220.408	75.8509999999999988	1220.408	0	1220.408	77.8509999999999988	18000	9
943.546	0	838.808	0	1860	0	1244.306	32	1244.306	70.1599999999999963	1244.306	2	1244.306	76.1599999999999963	18600	14
1142.557	0	856.359	0	1920	0	1306.452	28	1306.452	378.5799999999999265	1306.452	5	1306.452	390.5799999999999265	19200	11
