
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:43-11740)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:43-11740)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:43-11740)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:43-11740)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:43-11740)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:43-11740)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:43-11740)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220305-16:47:43-11740)	
0	0	0	0	60	0	112.896	0	112.896	110.8959999999999863	112.896	0	112.896	112.8959999999999863	600	34
23.845	0	23.845	0	120	0	119.593	1	119.593	91.74799999999999015	119.593	1	119.593	95.7479999999999901	1200	34
48.807	0	48.807	0	180	0	268.514	5	268.514	157.0079999999999806	268.514	5	268.514	169.0079999999999806	1800	33
59.996	0	59.996	0	240	1	293.891	11	293.891	44.7680000000000005	293.891	9	293.891	64.7680000000000005	2400	29
83.477	0	83.477	0	300	2	356.182	9	356.182	124.028999999999996	356.182	7	356.182	140.028999999999996	3000	28
99.506	0	99.506	0	360	4	366.045	7	366.045	238.0260000000000095	366.045	1	366.045	242.0260000000000095	3600	31
113.017	0	113.017	0	420	5	389.592	2	389.592	334.7849999999999667	389.592	2	389.592	340.7849999999999667	4200	37
124.019	0	124.019	0	480	6	392.25	13	392.25	78.3589999999999801	392.25	9	392.25	98.3589999999999801	4800	32
203.039	0	203.039	0	540	6	403.053	3	403.053	335.057000000000015	403.053	3	403.053	343.057000000000015	5400	27
216.153	0	216.153	0	600	7	405.713	10	405.713	168.5449999999999583	405.713	8	405.713	186.5449999999999582	6000	34
219.168	0	219.168	0	660	4	422.131	6	422.131	307.1139999999999175	422.131	0	422.131	309.1139999999999175	6600	26
229.123	0	229.123	0	720	6	483.926	8	483.926	266.8869999999999425	483.926	6	483.926	280.8869999999999425	7200	27
268.514	29.14099999999999805	239.373	1	780	5	486.898	4	486.898	393.4209999999999337	486.898	4	486.898	403.4209999999999337	7800	29
293.891	46.11099999999998987	247.78	2	840	8	510.434	16	510.434	114.841999999999984	510.434	2	510.434	120.841999999999984	8400	30
356.182	82.286000000000001	268.514	1	900	9	526.793	12	526.793	246.278999999999996	526.793	5	526.793	258.278999999999996	9000	36
366.045	86.5349999999999963	273.896	2	960	10	536.193	14	536.193	164.0109999999999666	536.193	7	536.193	180.0109999999999665	9600	32
389.592	86.34899999999998925	279.51	3	1020	13	582.185	15	582.185	212.1399999999999853	582.185	1	582.185	216.1399999999999853	10200	34
392.25	78.85599999999999415	293.891	2	1080	13	603.639	18	603.639	192.586000000000012	603.639	3	603.639	200.586000000000012	10800	33
403.053	62.87099999999999485	303.243	3	1140	17	629.89	23	629.89	113.4559999999999884	629.89	2	629.89	119.4559999999999883	11400	28
405.713	45.5489999999999922	313.394	4	1200	16	635.707	21	635.707	137.7810000000000053	635.707	6	635.707	151.7810000000000053	12000	26
422.131	50.36099999999998985	340.182	5	1260	18	639.375	26	639.375	53.1899999999999975	639.375	1	639.375	57.1899999999999975	12600	30
483.926	108.2980000000000013	356.182	4	1320	17	672.701	28	672.701	36.81099999999999267	672.701	2	672.701	42.81099999999999267	13200	27
486.898	109.5209999999999863	360.164	5	1380	20	680.748	20	680.748	256.616999999999961	680.748	0	680.748	258.616999999999961	13800	29
510.434	117.889999999999986	366.045	4	1440	23	719.226	30	719.226	75.8509999999999988	719.226	1	719.226	79.8509999999999988	14400	28
526.793	109.3299999999999837	371.77	5	1500	24	719.867	29	719.867	70.1599999999999963	719.867	6	719.867	84.1599999999999963	15000	32
536.193	98.6059999999999941	375.628	6	1560	22	751.611	17	751.611	339.360999999999989	751.611	9	751.611	359.360999999999989	15600	22
582.185	106.7309999999999941	377.377	7	1620	25	777.284	19	777.284	353.571000000000025	777.284	8	777.284	371.571000000000025	16200	34
603.639	119.3299999999999836	389.592	6	1680	26	778.111	27	778.111	166.4719999999999793	778.111	3	778.111	174.4719999999999791	16800	31
629.89	119.9459999999999976	392.25	5	1740	29	782.115	22	782.115	285.2169999999999832	782.115	4	782.115	295.216999999999983	17400	31
635.707	114.9639999999999985	392.544	6	1800	28	808.048	24	808.048	269.254999999999995	808.048	5	808.048	281.254999999999995	18000	24
639.375	110.8319999999999931	403.053	5	1860	32	845.599	37	845.599	59.48799999999999925	845.599	3	845.599	67.48799999999999925	18600	26
672.701	134.7959999999999918	405.713	4	1920	32	908.593	38	908.593	116.4779999999999797	908.593	4	908.593	126.4779999999999797	19200	29
680.748	137.661000000000001	417.463	5	1980	27	916.887	36	916.887	121.6029999999999797	916.887	8	916.887	139.603000000000008	19800	18
719.226	170.7939999999999822	422.131	4	2040	26	930.773	25	930.773	378.5799999999999265	930.773	7	930.773	394.5799999999999265	20400	24
719.867	82.98599999999998965	437.587	5	2100	26	952.788	40	952.788	99.1889999999999923	952.788	3	952.788	107.1889999999999923	21000	29
751.611	84.71799999999998905	475.454	6	2160	27	1036.341	35	1036.341	264.7300000000000175	1036.341	9	1036.341	284.7300000000000175	21600	24
777.284	99.1179999999999945	483.926	5	2220	27	1036.959	33	1036.959	313.7329999999999462	1036.959	1	1036.959	317.7329999999999462	22200	28
778.111	86.3329999999999981	484.309	6	2280	28	1045.822	32	1045.822	363.073999999999954	1045.822	0	1045.822	365.073999999999954	22800	31
782.115	79.2399999999999804	486.898	5	2340	26	1102.702	42	1102.702	167.814999999999997	1102.702	8	1102.702	185.814999999999997	23400	38
808.048	103.568999999999988	509.944	6	2400	28	1148.142	44	1148.142	187.3539999999999843	1148.142	3	1148.142	195.3539999999999843	24000	37
845.599	133.6329999999999808	510.434	5	2460	33	1150.703	46	1150.703	109.7439999999999993	1150.703	1	1150.703	113.7439999999999992	24600	36
908.593	185.512	520.743	6	2520	31	1187.072	45	1187.072	130.7309999999999941	1187.072	9	1187.072	150.730999999999994	25200	37
916.887	149.0349999999999676	526.793	5	2580	36	1238.154	31	1238.154	559.4529999999999725	1238.154	2	1238.154	565.4529999999999725	25800	31
930.773	148.5819999999999931	528.543	6	2640	33	1259.513	50	1259.513	104.8100000000000019	1259.513	1	1259.513	108.8100000000000019	26400	33
952.788	156.6599999999999676	536.193	5	2700	32	1266.848	47	1266.848	219.0260000000000097	1266.848	0	1266.848	221.0260000000000096	27000	23
1036.341	227.730999999999994	537.905	6	2760	33	1310.97	43	1310.97	364.1970000000000015	1310.97	7	1310.97	380.1970000000000015	27600	40
1036.959	211.5419999999999726	543.087	7	2820	35	1312.038	51	1312.038	104.9659999999999793	1312.038	9	1312.038	124.9659999999999792	28200	18
1045.822	206.6490000000000001	548.432	8	2880	32	1332.982	39	1332.982	512.9339999999999675	1332.982	5	1332.982	524.9339999999999675	28800	25
1102.702	252.812000000000011	582.185	7	2940	37	1357.553	49	1357.553	201.4110000000000007	1357.553	3	1357.553	209.4110000000000007	29400	32
1148.142	275.2579999999999237	603.639	6	3000	35	1422.709	57	1422.709	77.72700000000000355	1422.709	5	1422.709	89.7270000000000035	30000	30
1150.703	228.1129999999999985	629.89	5	3060	37	1429.063	56	1429.063	97.0250000000000054	1429.063	9	1429.063	117.0250000000000052	30600	35
1187.072	262.174999999999954	635.707	4	3120	35	1456.331	34	1456.331	722.463999999999939	1456.331	6	1456.331	736.463999999999939	31200	32
1238.154	300.0609999999999205	636.881	5	3180	36	1480.085	54	1480.085	211.2369999999999657	1480.085	0	1480.085	213.2369999999999657	31800	32
1259.513	307.7369999999999655	639.375	4	3240	37	1504.234	61	1504.234	33.9029999999999915	1504.234	6	1504.234	47.9029999999999914	32400	34
1266.848	309.770999999999957	666.893	5	3300	37	1509.491	52	1509.491	265.3369999999999882	1509.491	2	1509.491	271.3369999999999882	33000	21
1310.97	339.2350000000000125	672.701	4	3360	34	1563.027	53	1563.027	299.514000000000009	1563.027	1	1563.027	303.514000000000009	33600	30
1312.038	321.3220000000000017	678.166	5	3420	36	1599.481	58	1599.481	233.927999999999997	1599.481	3	1599.481	241.927999999999997	34200	30
1332.982	339.6949999999999352	680.748	4	3480	38	1637.249	63	1637.249	119.014999999999986	1637.249	6	1637.249	133.014999999999986	34800	37
1357.553	329.252999999999928	691.778	5	3540	41	1639.193	48	1639.193	518.490999999999984	1639.193	8	1639.193	536.490999999999984	35400	36
1422.709	362.446000000000025	702.875	6	3600	42	1667.669	62	1667.669	185.5840000000000025	1667.669	0	1667.669	187.5840000000000025	36000	26
1429.063	350.3210000000000252	704.479	7	3660	42	1762.083	64	1762.083	246.5919999999999837	1762.083	2	1762.083	252.5919999999999837	36600	33
1456.331	366.2259999999999975	711.966	8	3720	42	1766.866	65	1766.866	199.8389999999999977	1766.866	1	1766.866	203.8389999999999977	37200	19
1480.085	389.7839999999999905	719.226	7	3780	40	1787.521	60	1787.521	338.457999999999969	1787.521	9	1787.521	358.4579999999999687	37800	26
1504.234	406.6809999999999252	719.867	6	3840	44	1807.945	69	1807.945	138.2760000000000098	1807.945	0	1807.945	140.2760000000000098	38400	29
1509.491	403.6039999999999267	723.081	7	3900	48	1881.184	68	1881.184	223.9909999999999847	1881.184	8	1881.184	241.9909999999999845	39000	30
1563.027	446.347999999999955	751.611	6	3960	49	1889.148	55	1889.148	562.1779999999998825	1889.148	7	1889.148	578.1779999999998825	39600	34
1599.481	459.424999999999953	767.852	7	4020	48	1907.001	71	1907.001	136.1349999999999903	1907.001	1	1907.001	140.1349999999999903	40200	30
1637.249	474.322999999999977	777.284	6	4080	51	1922.884	66	1922.884	315.4030000000000187	1922.884	3	1922.884	323.4030000000000187	40800	29
1639.193	434.6050000000000165	778.111	5	4140	56	1924.763	72	1924.763	117.2419999999999897	1924.763	9	1924.763	137.2419999999999613	41400	29
