
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-23:02:10-11688)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-23:02:10-11688)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-23:02:10-11688)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:02:10-11688)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-23:02:10-11688)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:02:10-11688)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-23:02:10-11688)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-23:02:10-11688)	
0	0	0	0	60	0	221.577	1	221.577	146.0409999999999965	221.577	1	221.577	150.0409999999999965	600	9
71.536	0	71.536	0	120	0	232.898	0	232.898	230.8979999999999667	232.898	0	232.898	232.8979999999999667	1200	9
105.102	0	105.102	0	180	0	249.377	2	249.377	138.2749999999999766	249.377	2	249.377	144.2749999999999766	1800	11
120.539	0	120.539	0	240	0	423.346	3	423.346	294.807000000000015	423.346	3	423.346	302.807000000000015	2400	16
196.735	0	196.735	0	300	0	432.29	4	432.29	225.5550000000000058	432.29	4	432.29	235.5550000000000057	3000	13
433.794	0	433.794	0	360	0	694.178	6	694.178	204.3779999999999847	694.178	1	694.178	208.3779999999999847	3600	13
485.8	0	485.8	0	420	0	710.936	7	710.936	189.2699999999999812	710.936	2	710.936	195.2699999999999812	4200	9
515.666	0	515.666	0	480	0	811.559	5	811.559	375.764999999999985	811.559	0	811.559	377.764999999999985	4800	9
546.417	0	546.417	0	540	0	822.678	9	822.678	187.911999999999977	822.678	4	822.678	197.911999999999977	5400	9
624.766	0	624.766	0	600	0	924.522	8	924.522	370.105000000000017	924.522	3	924.522	378.105000000000017	6000	11
695.964	0	695.964	0	660	0	991.087	12	991.087	167.9420000000000068	991.087	5	991.087	179.9420000000000066	6600	10
776.328	0	776.328	0	720	0	1007.844	11	1007.844	225.5159999999999618	1007.844	2	1007.844	231.5159999999999617	7200	8
811.145	0	811.145	0	780	0	1049.307	13	1049.307	224.5869999999999883	1049.307	0	1049.307	226.5869999999999883	7800	10
822.72	0	822.72	0	840	0	1050.992	10	1050.992	351.0280000000000187	1050.992	1	1050.992	355.0280000000000187	8400	5
897.477	0	897.477	0	900	0	1156.161	14	1156.161	248.683999999999968	1156.161	4	1156.161	258.683999999999968	9000	10
1011.077	0	1011.077	0	960	0	1203.14	15	1203.14	186.0629999999999871	1203.14	2	1203.14	192.0629999999999871	9600	12
1091.97	0	1091.97	0	1020	0	1314.672	16	1314.672	220.7019999999999971	1314.672	0	1314.672	222.7019999999999971	10200	12
1168.874	0	1168.874	0	1080	0	1355.98	18	1355.98	117.3019999999999918	1355.98	2	1355.98	123.3019999999999918	10800	2
1232.678	0	1232.678	0	1140	0	1374.979	17	1374.979	202.1049999999999603	1374.979	1	1374.979	206.1049999999999603	11400	12
1248.225	0	1248.225	0	1200	0	1535.3	19	1535.3	279.0749999999999307	1535.3	3	1535.3	287.0749999999999307	12000	8
1264.26	0	1264.26	0	1260	0	1589.616	22	1589.616	215.3469999999999791	1589.616	0	1589.616	217.3469999999999791	12600	6
1285.124	0	1285.124	0	1320	0	1619.97	24	1619.97	196.0519999999999633	1619.97	2	1619.97	202.0519999999999633	13200	10
1372.269	0	1372.269	0	1380	0	1633.524	21	1633.524	336.3999999999999757	1633.524	5	1633.524	348.3999999999999757	13800	9
1413.105	0	1413.105	0	1440	0	1687.406	23	1687.406	270.30099999999993	1687.406	1	1687.406	274.30099999999993	14400	11
1417.918	0	1417.918	0	1500	1	1705.187	25	1705.187	161.887	1705.187	3	1705.187	169.887	15000	10
1535.3	94.9209999999999919	1440.379	1	1560	0	1709.968	20	1709.968	435.7079999999999687	1709.968	4	1709.968	445.707999999999968	15600	8
1589.616	16.87399999999999516	1535.3	0	1620	0	1782.88	26	1782.88	191.2640000000000093	1782.88	0	1782.88	193.2640000000000093	16200	12
1745.858	0	1572.742	1	1680	0	2001.327	27	2001.327	251.4689999999999932	2001.327	1	2001.327	255.4689999999999932	16800	9
1796.278	0	1589.616	0	1740	0	2022.674	28	2022.674	224.3959999999999572	2022.674	0	2022.674	226.3959999999999572	17400	13
1819.179	0	1745.858	0	1800	0	2084.965	31	2084.965	197.2219999999999791	2084.965	4	2084.965	207.2219999999999791	18000	8
1860.446	0	1796.278	0	1860	0	2152.974	33	2152.974	147.6469999999999907	2152.974	1	2152.974	151.6469999999999907	18600	8
1877.743	0	1819.179	0	1920	0	2168.271	32	2168.271	271.6079999999999462	2168.271	5	2168.271	283.6079999999999462	19200	15
1884.663	0	1860.446	0	1980	3	2216.947	34	2216.947	192.2729999999999668	2216.947	0	2216.947	194.2729999999999668	19800	14
2001.327	77.076999999999998	1877.743	0	2040	2	2328.157	30	2328.157	459.7110000000000107	2328.157	3	2328.157	467.7110000000000105	20400	9
2022.674	63.96999999999999875	1884.663	0	2100	1	2384.766	36	2384.766	227.7919999999999726	2384.766	1	2384.766	231.7919999999999725	21000	8
2084.965	118.5480000000000013	1924.25	1	2160	2	2410.802	38	2410.802	191.8549999999999603	2410.802	0	2410.802	193.8549999999999603	21600	15
2152.974	147.2179999999999602	1958.704	2	2220	2	2427.333	29	2427.333	602.1539999999999935	2427.333	2	2427.333	608.1539999999999935	22200	12
2168.271	57.4749999999999941	1966.417	3	2280	3	2504.095	35	2504.095	409.129999999999994	2504.095	4	2504.095	419.129999999999994	22800	7
2216.947	72.06299999999998785	2001.327	2	2340	3	2619.034	40	2619.034	230.2679999999999715	2619.034	1	2619.034	234.2679999999999715	23400	12
2328.157	161.5179999999999718	2005.756	3	2400	4	2684.278	42	2684.278	250.9449999999999925	2684.278	2	2684.278	256.9449999999999352	24000	11
2384.766	193.1239999999999658	2022.674	2	2460	3	2701.062	37	2701.062	520.790999999999938	2701.062	5	2701.062	532.790999999999938	24600	9
2410.802	150.5500000000000108	2084.965	1	2520	3	2705.148	39	2705.148	368.9909999999999842	2705.148	3	2705.148	376.9909999999999842	25200	9
2427.333	130.46999999999997	2110.796	2	2580	4	2794.363	43	2794.363	280.2679999999999142	2794.363	4	2794.363	290.2679999999999142	25800	7
2504.095	140.8369999999999885	2144.884	3	2640	6	2813.338	41	2813.338	400.5359999999999437	2813.338	0	2813.338	402.5359999999999437	26400	12
2619.034	237.033999999999991	2152.974	2	2700	6	2942.248	46	2942.248	229.1859999999999777	2942.248	5	2942.248	241.1859999999999777	27000	9
2684.278	243.4439999999999592	2166.639	3	2760	5	2972.12	44	2972.12	349.0860000000000115	2972.12	1	2972.12	353.0860000000000112	27600	12
2701.062	214.918999999999982	2168.271	2	2820	4	2994.675	48	2994.675	190.3120000000000112	2994.675	4	2994.675	200.3120000000000112	28200	4
2705.148	132.4499999999999882	2191.642	3	2880	5	3139.192	45	3139.192	448.9139999999999862	3139.192	2	3139.192	454.9139999999999862	28800	6
2794.363	209.7330000000000032	2216.947	2	2940	8	3176.512	49	3176.512	361.1739999999999767	3176.512	0	3176.512	363.1739999999999767	29400	6
2813.338	215.7509999999999757	2260.252	3	3000	5	3199.987	51	3199.987	223.866999999999961	3199.987	1	3199.987	227.866999999999961	30000	11
2942.248	303.75	2296.863	4	3060	7	3306.764	52	3306.764	302.0889999999999412	3306.764	4	3306.764	312.0889999999999412	30600	9
2972.12	282.6399999999999852	2328.157	3	3120	7	3399.087	54	3399.087	220.5749999999999877	3399.087	0	3399.087	222.5749999999999877	31200	11
2994.675	261.047000000000025	2363.258	4	3180	6	3400.128	55	3400.128	196.1409999999999618	3400.128	1	3400.128	200.1409999999999618	31800	7
3139.192	346.3529999999999502	2382	5	3240	6	3420.952	50	3420.952	466.703999999999949	3420.952	5	3420.952	478.703999999999949	32400	4
3176.512	344.776999999999928	2384.766	4	3300	6	3508.878	56	3508.878	192.1139999999999751	3508.878	4	3508.878	202.1139999999999751	33000	13
3199.987	314.103999999999927	2410.802	3	3360	9	3541.692	53	3541.692	396.5	3541.692	2	3541.692	402.5	33600	12
3306.764	401.105000000000017	2427.333	2	3420	8	3667.477	58	3667.477	263.348999999999932	3667.477	1	3667.477	267.348999999999932	34200	6
3399.087	483.4599999999999205	2440.834	3	3480	9	3716.811	59	3716.811	283.8589999999999222	3716.811	5	3716.811	295.858999999999922	34800	10
3400.128	397.9069999999999237	2486.143	4	3540	10	3749.402	61	3749.402	201.7099999999999785	3749.402	2	3749.402	207.7099999999999785	35400	9
3420.952	395.6999999999999305	2504.095	3	3600	9	3885.114	57	3885.114	484.026999999999928	3885.114	0	3885.114	486.026999999999928	36000	4
3508.878	339.3029999999999962	2572.698	4	3660	10	3885.548	62	3885.548	214.0709999999999688	3885.548	1	3885.548	218.0709999999999688	36600	9
3541.692	342.5620000000000107	2584.63	5	3720	10	3904.364	64	3904.364	148.9619999999999883	3904.364	2	3904.364	154.9619999999999883	37200	7
