
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-23:45:38-12588)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-23:45:38-12588)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-23:45:38-12588)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:45:38-12588)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-23:45:38-12588)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:45:38-12588)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-23:45:38-12588)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-23:45:38-12588)	
0	0	0	0	60	0	279.598	1	279.598	204.0620000000000112	279.598	1	279.598	208.0620000000000112	600	9
71.536	0	71.536	0	120	0	303.515	2	303.515	192.4130000000000103	303.515	2	303.515	198.4130000000000103	1200	12
105.102	0	105.102	0	180	0	333.347	0	333.347	331.3469999999999782	333.347	0	333.347	333.3469999999999782	1800	6
120.539	0	120.539	0	240	0	530.068	4	530.068	323.332999999999969	530.068	4	530.068	333.332999999999969	2400	8
196.735	0	196.735	0	300	0	555.749	3	555.749	427.2099999999999207	555.749	3	555.749	435.2099999999999207	3000	14
433.794	0	433.794	0	360	0	781.366	6	781.366	291.5659999999999157	781.366	1	781.366	295.5659999999999157	3600	5
485.8	0	485.8	0	420	0	790.571	7	790.571	268.904999999999972	790.571	2	790.571	274.9049999999999717	4200	12
515.666	0	515.666	0	480	0	899.634	9	899.634	266.8679999999999375	899.634	3	899.634	274.867999999999937	4800	8
546.417	0	546.417	0	540	0	984.441	5	984.441	548.6469999999999325	984.441	0	984.441	550.6469999999999325	5400	9
624.766	0	624.766	0	600	0	1054.058	12	1054.058	236.91300000000001	1054.058	2	1054.058	242.91300000000001	6000	12
695.964	0	695.964	0	660	0	1096.574	8	1096.574	540.1569999999999235	1096.574	4	1096.574	550.1569999999999235	6600	14
781.366	5.03800000000000023	776.328	1	720	0	1108.639	11	1108.639	323.2730000000000232	1108.639	1	1108.639	327.2730000000000232	7200	12
811.145	0	781.366	0	780	1	1208.319	14	1208.319	221.8779999999999847	1208.319	0	1208.319	223.8779999999999847	7800	10
899.634	76.913999999999987	811.145	0	840	1	1219.505	10	1219.505	511.540999999999938	1219.505	5	1219.505	523.540999999999938	8400	16
984.441	86.9639999999999985	822.72	1	900	1	1269.788	15	1269.788	209.7299999999999603	1269.788	2	1269.788	215.7299999999999603	9000	9
1054.058	96.2079999999999981	897.477	2	960	2	1394.731	16	1394.731	288.1569999999999242	1394.731	4	1394.731	298.1569999999999242	9600	6
1096.574	98.0780000000000026	899.634	1	1020	2	1397.993	13	1397.993	490.358999999999922	1397.993	3	1397.993	498.358999999999922	10200	7
1108.639	32.80299999999999717	957.85	2	1080	2	1515.451	17	1515.451	402.8120000000000107	1515.451	1	1515.451	406.8120000000000107	10800	14
1208.319	105.918000000000006	984.441	1	1140	2	1626.746	18	1626.746	416.4270000000000195	1626.746	0	1626.746	418.4270000000000195	11400	13
1219.505	93.7030000000000026	998.496	2	1200	3	1635.118	19	1635.118	403.6129999999999415	1635.118	5	1635.118	415.6129999999999415	12000	6
1269.788	80.18199999999998765	1054.058	1	1260	2	1791.838	22	1791.838	308.020999999999957	1791.838	3	1791.838	316.020999999999957	12600	12
1394.731	184.2609999999999665	1075.836	2	1320	1	1874.949	25	1874.949	227.8309999999999595	1874.949	5	1874.949	239.8309999999999595	13200	9
1475.817	0	1096.574	1	1380	1	1894.33	21	1894.33	489.5989999999999315	1894.33	4	1894.33	499.5989999999999315	13800	5
1516.653	0	1102.401	2	1440	0	1907.823	24	1907.823	279.076999999999997	1907.823	0	1907.823	281.076999999999997	14400	14
1626.746	105.2800000000000008	1108.639	1	1500	0	1911.105	23	1911.105	390.4519999999999967	1911.105	1	1911.105	394.4519999999999967	15000	6
1635.118	91.191000000000002	1125.802	2	1560	2	1914.349	20	1914.349	638.560999999999919	1914.349	2	1914.349	644.560999999999919	15600	10
1791.838	115.5480000000000013	1189.606	3	1620	2	2071.734	26	2071.734	271.8959999999999572	2071.734	3	2071.734	279.8959999999999572	16200	8
1874.949	25.54299999999999915	1208.319	2	1680	1	2149.548	27	2149.548	262.598999999999932	2149.548	5	2149.548	274.598999999999932	16800	15
1899.826	0	1210.47	3	1740	1	2165.567	30	2165.567	232.75	2165.567	1	2165.567	236.75	17400	10
1907.823	0.625	1219.505	2	1800	0	2247.801	31	2247.801	280.832999999999969	2247.801	2	2247.801	286.832999999999969	18000	11
1928.817	0	1269.788	1	1860	1	2298.68	28	2298.68	388.8539999999999267	2298.68	4	2298.68	398.8539999999999267	18600	10
1960.968	0	1394.731	0	1920	0	2349.465	32	2349.465	269.730999999999994	2349.465	3	2349.465	277.730999999999994	19200	8
2071.734	103.8460000000000033	1475.817	0	1980	1	2518.171	34	2518.171	206.4699999999999696	2518.171	2	2518.171	212.4699999999999696	19800	15
2222.152	0	1516.653	0	2040	1	2536.045	33	2536.045	309.8929999999999142	2536.045	1	2536.045	313.8929999999999142	20400	7
2305.701	0	1521.466	1	2100	0	2536.968	29	2536.968	627.14499999999998	2536.968	0	2536.968	629.14499999999998	21000	13
2410.741	0	1543.927	2	2160	0	2717.213	35	2717.213	298.4719999999999782	2717.213	3	2717.213	306.4719999999999782	21600	9
2430.677	0	1626.746	1	2220	0	2772.487	39	2772.487	232.4420000000000065	2772.487	1	2772.487	236.4420000000000065	22200	10
2477.933	0	1635.118	0	2280	0	2781.39	37	2781.39	291.456999999999993	2781.39	5	2781.39	303.456999999999993	22800	9
2518.171	15.23499999999999937	1676.29	1	2340	0	2822.367	36	2822.367	381.6899999999999392	2822.367	4	2822.367	391.6899999999999392	23400	8
2536.045	0.73299999999999987	1791.838	0	2400	0	2875.407	38	2875.407	351.235999999999989	2875.407	2	2875.407	357.235999999999989	24000	8
2657.435	0	1849.406	1	2460	0	2945.936	40	2945.936	286.5009999999999752	2945.936	0	2945.936	288.5009999999999752	24600	8
2723.83	0	1874.949	0	2520	0	3090.844	41	3090.844	359.014000000000008	3090.844	3	3090.844	367.014000000000008	25200	11
2832.69	0	1899.826	0	2580	0	3266.162	46	3266.162	318.2259999999999977	3266.162	0	3266.162	320.2259999999999977	25800	10
2900.068	0	1907.198	1	2640	0	3352.799	44	3352.799	431.1619999999999192	3352.799	4	3352.799	441.1619999999999192	26400	12
2911.637	0	1907.823	0	2700	0	3370.881	42	3370.881	534.191000000000029	3370.881	1	3370.881	538.191000000000029	27000	8
2916.849	0	1928.817	0	2760	0	3378.351	45	3378.351	449.5019999999999515	3378.351	5	3378.351	461.5019999999999515	27600	11
2945.936	6.389999999999998755	1960.968	0	2820	0	3595.24	50	3595.24	220.3589999999999796	3595.24	1	3595.24	224.3589999999999796	28200	12
3090.844	134.5419999999999727	1967.888	1	2880	0	3627.43	48	3627.43	359.2679999999999132	3627.43	0	3627.43	361.2679999999999132	28800	4
3266.162	268.948999999999954	2071.734	0	2940	1	3631.302	43	3631.302	725.2339999999999215	3631.302	2	3631.302	731.2339999999999215	29400	10
3352.799	225.6459999999999572	2222.152	0	3000	2	3674.058	49	3674.058	311.2590000000000137	3674.058	4	3674.058	321.2590000000000137	30000	7
3370.881	233.25999999999999	2305.701	0	3060	2	3760.552	51	3760.552	370.2010000000000207	3760.552	5	3760.552	382.2010000000000207	30600	7
3378.351	163.6150000000000087	2410.741	0	3120	1	3793.747	47	3793.747	694.9030000000000175	3793.747	3	3793.747	702.9030000000000175	31200	11
3595.24	70.57299999999997875	2430.677	0	3180	3	3795.405	54	3795.405	158.1030000000000078	3795.405	2	3795.405	164.1030000000000078	31800	6
3627.43	92.794999999999987	2477.933	0	3240	4	3950.231	53	3950.231	320.8009999999999295	3950.231	0	3950.231	322.8009999999999295	32400	10
3631.302	10.07300000000000035	2502.936	1	3300	3	3954.861	52	3954.861	355.6209999999999792	3954.861	1	3954.861	359.6209999999999792	33000	12
3692.58	0	2518.171	0	3360	2	4080.959	57	4080.959	279.2119999999999882	4080.959	3	4080.959	287.2119999999999882	33600	14
3760.552	53.1889999999999928	2535.312	1	3420	0	4088.414	56	4088.414	315.8619999999999655	4088.414	5	4088.414	327.8619999999999655	34200	6
3793.747	56.82899999999999325	2536.045	0	3480	0	4131.939	58	4131.939	273.1709999999999347	4131.939	2	4131.939	279.1709999999999345	34800	7
3852.768	0	2657.435	0	3540	2	4282.33	55	4282.33	579.75	4282.33	4	4282.33	589.75	35400	11
3950.231	94.7889999999999869	2723.83	0	3600	1	4338.885	60	4338.885	380.024	4338.885	1	4338.885	384.024	36000	2
3954.861	83.63599999999999535	2832.69	0	3660	0	4430.801	61	4430.801	341.841999999999983	4430.801	3	4430.801	349.841999999999983	36600	11
4080.959	187.9230000000000012	2900.068	0	3720	1	4471.793	62	4471.793	371.3790000000000177	4471.793	5	4471.793	383.3790000000000177	37200	11
4088.414	147.5790000000000071	2911.637	0	3780	1	4501.7	63	4501.7	363.7609999999999657	4501.7	2	4501.7	369.7609999999999657	37800	11
4131.939	117.865999999999985	2916.849	0	3840	0	4602.574	64	4602.574	310.244000000000027	4602.574	4	4602.574	320.244000000000027	38400	11
4282.33	207.286999999999977	2939.546	1	3900	3	4663.272	59	4663.272	711.0409999999999375	4663.272	0	4663.272	713.0409999999999375	39000	8
4338.885	177.5749999999999878	2945.936	0	3960	2	4772.564	68	4772.564	264.863999999999918	4772.564	2	4772.564	270.863999999999918	39600	8
