
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-23:35:45-9388)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-23:35:45-9388)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-23:35:45-9388)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:35:45-9388)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-23:35:45-9388)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:35:45-9388)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-23:35:45-9388)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-23:35:45-9388)	
0	0	0	0	60	0	203.693	1	203.693	146.0409999999999965	203.693	1	203.693	150.0409999999999965	600	12
53.652	0	53.652	0	120	0	223.102	2	223.102	138.2749999999999766	223.102	2	223.102	144.2749999999999766	1200	15
78.827	0	78.827	0	180	0	232.898	0	232.898	230.8979999999999667	232.898	0	232.898	232.8979999999999667	1800	15
90.405	0	90.405	0	240	0	383.107	4	383.107	225.5550000000000058	383.107	4	383.107	235.5550000000000057	2400	10
147.552	0	147.552	0	300	0	393.212	3	393.212	294.807000000000015	393.212	3	393.212	302.807000000000015	3000	21
325.346	0	325.346	0	360	0	572.729	6	572.729	204.3779999999999847	572.729	1	572.729	208.3779999999999847	3600	12
364.351	0	364.351	0	420	0	582.021	7	582.021	189.2699999999999812	582.021	2	582.021	195.2699999999999812	4200	9
386.751	0	386.751	0	480	0	666.489	9	666.489	187.911999999999977	666.489	4	666.489	197.911999999999977	4800	10
409.815	0	409.815	0	540	0	703.111	5	703.111	375.764999999999985	703.111	0	703.111	377.764999999999985	5400	11
468.577	0	468.577	0	600	0	782.304	12	782.304	167.9420000000000068	782.304	2	782.304	173.9420000000000066	6000	17
521.976	0	521.976	0	660	0	787.92	8	787.92	370.105000000000017	787.92	3	787.92	378.105000000000017	6600	11
582.249	0	582.249	0	720	0	811.765	11	811.765	225.5159999999999618	811.765	1	811.765	229.5159999999999618	7200	11
608.362	0	608.362	0	780	0	855.63	13	855.63	224.5869999999999883	855.63	6	855.63	238.5869999999999882	7800	18
617.043	0	617.043	0	840	0	885.004	10	885.004	351.0280000000000187	885.004	5	885.004	363.0280000000000187	8400	15
673.11	0	673.11	0	900	0	931.794	14	931.794	248.683999999999968	931.794	4	931.794	258.683999999999968	9000	10
758.31	0	758.31	0	960	0	946.373	15	946.373	186.0629999999999871	946.373	0	946.373	188.0629999999999871	9600	11
818.98	0	818.98	0	1020	0	1043.682	16	1043.682	220.7019999999999971	1043.682	1	1043.682	224.7019999999999971	10200	11
876.658	0	876.658	0	1080	0	1049.813	18	1049.813	117.3019999999999918	1049.813	3	1049.813	125.3019999999999918	10800	11
924.511	0	924.511	0	1140	0	1084.763	17	1084.763	202.1049999999999603	1084.763	2	1084.763	208.1049999999999603	11400	17
936.171	0	936.171	0	1200	0	1200.773	25	1200.773	102.4449999999999926	1200.773	2	1200.773	108.4449999999999926	12000	10
948.197	0	948.197	0	1260	0	1225.246	19	1225.246	279.0749999999999307	1225.246	4	1225.246	289.0749999999999307	12600	20
963.845	0	963.845	0	1320	0	1271.413	24	1271.413	196.0519999999999633	1271.413	3	1271.413	204.0519999999999633	13200	8
1029.204	0	1029.204	0	1380	0	1295.559	22	1295.559	252.3549999999999602	1295.559	6	1295.559	266.3550000000000175	13800	10
1059.831	0	1059.831	0	1440	0	1312.245	21	1312.245	336.3999999999999757	1312.245	5	1312.245	348.3999999999999757	14400	14
1067.361	0	1067.361	0	1500	0	1334.132	23	1334.132	270.30099999999993	1334.132	1	1334.132	274.30099999999993	15000	8
1092.328	0	1092.328	0	1560	0	1364.702	26	1364.702	157.101999999999975	1364.702	7	1364.702	173.1019999999999747	15600	12
1191.6	0	1191.6	0	1620	0	1385.905	20	1385.905	435.7079999999999687	1385.905	0	1385.905	437.7079999999999687	16200	12
1222.957	0	1222.957	0	1680	0	1414.023	27	1414.023	185.0659999999999735	1414.023	2	1414.023	191.0659999999999735	16800	12
1251.042	0	1251.042	0	1740	0	1445.953	30	1445.953	165.1669999999999726	1445.953	3	1445.953	173.1669999999999726	17400	17
1256.571	0	1256.571	0	1800	0	1600.558	32	1600.558	189.8209999999999688	1600.558	0	1600.558	191.8209999999999688	18000	11
1272.786	0	1272.786	0	1860	0	1621.608	31	1621.608	310.7089999999999452	1621.608	6	1621.608	324.7089999999999452	18600	9
1296.899	0	1296.899	0	1920	0	1626.65	29	1626.65	352.0789999999999495	1626.65	8	1626.65	370.0789999999999492	19200	13
1408.737	0	1408.737	0	1980	0	1658.026	34	1658.026	147.6469999999999907	1658.026	2	1658.026	153.6469999999999907	19800	12
1441.717	0	1441.717	0	2040	0	1662.312	33	1662.312	216.5949999999999696	1662.312	1	1662.312	220.5949999999999696	20400	14
1504.379	0	1504.379	0	2100	0	1689.139	28	1689.139	428.0969999999999782	1689.139	4	1689.139	438.0969999999999782	21000	7
1583.159	0	1583.159	0	2160	0	1800.141	35	1800.141	208.9819999999999702	1800.141	3	1800.141	216.9819999999999702	21600	11
1598.111	0	1598.111	0	2220	0	1801.662	36	1801.662	191.5509999999999871	1801.662	5	1801.662	203.5509999999999871	22200	14
1633.553	0	1633.553	0	2280	0	1831.271	39	1831.271	164.9610000000000121	1831.271	7	1831.271	180.961000000000012	22800	17
1633.994	0	1633.994	0	2340	0	1892.152	38	1892.152	244.1579999999999577	1892.152	6	1892.152	258.1580000000000145	23400	13
1650.31	0	1650.31	0	2400	0	1907.909	40	1907.909	201.0009999999999757	1907.909	1	1907.909	205.0009999999999757	24000	16
