
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-23:20:00-6344)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-23:20:00-6344)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-23:20:00-6344)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:20:00-6344)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-23:20:00-6344)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:20:00-6344)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-23:20:00-6344)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-23:20:00-6344)	
0	0	0	0	60	0	221.577	1	221.577	146.0409999999999965	221.577	1	221.577	150.0409999999999965	600	9
71.536	0	71.536	0	120	0	232.898	0	232.898	230.8979999999999667	232.898	0	232.898	232.8979999999999667	1200	9
105.102	0	105.102	0	180	0	249.377	2	249.377	138.2749999999999766	249.377	2	249.377	144.2749999999999766	1800	16
120.539	0	120.539	0	240	0	423.346	3	423.346	294.807000000000015	423.346	3	423.346	302.807000000000015	2400	15
196.735	0	196.735	0	300	0	432.29	4	432.29	225.5550000000000058	432.29	4	432.29	235.5550000000000057	3000	5
433.794	0	433.794	0	360	0	694.178	6	694.178	204.3779999999999847	694.178	1	694.178	208.3779999999999847	3600	13
485.8	0	485.8	0	420	0	710.936	7	710.936	189.2699999999999812	710.936	2	710.936	195.2699999999999812	4200	9
515.666	0	515.666	0	480	0	811.559	5	811.559	375.764999999999985	811.559	0	811.559	377.764999999999985	4800	9
546.417	0	546.417	0	540	0	822.678	9	822.678	187.911999999999977	822.678	4	822.678	197.911999999999977	5400	6
624.766	0	624.766	0	600	0	924.522	8	924.522	370.105000000000017	924.522	3	924.522	378.105000000000017	6000	11
695.964	0	695.964	0	660	0	991.087	12	991.087	167.9420000000000068	991.087	5	991.087	179.9420000000000066	6600	7
776.328	0	776.328	0	720	0	1007.844	11	1007.844	225.5159999999999618	1007.844	2	1007.844	231.5159999999999617	7200	8
811.145	0	811.145	0	780	0	1049.307	13	1049.307	224.5869999999999883	1049.307	0	1049.307	226.5869999999999883	7800	12
822.72	0	822.72	0	840	0	1050.992	10	1050.992	351.0280000000000187	1050.992	1	1050.992	355.0280000000000187	8400	9
897.477	0	897.477	0	900	0	1156.161	14	1156.161	248.683999999999968	1156.161	4	1156.161	258.683999999999968	9000	6
1011.077	0	1011.077	0	960	0	1203.14	15	1203.14	186.0629999999999871	1203.14	2	1203.14	192.0629999999999871	9600	16
1091.97	0	1091.97	0	1020	0	1314.672	16	1314.672	220.7019999999999971	1314.672	0	1314.672	222.7019999999999971	10200	12
1168.874	0	1168.874	0	1080	0	1355.98	18	1355.98	117.3019999999999918	1355.98	2	1355.98	123.3019999999999918	10800	12
1232.678	0	1232.678	0	1140	0	1374.979	17	1374.979	202.1049999999999603	1374.979	1	1374.979	206.1049999999999603	11400	10
1248.225	0	1248.225	0	1200	0	1535.3	19	1535.3	279.0749999999999307	1535.3	3	1535.3	287.0749999999999307	12000	4
1264.26	0	1264.26	0	1260	0	1556.824	25	1556.824	102.4449999999999926	1556.824	6	1556.824	116.4449999999999926	12600	10
1285.124	0	1285.124	0	1320	0	1589.616	22	1589.616	215.3469999999999791	1589.616	0	1589.616	217.3469999999999791	13200	13
1372.269	0	1372.269	0	1380	0	1619.97	24	1619.97	196.0519999999999633	1619.97	2	1619.97	202.0519999999999633	13800	10
1413.105	0	1413.105	0	1440	0	1633.524	21	1633.524	336.3999999999999757	1633.524	5	1633.524	348.3999999999999757	14400	11
1417.918	0	1417.918	0	1500	0	1687.406	23	1687.406	270.30099999999993	1687.406	1	1687.406	274.30099999999993	15000	9
1440.379	0	1440.379	0	1560	0	1709.968	20	1709.968	435.7079999999999687	1709.968	4	1709.968	445.707999999999968	15600	8
1572.742	0	1572.742	0	1620	0	1772.006	26	1772.006	191.2640000000000093	1772.006	3	1772.006	199.2640000000000093	16200	15
1614.552	0	1614.552	0	1680	0	1868.021	27	1868.021	251.4689999999999932	1868.021	0	1868.021	253.4689999999999932	16800	9
1664.972	0	1664.972	0	1740	0	1895.368	28	1895.368	224.3959999999999572	1895.368	2	1895.368	230.3959999999999572	17400	5
1687.873	0	1687.873	0	1800	0	1955.659	31	1955.659	197.2219999999999791	1955.659	5	1955.659	209.2219999999999791	18000	8
1729.14	0	1729.14	0	1860	0	2018.374	35	2018.374	165.2629999999999762	2018.374	8	2018.374	183.262999999999976	18600	12
1746.437	0	1746.437	0	1920	0	2038.965	32	2038.965	271.6079999999999462	2038.965	6	2038.965	285.6079999999999462	19200	9
1753.357	0	1753.357	0	1980	0	2082.319	34	2082.319	238.9209999999999915	2082.319	7	2082.319	254.9209999999999915	19800	6
1792.944	0	1792.944	0	2040	0	2124.551	36	2124.551	191.5509999999999871	2124.551	0	2124.551	193.5509999999999871	20400	11
1827.398	0	1827.398	0	2100	0	2143.525	33	2143.525	342.5810000000000157	2143.525	3	2143.525	350.5810000000000157	21000	10
1835.111	0	1835.111	0	2160	0	2163.487	39	2163.487	164.9610000000000121	2163.487	9	2163.487	184.961000000000012	21600	12
1931	0	1931	0	2220	0	2198.851	30	2198.851	459.7110000000000107	2198.851	4	2198.851	469.7110000000000105	22200	12
1956.183	0	1956.183	0	2280	0	2212.929	38	2212.929	244.1579999999999577	2212.929	5	2212.929	256.1580000000000145	22800	11
1956.771	0	1956.771	0	2340	0	2263.657	40	2263.657	201.0009999999999757	2263.657	6	2263.657	215.0009999999999757	23400	6
1978.526	0	1978.526	0	2400	0	2294.027	29	2294.027	602.1539999999999935	2294.027	1	2294.027	606.1539999999999935	24000	10
2048.656	0	2048.656	0	2460	0	2380.393	41	2380.393	249.3419999999999837	2380.393	7	2380.393	265.3419999999999837	24600	8
2115.051	0	2115.051	0	2520	0	2394.028	37	2394.028	431.8450000000000257	2394.028	2	2394.028	437.8450000000000257	25200	11
2223.911	0	2223.911	0	2580	0	2564.918	46	2564.918	222.1510000000000096	2564.918	5	2564.918	234.1510000000000095	25800	9
2291.289	0	2291.289	0	2640	0	2586.867	47	2586.867	225.3439999999999932	2586.867	6	2586.867	239.3439999999999932	26400	8
2302.858	0	2302.858	0	2700	0	2592.038	42	2592.038	366.1269999999999515	2592.038	0	2592.038	368.1269999999999515	27000	12
2308.07	0	2308.07	0	2760	0	2604.299	44	2604.299	297.4409999999999157	2604.299	1	2604.299	301.4409999999999157	27600	10
2330.767	0	2330.767	0	2820	0	2627.738	45	2627.738	309.6680000000000052	2627.738	4	2627.738	319.6680000000000052	28200	11
2347.523	0	2347.523	0	2880	0	2633.62	48	2633.62	229.1859999999999777	2633.62	7	2633.62	245.1859999999999777	28800	4
2388.434	0	2388.434	0	2940	0	2773.886	49	2773.886	249.512	2773.886	2	2773.886	255.512	29400	6
2518.374	0	2518.374	0	3000	0	2792.778	43	2792.778	493.488999999999917	2792.778	3	2792.778	501.488999999999917	30000	10
2828.305	0	2828.305	0	3060	0	3020.617	50	3020.617	190.3120000000000112	3020.617	0	3020.617	192.3120000000000112	30600	10
2882.453	0	2882.453	0	3120	0	3127.927	53	3127.927	185.0459999999999915	3127.927	3	3127.927	193.0459999999999915	31200	13
2924.913	0	2924.913	0	3180	0	3138.877	54	3138.877	115.4019999999999863	3138.877	0	3138.877	117.4019999999999863	31800	9
2934.881	0	2934.881	0	3240	0	3143.253	51	3143.253	256.799999999999954	3143.253	1	3143.253	260.799999999999954	32400	5
3021.475	0	3021.475	0	3300	0	3339.487	56	3339.487	220.5749999999999877	3339.487	5	3339.487	232.5749999999999875	33000	11
3092.129	0	3092.129	0	3360	0	3340.608	57	3340.608	196.1409999999999618	3340.608	3	3340.608	204.1409999999999618	33600	10
3106.912	0	3106.912	0	3420	0	3397.617	52	3397.617	466.703999999999949	3397.617	2	3397.617	472.703999999999949	34200	9
3136.467	0	3136.467	0	3480	0	3446.431	58	3446.431	192.1139999999999751	3446.431	0	3446.431	194.1139999999999751	34800	4
3252.317	0	3252.317	0	3540	0	3490.212	59	3490.212	231.2210000000000027	3490.212	1	3490.212	235.2210000000000027	35400	11
3254.991	0	3254.991	0	3600	0	3498.629	55	3498.629	396.5	3498.629	4	3498.629	406.5	36000	8
3270.774	0	3270.774	0	3660	0	3515.774	61	3515.774	207.188999999999964	3515.774	7	3515.774	223.188999999999964	36600	8
3292.585	0	3292.585	0	3720	0	3587.292	62	3587.292	237.8940000000000047	3587.292	3	3587.292	245.8940000000000047	37200	10
3341.398	0	3341.398	0	3780	0	3644.014	64	3644.014	201.7099999999999785	3644.014	5	3644.014	213.7099999999999785	37800	8
3427.665	0	3427.665	0	3840	0	3719.734	65	3719.734	216.829000000000007	3719.734	0	3719.734	218.829000000000007	38400	9
3430.304	0	3430.304	0	3900	0	3769.436	67	3769.436	148.9619999999999883	3769.436	3	3769.436	156.9619999999999883	39000	8
