
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-23:06:31-12852)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-23:06:31-12852)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-23:06:31-12852)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:06:31-12852)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-23:06:31-12852)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-23:06:31-12852)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-23:06:31-12852)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-23:06:31-12852)	
0	0	0	0	60	0	232.898	0	232.898	230.8979999999999667	232.898	0	232.898	232.8979999999999667	600	5
143.073	0	143.073	0	120	0	387.778	1	387.778	240.7049999999999827	387.778	1	387.778	244.7049999999999827	1200	4
210.206	0	210.206	0	180	0	452.379	2	452.379	236.173000000000001	452.379	2	452.379	242.173000000000001	1800	6
306.378	0	306.378	0	240	0	603.185	3	603.185	294.807000000000015	603.185	0	603.185	296.807000000000015	2400	3
387.443	0	387.443	0	300	0	620.998	4	620.998	225.5550000000000058	620.998	3	620.998	233.5550000000000057	3000	10
861.561	0	861.561	0	360	0	1181.011	6	1181.011	211.4370000000000112	1181.011	1	1181.011	215.4370000000000112	3600	6
965.574	0	965.574	0	420	0	1228.249	7	1228.249	196.9420000000000066	1228.249	2	1228.249	202.9420000000000066	4200	7
1025.307	0	1025.307	0	480	0	1239.326	5	1239.326	375.764999999999985	1239.326	0	1239.326	377.764999999999985	4800	5
1143.75	0	1143.75	0	540	0	1404.935	9	1404.935	187.911999999999977	1404.935	1	1404.935	191.911999999999977	5400	4
1213.023	0	1213.023	0	600	0	1521.855	8	1521.855	370.105000000000017	1521.855	3	1521.855	378.105000000000017	6000	2
1355.42	0	1355.42	0	660	0	1708.448	10	1708.448	351.0280000000000187	1708.448	0	1708.448	353.0280000000000187	6600	6
1516.147	0	1516.147	0	720	0	1732.509	12	1732.509	140.7289999999999845	1732.509	2	1732.509	146.7289999999999845	7200	11
1585.78	0	1585.78	0	780	0	1864.094	11	1864.094	343.9470000000000015	1864.094	1	1864.094	347.9470000000000015	7800	4
1676.779	0	1676.779	0	840	0	1909.366	13	1909.366	224.5869999999999883	1909.366	3	1909.366	232.5869999999999882	8400	6
1743.784	0	1743.784	0	900	0	1994.468	14	1994.468	248.683999999999968	1994.468	0	1994.468	250.683999999999968	9000	3
1970.985	0	1970.985	0	960	0	2161.048	15	2161.048	186.0629999999999871	2161.048	1	2161.048	190.0629999999999871	9600	6
2132.771	0	2132.771	0	1020	0	2355.473	16	2355.473	220.7019999999999971	2355.473	0	2355.473	222.7019999999999971	10200	13
2286.579	0	2286.579	0	1080	0	2492.684	17	2492.684	202.1049999999999603	2492.684	1	2492.684	206.1049999999999603	10800	4
2414.187	0	2414.187	0	1140	0	2624.041	20	2624.041	138.692000000000007	2624.041	3	2624.041	146.6920000000000068	11400	5
2445.28	0	2445.28	0	1200	0	2799.788	23	2799.788	123.7699999999999813	2799.788	3	2799.788	131.7699999999999813	12000	4
2477.349	0	2477.349	0	1260	0	2807.21	21	2807.21	206.2339999999999796	2807.21	1	2807.21	210.2339999999999796	12600	7
2596.976	0	2596.976	0	1320	0	2809.923	18	2809.923	393.735999999999989	2809.923	0	2809.923	395.735999999999989	13200	3
2600.382	0	2600.382	0	1380	0	2825.729	22	2825.729	215.3469999999999791	2825.729	4	2825.729	225.346999999999979	13800	7
2668.018	0	2668.018	0	1440	0	2839.011	25	2839.011	102.4449999999999926	2839.011	6	2839.011	116.4449999999999926	14400	3
2677.644	0	2677.644	0	1500	0	2971.108	19	2971.108	519.8279999999999725	2971.108	2	2971.108	525.8279999999999725	15000	5
2722.566	0	2722.566	0	1560	0	3057.697	26	3057.697	191.2640000000000093	3057.697	0	3057.697	193.2640000000000093	15600	2
2864.433	0	2864.433	0	1620	0	3180.758	24	3180.758	491.113999999999917	3180.758	5	3180.758	503.113999999999917	16200	5
2948.052	0	2948.052	0	1680	0	3203.521	27	3203.521	251.4689999999999932	3203.521	1	3203.521	255.4689999999999932	16800	9
3048.891	0	3048.891	0	1740	0	3229.815	28	3229.815	174.9239999999999776	3229.815	2	3229.815	180.9239999999999776	17400	4
3094.692	0	3094.692	0	1800	0	3455.676	30	3455.676	219.0219999999999907	3455.676	1	3455.676	223.0219999999999907	18000	7
3232.654	0	3232.654	0	1860	0	3547.171	32	3547.171	189.8209999999999688	3547.171	3	3547.171	197.8209999999999688	18600	5
3267.249	0	3267.249	0	1920	0	3583.958	31	3583.958	310.7089999999999452	3583.958	2	3583.958	316.7089999999999452	19200	3
3349.35	0	3349.35	0	1980	0	3663.893	33	3663.893	216.5949999999999696	3663.893	4	3663.893	226.5949999999999696	19800	4
3437.298	0	3437.298	0	2040	0	3698.846	29	3698.846	602.1539999999999935	3698.846	0	3698.846	604.1539999999999935	20400	4
3604.396	0	3604.396	0	2100	0	3756.043	34	3756.043	147.6469999999999907	3756.043	1	3756.043	151.6469999999999907	21000	8
3814.475	0	3814.475	0	2160	0	3981.738	35	3981.738	165.2629999999999762	3981.738	0	3981.738	167.2629999999999762	21600	4
3854.347	0	3854.347	0	2220	0	4122.807	36	4122.807	264.4599999999999217	4122.807	1	4122.807	268.4599999999999217	22200	1
3904.712	0	3904.712	0	2280	0	4138.504	37	4138.504	227.7919999999999726	4138.504	2	4138.504	233.7919999999999725	22800	3
3954.719	0	3954.719	0	2340	0	4258.901	39	4258.901	164.9610000000000121	4258.901	0	4258.901	166.9610000000000121	23400	2
4091.94	0	4091.94	0	2400	0	4334.346	40	4334.346	201.0009999999999757	4334.346	1	4334.346	205.0009999999999757	24000	8
4129.345	0	4129.345	0	2460	0	4483.51	38	4483.51	520.790999999999938	4483.51	3	4483.51	528.790999999999938	24600	2
4262.135	0	4262.135	0	2520	0	4513.477	41	4513.477	249.3419999999999837	4513.477	0	4513.477	251.3419999999999837	25200	3
4479.854	0	4479.854	0	2580	0	4849.981	42	4849.981	366.1269999999999515	4849.981	1	4849.981	370.1269999999999515	25800	5
4614.611	0	4614.611	0	2640	0	4858.994	45	4858.994	202.8209999999999688	4858.994	3	4858.994	210.8209999999999688	26400	5
4637.75	0	4637.75	0	2700	0	4895.743	43	4895.743	279.1319999999999472	4895.743	0	4895.743	281.1319999999999472	27000	6
4648.173	0	4648.173	0	2760	0	4954.94	44	4954.94	311.18999999999994	4954.94	2	4954.94	317.18999999999994	27600	4
4914.262	0	4914.262	0	2820	0	5265.348	46	5265.348	349.0860000000000115	5265.348	0	5265.348	351.0860000000000115	28200	3
5016.226	0	5016.226	0	2880	0	5339.708	48	5339.708	229.1859999999999777	5339.708	2	5339.708	235.1859999999999777	28800	6
5104.522	0	5104.522	0	2940	0	5469.14	47	5469.14	448.9139999999999862	5469.14	1	5469.14	452.9139999999999862	29400	6
5222.943	0	5222.943	0	3000	0	5480.455	49	5480.455	249.512	5480.455	3	5480.455	257.5119999999999425	30000	3
5842.806	0	5842.806	0	3060	0	6035.118	50	6035.118	190.3120000000000112	6035.118	0	6035.118	192.3120000000000112	30600	7
5951.102	0	5951.102	0	3120	0	6211.902	51	6211.902	256.799999999999954	6211.902	1	6211.902	260.799999999999954	31200	14
6036.021	0	6036.021	0	3180	0	6247.004	53	6247.004	185.0459999999999915	6247.004	2	6247.004	191.0459999999999915	31800	5
6055.958	0	6055.958	0	3240	0	6348.548	54	6348.548	115.4019999999999863	6348.548	1	6348.548	119.4019999999999863	32400	4
6229.146	0	6229.146	0	3300	0	6504.725	52	6504.725	466.703999999999949	6504.725	0	6504.725	468.703999999999949	33000	3
6370.453	0	6370.453	0	3360	0	6663.269	57	6663.269	196.1409999999999618	6663.269	3	6663.269	204.1409999999999618	33600	1
6400.019	0	6400.019	0	3420	0	6770.953	55	6770.953	396.5	6770.953	1	6770.953	400.5	34200	8
6459.128	0	6459.128	0	3480	0	6816.084	58	6816.084	205.8340000000000025	6816.084	0	6816.084	207.8340000000000025	34800	6
6608.25	0	6608.25	0	3540	0	6845.87	56	6845.87	439.8509999999999975	6845.87	2	6845.87	445.8509999999999975	35400	4
6613.598	0	6613.598	0	3600	0	6854.819	59	6854.819	231.2210000000000027	6854.819	4	6854.819	241.2210000000000027	36000	4
6645.165	0	6645.165	0	3660	0	6958.493	62	6958.493	237.8940000000000047	6958.493	6	6958.493	251.8940000000000047	36600	9
6706.102	0	6706.102	0	3720	0	6984.378	64	6984.378	201.7099999999999785	6984.378	8	6984.378	219.7099999999999785	37200	1
6706.599	0	6706.599	0	3780	0	6997.961	61	6997.961	283.8589999999999222	6997.961	3	6997.961	291.858999999999922	37800	1
6759.39	0	6759.39	0	3840	0	7124.7	65	7124.7	216.829000000000007	7124.7	0	7124.7	218.829000000000007	38400	8
6764.668	0	6764.668	0	3900	0	7141.192	60	7141.192	484.026999999999928	7141.192	5	7141.192	496.026999999999928	39000	6
6905.871	0	6905.871	0	3960	0	7199.643	66	7199.643	117.1260000000000043	7199.643	1	7199.643	121.1260000000000043	39600	5
7078.517	0	7078.517	0	4020	0	7239.885	63	7239.885	464.495000000000003	7239.885	7	7239.885	480.495000000000003	40200	1
7129.009	0	7129.009	0	4080	0	7454.987	69	7454.987	186.575999999999964	7454.987	1	7454.987	190.575999999999964	40800	5
7132.593	0	7132.593	0	4140	0	7477.439	68	7477.439	338.8460000000000027	7477.439	2	7477.439	344.8460000000000027	41400	6
7264.411	0	7264.411	0	4200	0	7556.096	67	7556.096	425.086999999999988	7556.096	0	7556.096	427.086999999999988	42000	1
7523.746	0	7523.746	0	4260	0	7847.008	70	7847.008	319.2619999999999425	7847.008	1	7847.008	323.2619999999999425	42600	5
7653.757	0	7653.757	0	4320	0	7880.017	72	7880.017	178.5349999999999675	7880.017	2	7880.017	184.5349999999999675	43200	2
7695.482	0	7695.482	0	4380	0	7997.879	71	7997.879	342.1219999999999562	7997.879	0	7997.879	344.1219999999999562		
7926.752	0	7926.752	0	4440	0	8241.954	73	8241.954	311.2019999999999967	8241.954	1	8241.954	315.2019999999999967		
8062.709	0	8062.709	0	4500	0	8358.019	76	8358.019	169.8729999999999897	8358.019	3	8358.019	177.8729999999999896		
8115.193	0	8115.193	0	4560	0	8404.852	77	8404.852	165.0860000000000121	8404.852	4	8404.852	175.0860000000000121		
8180.146	0	8180.146	0	4620	0	8482.279	74	8482.279	417.569999999999935	8482.279	0	8482.279	419.569999999999935		
8229.766	0	8229.766	0	4680	0	8548.627	79	8548.627	134.0339999999999913	8548.627	3	8548.627	142.0339999999999911		
8318.133	0	8318.133	0	4740	0	8721.074	78	8721.074	398.9409999999999157	8721.074	1	8721.074	402.9409999999999157		
8406.593	0	8406.593	0	4800	0	8727.596	75	8727.596	606.403000000000018	8727.596	2	8727.596	612.403000000000018		
8709.504	0	8709.504	0	4860	0	9012.622	80	9012.622	301.1179999999999367	9012.622	0	9012.622	303.1179999999999367		
8992.402	0	8992.402	0	4920	0	9188.117	81	9188.117	191.7149999999999741	9188.117	1	9188.117	195.7149999999999741		
9085.871	0	9085.871	0	4980	0	9273.974	83	9273.974	94.0240000000000006	9273.974	2	9273.974	100.0240000000000006		
9173.95	0	9173.95	0	5040	0	9365.874	84	9365.874	145.827999999999974	9365.874	1	9365.874	149.827999999999974		
9216.046	0	9216.046	0	5100	0	9429.302	85	9429.302	169.5209999999999575	9429.302	3	9429.302	177.5209999999999575		
9251.781	0	9251.781	0	5160	0	9452.484	82	9452.484	364.6129999999999415	9452.484	0	9452.484	366.6129999999999415		
9339.263	0	9339.263	0	5220	0	9595.934	86	9595.934	250.6709999999999915	9595.934	2	9595.934	256.6709999999999347		
9399.441	0	9399.441	0	5280	0	9711.221	87	9711.221	307.7799999999999717	9711.221	1	9711.221	311.7799999999999717		
9647.182	0	9647.182	0	5340	0	9945.662	91	9945.662	118.8059999999999828	9945.662	3	9945.662	126.8059999999999828		
9757.347	0	9757.347	0	5400	0	9950.846	92	9950.846	113.865999999999985	9950.846	4	9950.846	123.865999999999985		
9808.933	0	9808.933	0	5460	0	10088.462	90	10088.462	273.5289999999999952	10088.462	2	10088.462	279.5289999999999952		
9818.856	0	9818.856	0	5520	0	10089.003	96	10089.003	135.1179999999999945	10089.003	8	10089.003	153.1179999999999945		
9826.98	0	9826.98	0	5580	0	10136.006	94	10136.006	201.230999999999994	10136.006	6	10136.006	215.230999999999994		
9894.087	0	9894.087	0	5640	0	10235.136	98	10235.136	240.0609999999999777	10235.136	4	10235.136	250.0609999999999777		
9920.775	0	9920.775	0	5700	0	10255.751	89	10255.751	494.403999999999994	10255.751	1	10255.751	498.403999999999994		
9932.532	0	9932.532	0	5760	0	10321.664	88	10321.664	672.4819999999999685	10321.664	0	10321.664	674.4819999999999685		
9935.885	0	9935.885	0	5820	0	10375.744	95	10375.744	427.211999999999988	10375.744	7	10375.744	443.211999999999988		
9978.149	0	9978.149	0	5880	0	10440.174	97	10440.174	454.0249999999999752	10440.174	3	10440.174	462.024999999999975		
9985.075	0	9985.075	0	5940	0	10485.483	93	10485.483	579.3959999999999565	10485.483	5	10485.483	591.3959999999999565		
10147.586	0	10147.586	0	6000	0	10490.833	99	10490.833	337.2469999999999562	10490.833	2	10490.833	343.2469999999999562		
10183.046	0	10183.046	0	6060	0	10513.126	100	10513.126	316.0799999999999265	10513.126	6	10513.126	330.0799999999999265		
10402.39	0	10402.39	0	6120	0	10638.831	101	10638.831	234.440999999999973	10638.831	0	10638.831	236.440999999999973		
10602.336	0	10602.336	0	6180	0	10744.692	102	10744.692	138.3559999999999941	10744.692	1	10744.692	142.3559999999999941		
10646.251	0	10646.251	0	6240	0	10940.645	103	10940.645	292.394000000000004	10940.645	0	10940.645	294.394000000000004		
10708.592	0	10708.592	0	6300	0	11001.102	105	11001.102	157.3209999999999688	11001.102	1	11001.102	161.3209999999999688		
10839.781	0	10839.781	0	6360	0	11117.571	104	11117.571	402.9789999999999267	11117.571	2	11117.571	408.9789999999999267		
10923.529	0	10923.529	0	6420	0	11140.656	106	11140.656	209.1270000000000088	11140.656	3	11140.656	217.1270000000000088		
10993.177	0	10993.177	0	6480	0	11153.757	107	11153.757	158.5799999999999833	11153.757	0	11153.757	160.5799999999999833		
10999.084	0	10999.084	0	6540	0	11340.508	109	11340.508	165.59499999999997	11340.508	0	11340.508	167.59499999999997		
11172.913	0	11172.913	0	6600	0	11375.772	108	11375.772	366.6879999999999865	11375.772	4	11375.772	376.6879999999999865		
11428.699	0	11428.699	0	6660	0	11639.149	110	11639.149	208.4499999999999877	11639.149	0	11639.149	210.4499999999999877		
11631.086	0	11631.086	0	6720	0	11870.499	112	11870.499	214.8340000000000025	11870.499	0	11870.499	216.8340000000000025		
11653.665	0	11653.665	0	6780	0	11905.271	111	11905.271	270.1849999999999447	11905.271	1	11905.271	274.1849999999999447		
11968.692	0	11968.692	0	6840	0	12111.022	113	12111.022	140.3299999999999833	12111.022	0	12111.022	142.3299999999999833		
12018.303	0	12018.303	0	6900	0	12184.491	115	12184.491	150.2930000000000057	12184.491	2	12184.491	156.2930000000000057		
12028.198	0	12028.198	0	6960	0	12367.04	114	12367.04	344.736999999999965	12367.04	1	12367.04	348.736999999999965		
12166.38	0	12166.38	0	7020	0	12709.235	117	12709.235	250.0729999999999782	12709.235	1	12709.235	254.0729999999999782		
12455.162	0	12455.162	0	7080	0	12724.601	116	12724.601	556.221000000000002	12724.601	0	12724.601	558.221000000000002		
12465.119	0	12465.119	0	7140	0	12856.506	119	12856.506	373.149	12856.506	3	12856.506	381.149		
12475.357	0	12475.357	0	7200	0	12867.849	121	12867.849	201.6449999999999812	12867.849	5	12867.849	213.6449999999999812		
12555.08	0	12555.08	0	7260	0	12873.77	118	12873.77	402.650999999999952	12873.77	2	12873.77	408.650999999999952		
12654.204	0	12654.204	0	7320	0	12917.799	122	12917.799	179.7699999999999812	12917.799	0	12917.799	181.7699999999999812		
12736.029	0	12736.029	0	7380	0	12947.138	120	12947.138	382.057999999999992	12947.138	4	12947.138	392.057999999999992		
12936.36	0	12936.36	0	7440	0	13361.223	123	13361.223	422.8629999999999415	13361.223	0	13361.223	424.8629999999999415		
13242.684	0	13242.684	0	7500	0	13362.414	125	13362.414	112.8359999999999838	13362.414	2	13362.414	118.8359999999999837		
13243.578	0	13243.578	0	7560	0	13406.316	124	13406.316	159.6320000000000045	13406.316	1	13406.316	163.6320000000000045		
13371.466	0	13371.466	0	7620	0	13680.369	126	13680.369	306.9030000000000187	13680.369	0	13680.369	308.9030000000000187		
13476.189	0	13476.189	0	7680	0	13717.799	128	13717.799	194.8129999999999871	13717.799	2	13717.799	200.8129999999999871		
13516.986	0	13516.986	0	7740	0	13734.015	127	13734.015	253.825999999999964	13734.015	1	13734.015	257.826000000000021		
13574.154	0	13574.154	0	7800	0	13828.882	129	13828.882	246.7280000000000077	13828.882	3	13828.882	254.7280000000000077		
13788.808	0	13788.808	0	7860	0	14070.399	131	14070.399	156.351999999999975	14070.399	1	14070.399	160.351999999999975		
13910.047	0	13910.047	0	7920	0	14236.405	130	14236.405	445.5969999999999782	14236.405	0	14236.405	447.5969999999999782		
14044.425	0	14044.425	0	7980	0	14501.148	132	14501.148	450.722999999999955	14501.148	2	14501.148	456.722999999999955		
14121.272	0	14121.272	0	8040	0	14561.784	133	14561.784	436.5119999999999425	14561.784	1	14561.784	440.5119999999999425		
14525.977	0	14525.977	0	8100	0	14719.987	136	14719.987	170.5310000000000053	14719.987	3	14719.987	178.5310000000000053		
14534.27	0	14534.27	0	8160	0	14835.88	135	14835.88	295.6100000000000125	14835.88	2	14835.88	301.6100000000000125		
14541.456	0	14541.456	0	8220	0	14924.72	137	14924.72	252.1259999999999757	14924.72	1	14924.72	256.1259999999999757		
14668.594	0	14668.594	0	8280	0	15024.968	134	15024.968	496.990999999999984	15024.968	0	15024.968	498.990999999999984		
14972.436	0	14972.436	0	8340	0	15182.702	138	15182.702	206.2659999999999618	15182.702	1	15182.702	210.2659999999999618		
15116.846	0	15116.846	0	8400	0	15372.464	139	15372.464	253.6179999999999945	15372.464	0	15372.464	255.6179999999999945		
15582.511	0	15582.511	0	8460	0	15788.449	140	15788.449	203.9379999999999871	15788.449	0	15788.449	205.9379999999999871		
15771.11	0	15771.11	0	8520	0	15973.255	142	15973.255	156.4439999999999595	15973.255	0	15973.255	158.4439999999999595		
15814.811	0	15814.811	0	8580	0	15984.042	141	15984.042	208.9319999999999587	15984.042	1	15984.042	212.9319999999999587		
16001.057	0	16001.057	0	8640	0	16220.482	144	16220.482	208.786999999999977	16220.482	1	16220.482	212.786999999999977		
16007.695	0	16007.695	0	8700	0	16326.469	147	16326.469	83.45799999999999825	16326.469	1	16326.469	87.4579999999999981		
16086.403	0	16086.403	0	8760	0	16359.017	145	16359.017	266.613999999999918	16359.017	2	16359.017	272.613999999999918		
16214.182	0	16214.182	0	8820	0	16383.129	143	16383.129	380.0720000000000015	16383.129	0	16383.129	382.0720000000000015		
16239.011	0	16239.011	0	8880	0	16518.189	148	16518.189	183.129999999999995	16518.189	1	16518.189	187.129999999999995		
16331.059	0	16331.059	0	8940	0	16539.461	150	16539.461	151.3059999999999827	16539.461	0	16539.461	153.3059999999999827		
16363.456	0	16363.456	0	9000	0	16610.989	146	16610.989	388.807000000000015	16610.989	3	16610.989	396.807000000000015		
16386.155	0	16386.155	0	9060	0	16801.509	149	16801.509	432.0529999999999955	16801.509	2	16801.509	438.0529999999999955		
16686.862	0	16686.862	0	9120	0	16851.934	151	16851.934	163.072000000000002	16851.934	0	16851.934	165.072000000000002		
16732.287	0	16732.287	0	9180	0	17044.497	155	17044.497	210.7709999999999575	17044.497	2	17044.497	216.7709999999999575		
16777.454	0	16777.454	0	9240	0	17111.489	153	17111.489	326.0349999999999667	17111.489	3	17111.489	334.0349999999999667		
16794.527	0	16794.527	0	9300	0	17177.407	154	17177.407	372.879999999999994	17177.407	4	17177.407	382.879999999999994		
16827.726	0	16827.726	0	9360	0	17324.095	156	17324.095	423.4519999999999967	17324.095	0	17324.095	425.4519999999999967		
16898.643	0	16898.643	0	9420	0	17348.096	152	17348.096	611.808999999999966	17348.096	1	17348.096	615.808999999999966		
17169.074	0	17169.074	0	9480	0	17361.859	158	17361.859	128.8600000000000132	17361.859	3	17361.859	136.8600000000000132		
17224.999	0	17224.999	0	9540	0	17396.317	157	17396.317	221.2429999999999945	17396.317	2	17396.317	227.2429999999999945		
17697.987	0	17697.987	0	9600	0	17853.808	159	17853.808	153.8209999999999688	17853.808	0	17853.808	155.8209999999999688		
17788.132	0	17788.132	0	9660	0	17989.255	161	17989.255	194.4559999999999596	17989.255	2	17989.255	200.4559999999999596		
17788.799	0	17788.799	0	9720	0	18123.192	164	18123.192	205.7429999999999945	18123.192	4	18123.192	215.7429999999999945		
17803.759	0	17803.759	0	9780	0	18124.626	162	18124.626	312.8669999999999607	18124.626	3	18124.626	320.8669999999999607		
17883.369	0	17883.369	0	9840	0	18348.476	163	18348.476	463.106999999999969	18348.476	0	18348.476	465.106999999999969		
17907.449	0	17907.449	0	9900	0	18348.777	166	18348.777	315.8159999999999157	18348.777	2	18348.777	321.8159999999999157		
17981.816	0	17981.816	0	9960	0	18397.169	160	18397.169	605.0370000000000315	18397.169	1	18397.169	609.0370000000000315		
18026.961	0	18026.961	0	10020	0	18460.915	168	18460.915	197.2829999999999578	18460.915	4	18460.915	207.2829999999999578		
18219.403	0	18219.403	0	10080	0	18464.797	167	18464.797	237.3940000000000047	18464.797	3	18464.797	245.3940000000000047		
18253.632	0	18253.632	0	10140	0	18519.658	165	18519.658	525.8419999999998695	18519.658	5	18519.658	537.8419999999998695		
18323.934	0	18323.934	0	10200	0	18548.729	169	18548.729	210.7949999999999582	18548.729	6	18548.729	224.7949999999999581		
18597.053	0	18597.053	0	10260	0	18780.407	170	18780.407	181.3539999999999843	18780.407	0	18780.407	183.3539999999999843		
19008.214	0	19008.214	0	10320	0	19341.308	173	19341.308	185.9300000000000058	19341.308	2	19341.308	191.9300000000000058		
19146.31	0	19146.31	0	10380	0	19529.072	172	19529.072	378.7619999999999425	19529.072	1	19529.072	382.7619999999999425		
19149.378	0	19149.378	0	10440	0	19658.104	171	19658.104	647.8899999999998705	19658.104	0	19658.104	649.8899999999998705		
19442.719	0	19442.719	0	10500	0	19662.14	175	19662.14	203.0409999999999962	19662.14	3	19662.14	211.0409999999999962		
19451.099	0	19451.099	0	10560	0	19841.505	177	19841.505	224.5670000000000066	19841.505	4	19841.505	234.5670000000000065		
19550.673	0	19550.673	0	10620	0	19849.631	176	19849.631	294.957999999999969	19849.631	1	19849.631	298.957999999999969		
19606.938	0	19606.938	0	10680	0	20171.467	174	20171.467	722.748000000000045	20171.467	2	20171.467	728.748000000000045		
20102.616	0	20102.616	0	10740	0	20304.82	178	20304.82	200.204000000000007	20304.82	0	20304.82	202.204000000000007		
20134.367	0	20134.367	0	10800	0	20402.692	179	20402.692	264.3249999999999307	20402.692	1	20402.692	268.3249999999999307		
20253.589	0	20253.589	0	10860	0	20462.422	180	20462.422	202.8329999999999695	20462.422	2	20462.422	208.8329999999999695		
20293.215	0	20293.215	0	10920	0	20584.597	181	20584.597	283.3819999999999472	20584.597	3	20584.597	291.381999999999947		
20467.238	0	20467.238	0	10980	0	20677.655	182	20677.655	208.4169999999999726	20677.655	0	20677.655	210.4169999999999726		
20521.87	0	20521.87	0	11040	0	20736.653	183	20736.653	210.7829999999999578	20736.653	1	20736.653	214.7829999999999578		
20599.1	0	20599.1	0	11100	0	20843.05	184	20843.05	237.9499999999999875	20843.05	2	20843.05	243.9499999999999875		
20708.287	0	20708.287	0	11160	0	20878.101	185	20878.101	167.813999999999964	20878.101	0	20878.101	169.813999999999964		
20750.529	0	20750.529	0	11220	0	20915.496	186	20915.496	160.966999999999984	20915.496	1	20915.496	164.966999999999984		
20753.715	0	20753.715	0	11280	0	21053.369	187	21053.369	291.6539999999999952	21053.369	3	21053.369	299.6539999999999952		
20972.194	0	20972.194	0	11340	0	21272.324	189	21272.324	279.8369999999999882	21272.324	1	21272.324	283.8369999999999882		
20988.487	0	20988.487	0	11400	0	21453.67	188	21453.67	479.475999999999997	21453.67	0	21453.67	481.475999999999997		
21066.268	0	21066.268	0	11460	0	21455.394	190	21455.394	383.1259999999999742	21455.394	2	21455.394	389.1259999999999742		
