
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220306-21:53:09-11032)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220306-21:53:09-11032)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220306-21:53:09-11032)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220306-21:53:09-11032)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220306-21:53:09-11032)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220306-21:53:09-11032)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220306-21:53:09-11032)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220306-21:53:09-11032)	
0	0	0	0	60	0	249.615	1	249.615	174.0790000000000071	249.615	1	249.615	178.079000000000007	600	14
71.536	0	71.536	0	120	0	576.563	2	576.563	478.802999999999995	576.563	2	576.563	484.802999999999995	1200	12
91.76	0	91.76	0	180	0	614.071	4	614.071	408.3029999999999955	614.071	4	614.071	418.3029999999999955	1800	13
125.326	0	125.326	0	240	0	643.39	6	643.39	326.3519999999999742	643.39	5	643.39	338.3519999999999742	2400	10
195.768	0	195.768	0	300	0	730.946	0	730.946	728.9459999999999105	730.946	0	730.946	730.9459999999999105	3000	14
272.032	0	272.032	0	360	0	769.765	11	769.765	187.2019999999999976	769.765	2	769.765	193.2019999999999976	3600	11
305.038	0	305.038	0	420	0	789.925	8	789.925	308.752999999999928	789.925	7	789.925	324.752999999999928	4200	14
395.893	0	395.893	0	480	0	874.49	3	874.49	741.163999999999985	874.49	3	874.49	749.163999999999985	4800	13
465.172	0	465.172	0	540	0	913.8	15	913.8	138.0349999999999676	913.8	2	913.8	144.0349999999999676	5400	11
504.515	0	504.515	0	600	2	925.286	7	925.286	515.393000000000028	925.286	6	925.286	529.393000000000028	6000	9
513.561	0	513.561	0	660	2	938.311	12	938.311	314.240000000000008	938.311	4	938.311	324.240000000000008	6600	8
576.563	32.25099999999999045	544.312	1	720	3	1105.25	9	1105.25	582.734999999999898	1105.25	8	1105.25	600.734999999999898	7200	8
614.071	44.53799999999999655	569.533	2	780	1	1147.765	18	1147.765	227.9649999999999738	1147.765	2	1147.765	233.9649999999999737	7800	10
643.39	50.3499999999999941	576.563	1	840	4	1190.041	13	1190.041	534.650999999999838	1190.041	5	1190.041	546.650999999999838	8400	15
730.946	103.2699999999999816	593.04	2	900	4	1225.181	17	1225.181	342.6909999999999157	1225.181	3	1225.181	350.6909999999999157	9000	15
769.765	138.3969999999999907	614.071	1	960	2	1294.82	10	1294.82	761.2590000000000125	1294.82	9	1294.82	781.2590000000000125	9600	8
789.925	87.3589999999999801	627.676	2	1020	3	1322.446	14	1322.446	589.5	1322.446	0	1322.446	591.5	10200	12
874.49	91.5600000000000019	631.368	3	1080	4	1357.678	20	1357.678	409.3669999999999607	1357.678	4	1357.678	419.3669999999999607	10800	10
913.8	118.7800000000000007	643.39	2	1140	3	1401.187	21	1401.187	277.9370000000000107	1401.187	8	1401.187	295.9370000000000107	11400	7
925.286	95.4489999999999834	702.566	3	1200	2	1450.454	23	1450.454	248.41300000000001	1450.454	5	1450.454	260.41300000000001	12000	12
938.311	103.2279999999999798	730.946	2	1260	3	1508.347	29	1508.347	45.8930000000000005	1508.347	5	1508.347	57.8930000000000005	12600	9
1105.25	224.6669999999999726	769.765	1	1320	3	1514.669	24	1514.669	281.4879999999999415	1514.669	3	1514.669	289.4879999999999415	13200	13
1147.765	221.6469999999999907	782.93	2	1380	4	1533.652	16	1533.652	727.726999999999859	1533.652	7	1533.652	743.726999999999859	13800	11
1190.041	203.5500000000000108	789.925	1	1440	5	1539.552	25	1539.552	224.7319999999999702	1539.552	9	1539.552	244.73199999999997	14400	6
1225.181	161.3499999999999653	795.02	2	1500	4	1624.575	32	1624.575	74.92300000000000155	1624.575	7	1624.575	90.92300000000000155	15000	6
