
**** VECTORS ****
time spent on the queue PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:16-8792)		queue size after modification PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:16-8792)		queue size per minute PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:16-8792)		client processing order PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:16-8792)		processing time with client order PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:16-8792)		till processing order PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:16-8792)		client total time in the till PolicyA.queue ($0=123, #0 - General-0-20220305-16:47:16-8792)		number of clients entering the queue per timer interval PolicyA.source ($0=123, #0 - General-0-20220305-16:47:16-8792)	
0	0	0	0	60	0	242.405	4	242.405	162.0229999999999671	242.405	4	242.405	172.022999999999967	600	27
35.768	0	35.768	0	120	0	262.793	3	262.793	192.129999999999995	262.793	3	262.793	200.129999999999995	1200	25
45.88	0	45.88	0	180	0	303.565	6	303.565	157.0079999999999806	303.565	6	303.565	171.0079999999999806	1800	25
62.663	0	62.663	0	240	0	331.548	0	331.548	329.5480000000000007	331.548	0	331.548	331.5480000000000007	2400	20
70.382	0	70.382	0	300	1	351.538	1	351.538	311.7699999999999805	351.538	1	351.538	315.7699999999999805	3000	20
94.425	0	94.425	0	360	2	361.506	8	361.506	130.8820000000000045	361.506	8	361.506	148.8820000000000045	3600	18
132.557	0	132.557	0	420	0	381.358	7	381.358	187.3729999999999895	381.358	7	381.358	203.3729999999999895	4200	25
177.985	0	177.985	0	480	0	382.656	9	382.656	124.028999999999996	382.656	9	382.656	144.028999999999996	4800	30
212.624	0	212.624	0	540	2	386.665	2	386.665	334.7849999999999667	386.665	2	386.665	340.7849999999999667	5400	22
238.627	0	238.627	0	600	1	433.897	14	433.897	78.3589999999999801	433.897	1	433.897	82.3589999999999801	6000	22
243.15	0	243.15	0	660	4	439.338	11	439.338	168.5449999999999583	439.338	3	439.338	176.5449999999999583	6600	24
262.793	4.70999999999999906	258.083	1	720	2	455.807	15	455.807	76.3009999999999875	455.807	8	455.807	94.3009999999999873	7200	18
303.565	30.1060000000000015	262.793	0	780	1	469.382	12	469.382	151.8170000000000068	469.382	6	469.382	165.8170000000000068	7800	16
331.548	28.47800000000000137	273.459	1	840	3	552.739	19	552.739	114.841999999999984	552.739	1	552.739	118.841999999999984	8400	16
351.538	40.04599999999999207	303.07	2	900	2	575.956	18	575.956	164.0109999999999666	575.956	2	575.956	170.0109999999999666	9000	23
361.506	48.16799999999999195	303.565	1	960	2	596.547	10	596.547	343.3969999999999332	596.547	4	596.547	353.396999999999933	9600	12
381.358	32.42099999999999217	311.492	2	1020	4	614.796	17	614.796	212.1399999999999853	614.796	9	614.796	232.1399999999999852	10200	24
382.656	6.68399999999999925	313.338	3	1080	4	685.002	13	685.002	351.4539999999999495	685.002	0	685.002	353.4539999999999495	10800	21
405.945	0	331.548	2	1140	2	698.734	25	698.734	92.1869999999999829	698.734	4	698.734	102.1869999999999829	11400	19
433.897	10.54400000000000044	348.937	3	1200	2	716.322	23	716.322	159.5829999999999695	716.322	1	716.322	163.5829999999999695	12000	20
439.338	13.36199999999999828	351.538	2	1260	2	719.737	24	719.737	137.7810000000000053	719.737	2	719.737	143.7810000000000053	12600	17
455.807	7.08099999999999949	361.506	1	1320	2	726.384	16	726.384	329.0259999999999525	726.384	7	726.384	345.0259999999999525	13200	23
478.913	0	375.972	2	1380	3	740.192	27	740.192	53.1899999999999975	740.192	0	740.192	55.1899999999999975	13800	23
552.739	53.503	381.358	1	1440	4	749.53	22	749.53	256.616999999999961	749.53	6	749.53	270.616999999999961	14400	15
575.956	38.04999999999999695	382.656	0	1500	3	757.133	29	757.133	36.81099999999999267	757.133	1	757.133	40.81099999999999267	15000	13
596.547	45.35899999999999452	405.945	0	1560	3	812.352	32	812.352	70.1599999999999963	812.352	0	812.352	72.1599999999999963	15600	17
614.796	25.15599999999999867	423.353	1	1620	3	827.378	21	827.378	353.571000000000025	827.378	8	827.378	371.571000000000025	16200	22
685.002	83.661000000000001	425.976	2	1680	4	891.009	30	891.009	165.2719999999999907	891.009	2	891.009	171.2719999999999907	16800	19
698.734	65.4909999999999853	433.897	1	1740	9	905.543	31	905.543	163.158999999999991	905.543	7	905.543	179.158999999999991	17400	15
716.322	69.03600000000000105	439.338	0	1800	7	926.907	33	926.907	163.377000000000009	926.907	6	926.907	177.377000000000009	18000	17
719.737	64.43399999999999725	448.726	1	1860	6	931.739	20	931.739	484.400999999999952	931.739	3	931.739	492.400999999999952	18600	21
726.384	60.64900000000000065	455.807	0	1920	3	999.227	40	999.227	59.48799999999999925	999.227	3	999.227	67.48799999999999925	19200	18
740.192	44.54999999999999695	478.913	0	1980	3	1057.385	39	1057.385	116.4779999999999797	1057.385	6	1057.385	130.478000000000008	19800	19
749.53	10.3149999999999977	499.236	1	2040	5	1076.798	37	1076.798	179.7889999999999865	1076.798	2	1076.798	185.7889999999999863	20400	25
757.133	0.858999999999999984	537.906	2	2100	5	1084.661	5	1084.661	978.235999999999872	1084.661	5	1084.661	990.235999999999872	21000	20
812.352	50.346999999999994	551.188	3	2160	5	1098.879	28	1098.879	390.1449999999999802	1098.879	4	1098.879	400.1449999999999802	21600	24
827.378	44.95499999999999815	552.739	2	2220	4	1128.085	35	1128.085	313.7329999999999462	1128.085	0	1128.085	315.7329999999999462	22200	24
891.009	106.1790000000000016	575.956	1	2280	9	1140.477	43	1140.477	57.6790000000000018	1140.477	2	1140.477	63.6790000000000018	22800	20
905.543	109.4830000000000037	589.64	2	2340	8	1153.222	38	1153.222	231.6789999999999727	1153.222	7	1153.222	247.6789999999999727	23400	13
926.907	89.21299999999999355	596.547	1	2400	6	1170.574	42	1170.574	99.1889999999999923	1170.574	6	1170.574	113.1889999999999923	24000	20
931.739	26.88799999999999802	601.341	2	2460	3	1230.074	48	1230.074	60.8519999999999894	1230.074	7	1230.074	76.85200000000000355	24600	28
999.227	72.86699999999998985	614.796	1	2520	2	1285.008	44	1285.008	188.3469999999999791	1285.008	5	1285.008	200.3469999999999791	25200	19
